EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
2,3,4,4,4,3,0,1,2021-08-05 17:18:10.173321
-3,0,-1,-6,-4,-4,-3,-2,2021-08-05 17:18:10.173321
2,3,0,5,2,2,1,3,2021-08-05 17:18:10.188743
-1,-4,0,3,1,1,0,1,2021-08-05 17:18:10.188935
-2,-5,-6,-7,-4,-2,-2,-2,2021-08-05 17:18:10.189320
1,5,7,7,1,1,0,1,2021-08-05 17:18:10.189600
0,2,-1,-4,-2,0,-1,-1,2021-08-05 17:18:10.235396
-1,2,1,0,-2,0,-2,0,2021-08-05 17:18:10.235396
-1,-1,4,6,5,4,2,1,2021-08-05 17:18:10.236319
2,-1,-1,0,1,3,2,1,2021-08-05 17:18:10.236319
-4,-3,-2,0,-1,-3,-1,-3,2021-08-05 17:18:10.236965
-2,-2,-3,-7,-6,-4,-3,-1,2021-08-05 17:18:10.237320
-3,-5,-7,-4,-1,0,-1,0,2021-08-05 17:18:10.240347
1,5,8,8,5,3,3,4,2021-08-05 17:18:10.240347
-2,-2,-2,-5,-4,-3,-3,-3,2021-08-05 17:18:10.247321
0,-1,1,2,3,2,3,1,2021-08-05 17:18:10.247321
-2,-2,-3,-7,-7,-6,-4,-2,2021-08-05 17:18:10.256693
-2,-2,-3,-4,-1,-2,-2,-1,2021-08-05 17:18:10.256971
-2,0,1,0,0,-1,-1,-1,2021-08-05 17:18:10.262730
-2,-1,-9,-6,-3,-2,-3,-4,2021-08-05 17:18:10.262730
1,2,2,2,1,1,2,3,2021-08-05 17:18:10.279299
1,0,0,3,2,2,1,1,2021-08-05 17:18:10.279321
0,1,2,0,-2,-3,-1,-2,2021-08-05 17:18:10.285169
-2,-4,1,3,1,1,-1,0,2021-08-05 17:18:10.285323
1,2,1,1,0,1,0,0,2021-08-05 17:18:10.308497
-2,-2,-3,-6,-6,-4,-3,-3,2021-08-05 17:18:10.308497
-1,-1,-2,-3,-3,-1,-2,-1,2021-08-05 17:18:10.308871
1,0,-2,2,4,2,0,0,2021-08-05 17:18:10.309320
1,-2,4,6,4,3,3,0,2021-08-05 17:18:10.323408
-2,-2,-3,-5,-4,-5,-5,-4,2021-08-05 17:18:10.323408
3,1,2,2,0,1,1,-1,2021-08-05 17:18:10.323864
-2,-3,-3,-4,-4,-2,-2,-3,2021-08-05 17:18:10.323864
-2,-4,-3,-4,-6,-6,-5,-5,2021-08-05 17:18:10.345356
5,8,7,7,9,7,4,5,2021-08-05 17:18:10.345356
-2,-1,-3,-1,-1,-2,-1,0,2021-08-05 17:18:10.346615
-2,0,-3,-8,-5,-6,-1,-4,2021-08-05 17:18:10.346615
-4,-3,2,2,2,-2,-1,-2,2021-08-05 17:18:10.368319
0,4,3,4,1,1,0,0,2021-08-05 17:18:10.368319
-1,-3,-3,-2,-2,-1,0,1,2021-08-05 17:18:10.369071
-1,1,2,-3,-3,-1,-3,-1,2021-08-05 17:18:10.369071
0,0,-4,-2,-1,-2,0,0,2021-08-05 17:18:10.383485
-3,-4,-3,-4,-3,-2,-2,-2,2021-08-05 17:18:10.383485
-1,-2,1,2,4,2,-1,1,2021-08-05 17:18:10.383485
1,2,3,6,3,2,3,3,2021-08-05 17:18:10.384321
0,0,-2,-6,-4,-5,-3,-5,2021-08-05 17:18:10.414143
-3,-4,-5,-5,-4,-3,-1,-1,2021-08-05 17:18:10.414274
1,1,-1,2,3,2,0,1,2021-08-05 17:18:10.414855
-1,-3,-1,-2,-1,-1,0,1,2021-08-05 17:18:10.414855
-2,-2,-3,-6,-4,-1,-4,-1,2021-08-05 17:18:10.428458
1,-1,3,2,0,1,1,1,2021-08-05 17:18:10.428458
-1,-1,-2,3,5,5,3,1,2021-08-05 17:18:10.429101
0,-1,2,1,-1,-2,-2,-2,2021-08-05 17:18:10.429321
1,-1,-2,3,3,2,0,1,2021-08-05 17:18:10.443325
-3,-1,-2,0,-3,-1,-1,-2,2021-08-05 17:18:10.443446
-2,-5,-3,-7,-5,-5,-3,-5,2021-08-05 17:18:10.443994
0,1,-2,0,2,3,1,2,2021-08-05 17:18:10.443994
-2,-2,0,-1,-4,-3,-2,-2,2021-08-05 17:18:10.474003
-2,-2,2,-1,-3,-3,-2,-1,2021-08-05 17:18:10.474321
1,0,2,4,1,2,1,2,2021-08-05 17:18:10.474321
-2,-3,-2,-3,-1,-2,-1,-2,2021-08-05 17:18:10.474938
0,0,-3,-7,0,1,0,-1,2021-08-05 17:18:10.487693
-1,-2,-1,0,1,-2,-2,-5,2021-08-05 17:18:10.488320
2,5,4,3,0,-1,-3,-2,2021-08-05 17:18:10.489173
0,-2,-2,-2,-4,-4,-4,0,2021-08-05 17:18:10.489338
-1,2,0,-1,-2,-1,-2,1,2021-08-05 17:18:10.503414
-1,-3,-8,-4,1,1,1,0,2021-08-05 17:18:10.503414
1,4,4,2,2,1,1,2,2021-08-05 17:18:10.504175
-4,-3,-2,-5,-4,-2,-2,-2,2021-08-05 17:18:10.504335
-1,2,-2,2,2,1,1,1,2021-08-05 17:18:10.525779
1,-1,-1,0,2,1,-1,1,2021-08-05 17:18:10.525779
-3,-3,0,1,1,0,-1,-1,2021-08-05 17:18:10.526548
-1,1,-1,1,1,0,2,-1,2021-08-05 17:18:10.526808
-2,0,-2,-5,-4,-2,-2,-2,2021-08-05 17:18:10.548030
-4,-7,-10,-9,-6,-6,-4,-3,2021-08-05 17:18:10.548554
2,1,-1,1,1,1,1,0,2021-08-05 17:18:10.548964
0,1,6,7,2,1,0,-1,2021-08-05 17:18:10.549309
1,-1,-3,-3,0,1,1,-2,2021-08-05 17:18:10.564555
-3,-1,0,-4,-7,-6,-5,-7,2021-08-05 17:18:10.564555
-1,-4,-3,-3,-2,-1,-3,-2,2021-08-05 17:18:10.565555
1,-1,1,4,2,3,2,0,2021-08-05 17:18:10.565555
0,-3,-1,-3,-2,0,-2,0,2021-08-05 17:18:10.585555
0,1,0,2,-1,-2,0,-2,2021-08-05 17:18:10.585555
-4,-3,-2,-6,-8,-6,-3,-2,2021-08-05 17:18:10.586554
-1,-5,-9,2,5,3,0,0,2021-08-05 17:18:10.586723
-1,1,5,5,3,1,-2,1,2021-08-05 17:18:10.608356
-1,-2,-2,-2,-1,0,0,1,2021-08-05 17:18:10.608356
-4,-4,-7,-8,-6,-5,-2,-3,2021-08-05 17:18:10.609191
-1,1,0,1,-1,-1,0,-2,2021-08-05 17:18:10.609191
0,1,1,7,6,2,2,0,2021-08-05 17:18:10.623341
-2,1,-1,-4,-4,-1,-2,0,2021-08-05 17:18:10.623692
-1,-2,0,3,2,1,-1,-1,2021-08-05 17:18:10.623959
0,1,2,-1,-2,0,0,-1,2021-08-05 17:18:10.624150
-1,-2,-5,-3,-3,-2,0,0,2021-08-05 17:18:10.645860
-1,1,3,0,-2,-2,0,-1,2021-08-05 17:18:10.646159
1,2,-2,-1,-2,-1,0,0,2021-08-05 17:18:10.646632
-3,-4,-2,-2,-3,-2,-3,-1,2021-08-05 17:18:10.646837
-1,0,2,0,-3,0,0,-3,2021-08-05 17:18:10.668287
0,-1,-2,0,-1,-1,0,-1,2021-08-05 17:18:10.668559
1,-4,-4,-3,-1,0,2,0,2021-08-05 17:18:10.668983
0,3,7,3,2,1,-1,-1,2021-08-05 17:18:10.668983
-1,-1,-2,1,1,0,0,-1,2021-08-05 17:18:10.682807
0,1,0,1,1,1,-1,0,2021-08-05 17:18:10.683072
-2,-3,-4,-5,-2,0,-2,-2,2021-08-05 17:18:10.690680
0,2,0,2,-1,-1,-2,1,2021-08-05 17:18:10.690680
-1,-2,-2,-6,-5,-4,-4,-3,2021-08-05 17:18:10.705865
-1,0,-1,-1,-1,-1,-1,-1,2021-08-05 17:18:10.706017
-2,-3,-3,-5,-4,-3,-2,-1,2021-08-05 17:18:10.706485
0,0,-1,3,5,4,4,2,2021-08-05 17:18:10.706485
0,-1,0,0,-1,-1,-3,-1,2021-08-05 17:18:10.728293
1,0,-3,2,3,2,0,2,2021-08-05 17:18:10.728293
-1,-1,0,-1,-4,-3,-2,-3,2021-08-05 17:18:10.729051
-4,-5,-6,-11,-10,-8,-7,-4,2021-08-05 17:18:10.729051
1,0,8,10,7,2,3,4,2021-08-05 17:18:10.742717
1,3,2,5,2,2,1,2,2021-08-05 17:18:10.742717
-1,0,-2,1,0,0,0,-1,2021-08-05 17:18:10.750926
-2,-2,-3,-5,-3,-2,-2,-2,2021-08-05 17:18:10.751100
1,1,-3,0,-1,0,0,0,2021-08-05 17:18:10.765824
-4,-5,-3,-7,-5,-3,-3,-4,2021-08-05 17:18:10.765853
-1,-2,-4,-6,-2,-2,-3,-1,2021-08-05 17:18:10.766371
9,14,10,18,12,7,5,5,2021-08-05 17:18:10.766675
