EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-2,-1,-2,1,-1,-1,-3,-1,2021-08-07 13:02:32.500489
-2,-3,-2,0,-1,-2,-3,0,2021-08-07 13:02:32.500489
0,-1,-1,1,4,1,-1,1,2021-08-07 13:02:32.501493
-3,-3,-4,-6,-1,-3,-1,0,2021-08-07 13:02:32.501493
1,1,0,5,3,2,1,0,2021-08-07 13:02:32.513489
0,-2,3,3,0,0,0,-1,2021-08-07 13:02:32.513489
-3,-5,-9,-11,-8,-4,-2,-4,2021-08-07 13:02:32.522492
0,0,0,0,-2,-1,0,-1,2021-08-07 13:02:32.522492
4,5,5,7,7,4,2,2,2021-08-07 13:02:32.537488
-1,1,2,-1,-1,-1,0,-1,2021-08-07 13:02:32.537488
-1,-4,-5,-7,-7,-4,-2,-3,2021-08-07 13:02:32.539492
-2,-5,-3,-3,-1,1,-3,-1,2021-08-07 13:02:32.539492
1,1,2,10,12,6,4,2,2021-08-07 13:02:32.567491
1,1,2,1,2,1,2,0,2021-08-07 13:02:32.567491
-3,-2,-3,-5,-4,-2,-2,-3,2021-08-07 13:02:32.569490
-2,0,-1,2,1,0,1,0,2021-08-07 13:02:32.569490
-1,0,-2,-6,-9,-5,-3,-1,2021-08-07 13:02:32.573490
-3,-3,-1,-7,-9,-7,-4,-1,2021-08-07 13:02:32.573490
1,2,3,7,11,8,4,3,2021-08-07 13:02:32.582491
0,1,1,-1,-2,2,1,-2,2021-08-07 13:02:32.582491
-3,-4,-4,-9,-13,-10,-5,-3,2021-08-07 13:02:32.605491
1,2,1,8,14,9,4,2,2021-08-07 13:02:32.605491
0,0,0,1,5,0,0,1,2021-08-07 13:02:32.606492
-2,-2,-5,-10,-5,-1,-2,-1,2021-08-07 13:02:32.606492
-1,-2,1,4,-1,-2,-1,-2,2021-08-07 13:02:32.620489
0,4,2,4,-2,-1,-1,-2,2021-08-07 13:02:32.620489
0,-2,-2,-3,7,5,3,1,2021-08-07 13:02:32.621492
-6,-9,-14,-29,-34,-21,-9,-5,2021-08-07 13:02:32.621492
1,0,3,9,19,16,9,2,2021-08-07 13:02:32.633490
-3,-2,-3,-6,-11,-7,-4,-3,2021-08-07 13:02:32.634492
-1,1,0,-2,-19,-15,-8,-3,2021-08-07 13:02:32.642492
3,4,6,15,25,18,9,5,2021-08-07 13:02:32.642492
-1,-1,-1,1,9,4,1,0,2021-08-07 13:02:32.657489
0,-1,1,1,1,-2,-2,-1,2021-08-07 13:02:32.657489
-3,-2,0,-1,0,-1,-3,-2,2021-08-07 13:02:32.659491
-1,-1,-2,-6,-18,-12,-7,-2,2021-08-07 13:02:32.659491
0,0,1,1,0,-2,-2,0,2021-08-07 13:02:32.680491
0,1,0,4,10,5,5,-1,2021-08-07 13:02:32.680491
-4,-5,-6,-18,-25,-15,-8,-5,2021-08-07 13:02:32.686490
0,2,1,10,14,8,4,1,2021-08-07 13:02:32.686490
0,1,0,-1,1,3,2,0,2021-08-07 13:02:32.693489
-1,-2,0,2,-3,-6,-4,-1,2021-08-07 13:02:32.693489
1,0,1,5,11,10,4,2,2021-08-07 13:02:32.702489
-3,-2,0,0,4,2,0,-1,2021-08-07 13:02:32.702489
1,1,0,2,0,-1,-1,1,2021-08-07 13:02:32.717488
-3,-4,-8,-17,-26,-15,-7,-4,2021-08-07 13:02:32.717488
2,1,3,9,17,13,7,2,2021-08-07 13:02:32.719490
0,2,1,-1,-7,-6,-3,0,2021-08-07 13:02:32.719490
1,-1,-1,-4,0,0,0,0,2021-08-07 13:02:32.740491
-2,-1,-1,-2,1,1,-1,-1,2021-08-07 13:02:32.740491
0,-1,0,6,6,2,0,-2,2021-08-07 13:02:32.741490
2,3,1,5,6,4,2,0,2021-08-07 13:02:32.741490
-3,-3,-2,-9,-13,-7,-5,-2,2021-08-07 13:02:32.762489
-2,-3,-2,-2,-2,1,-2,-1,2021-08-07 13:02:32.762489
-2,-2,-3,-5,-6,-4,-3,-3,2021-08-07 13:02:32.764492
-2,-3,-3,-9,-11,-10,-2,-3,2021-08-07 13:02:32.764492
1,1,3,4,3,4,2,0,2021-08-07 13:02:32.777490
0,0,1,6,13,7,2,0,2021-08-07 13:02:32.777490
-2,-2,-2,-4,-8,-6,-3,-2,2021-08-07 13:02:32.779490
-2,-1,-1,-3,-4,-4,-1,-2,2021-08-07 13:02:32.779490
-1,-1,-1,-2,-5,-4,-1,-2,2021-08-07 13:02:32.800490
1,-1,0,5,9,5,1,2,2021-08-07 13:02:32.800490
-1,-1,-3,-9,-11,-7,-3,-1,2021-08-07 13:02:32.801491
2,1,3,5,6,3,2,2,2021-08-07 13:02:32.801491
-1,-2,-4,-2,-2,-2,-2,0,2021-08-07 13:02:32.813493
-5,-5,-7,-11,-11,-6,-3,-4,2021-08-07 13:02:32.814492
-1,1,2,5,8,5,2,0,2021-08-07 13:02:32.822490
-3,-2,-2,2,-2,-2,-3,-3,2021-08-07 13:02:32.823490
-4,-4,0,1,-5,-3,-4,-5,2021-08-07 13:02:32.837489
5,9,8,12,28,18,10,5,2021-08-07 13:02:32.837489
1,4,4,1,5,1,-3,1,2021-08-07 13:02:32.843490
0,0,0,2,2,2,2,0,2021-08-07 13:02:32.844493
-2,0,-3,-5,-12,-8,-2,-3,2021-08-07 13:02:32.859491
-3,-5,-6,-15,-23,-13,-5,-3,2021-08-07 13:02:32.859491
-1,-2,-2,3,10,6,2,-1,2021-08-07 13:02:32.867492
-2,-2,-2,-8,-14,-10,-4,-1,2021-08-07 13:02:32.868491
1,1,1,7,16,9,4,2,2021-08-07 13:02:32.882490
-1,-2,0,4,3,3,1,0,2021-08-07 13:02:32.882490
-1,-1,-3,-3,-8,-6,-2,-2,2021-08-07 13:02:32.884495
0,-1,-2,0,1,1,-1,-1,2021-08-07 13:02:32.884495
1,0,1,2,5,4,2,1,2021-08-07 13:02:32.897491
0,-1,0,2,2,0,-2,-1,2021-08-07 13:02:32.897491
-2,-3,-3,-4,-6,-5,-2,-3,2021-08-07 13:02:32.899490
0,-1,-1,-2,-1,0,-1,-1,2021-08-07 13:02:32.899490
-2,-2,-1,-6,-8,-7,-2,-2,2021-08-07 13:02:32.920491
-1,-1,-1,-2,-1,-2,-1,-3,2021-08-07 13:02:32.920491
0,1,-2,-5,-5,-1,0,0,2021-08-07 13:02:32.921490
0,0,1,5,8,5,1,0,2021-08-07 13:02:32.921490
2,3,2,1,0,1,1,2,2021-08-07 13:02:32.933490
-2,-3,-2,-1,-2,-3,-3,-2,2021-08-07 13:02:32.933490
-2,-3,-2,-6,-11,-6,-4,-2,2021-08-07 13:02:32.942490
1,0,1,2,4,5,3,2,2021-08-07 13:02:32.942490
1,1,3,4,3,2,1,1,2021-08-07 13:02:32.957490
0,0,-1,-2,-3,-3,-2,1,2021-08-07 13:02:32.957490
1,0,1,4,4,2,0,1,2021-08-07 13:02:32.959492
0,-3,-2,-6,-7,-6,-2,-1,2021-08-07 13:02:32.959492
-2,-2,-5,-12,-9,-5,-2,-3,2021-08-07 13:02:32.980491
-1,-2,-1,-1,-5,-3,-2,-1,2021-08-07 13:02:32.980491
-1,-3,-3,0,0,-1,-2,-2,2021-08-07 13:02:32.982493
1,1,4,7,7,5,0,-1,2021-08-07 13:02:32.982493
-3,-3,-2,-1,-6,-4,-3,-2,2021-08-07 13:02:32.993490
1,3,1,1,4,3,3,1,2021-08-07 13:02:32.993490
-2,-3,-3,-6,-6,-3,-2,-2,2021-08-07 13:02:33.010490
0,-1,-3,-4,-6,-5,-2,-2,2021-08-07 13:02:33.010490
0,0,0,3,4,3,0,1,2021-08-07 13:02:33.017492
0,-1,0,0,-1,0,0,-1,2021-08-07 13:02:33.017492
-1,-1,2,3,2,3,-1,0,2021-08-07 13:02:33.019490
0,0,0,0,2,1,1,-1,2021-08-07 13:02:33.019490
-2,0,-2,-2,-4,-2,-2,-3,2021-08-07 13:02:33.047490
0,0,-1,3,6,2,1,0,2021-08-07 13:02:33.047490
3,2,1,3,2,2,4,1,2021-08-07 13:02:33.054490
-1,-1,-1,-1,2,1,0,-2,2021-08-07 13:02:33.054490
-1,-4,-2,-3,-2,-3,-1,-2,2021-08-07 13:02:33.055491
-1,-3,-3,-3,-6,-4,-4,-3,2021-08-07 13:02:33.055491
-2,1,0,-5,-4,-2,-1,-2,2021-08-07 13:02:33.062490
2,3,4,11,18,10,4,3,2021-08-07 13:02:33.062490
1,1,-2,0,0,-3,-2,0,2021-08-07 13:02:33.077490
-1,-1,0,-2,-3,-1,0,-2,2021-08-07 13:02:33.077490
-1,-4,-4,-5,-3,-3,-3,-1,2021-08-07 13:02:33.079492
-2,-2,-1,-2,-3,-2,0,-1,2021-08-07 13:02:33.079492
0,-1,-1,1,-1,0,0,-1,2021-08-07 13:02:33.100492
-1,-1,-1,-4,-6,-4,-1,-3,2021-08-07 13:02:33.100492
-1,-2,0,-2,-4,-3,-3,-3,2021-08-07 13:02:33.101499
-1,-2,1,-2,-2,-2,-2,-1,2021-08-07 13:02:33.101499
0,-3,0,0,1,-2,-2,0,2021-08-07 13:02:33.113488
1,1,2,6,9,6,3,0,2021-08-07 13:02:33.113488
0,0,-2,0,1,1,1,1,2021-08-07 13:02:33.122491
0,-2,-2,-3,-4,-2,-2,-1,2021-08-07 13:02:33.122491
0,-1,0,-4,4,0,0,-1,2021-08-07 13:02:33.138493
0,-2,-1,-2,-2,-1,0,1,2021-08-07 13:02:33.138493
-1,-1,1,4,4,0,-1,-1,2021-08-07 13:02:33.143490
-1,-1,-2,-5,-10,-6,-4,-2,2021-08-07 13:02:33.143490
-1,-1,-1,1,3,1,-2,-2,2021-08-07 13:02:33.160492
-2,-1,-1,-2,-2,0,-1,-1,2021-08-07 13:02:33.160492
-1,-1,-2,2,3,0,1,-3,2021-08-07 13:02:33.161492
0,0,-1,-1,-5,-4,0,-1,2021-08-07 13:02:33.161492
-2,-1,-1,-4,-9,-7,-3,-1,2021-08-07 13:02:33.182489
0,-2,-2,0,7,6,3,0,2021-08-07 13:02:33.182489
0,-1,0,-1,-2,-2,-3,-3,2021-08-07 13:02:33.184489
-1,-3,-4,-13,-20,-11,-5,-3,2021-08-07 13:02:33.184489
3,3,4,13,25,19,9,5,2021-08-07 13:02:33.205491
-1,0,1,5,5,0,-2,1,2021-08-07 13:02:33.205491
-3,-2,-5,-9,-10,-5,-4,-1,2021-08-07 13:02:33.206490
-1,1,0,7,10,5,-1,0,2021-08-07 13:02:33.206490
-1,-2,-2,-10,-18,-7,-5,-2,2021-08-07 13:02:33.218491
1,3,2,3,5,-1,0,1,2021-08-07 13:02:33.218491
-3,-3,-2,-6,-10,-7,-4,-2,2021-08-07 13:02:33.233488
0,0,0,8,19,13,6,2,2021-08-07 13:02:33.233488
-2,-2,-3,-10,-11,-7,-3,-3,2021-08-07 13:02:33.242490
-3,-2,-7,-9,-13,-9,-6,-5,2021-08-07 13:02:33.242490
1,2,0,3,0,0,2,2,2021-08-07 13:02:33.244490
3,5,7,18,39,28,13,5,2021-08-07 13:02:33.244490
-5,-5,0,-6,-5,-9,-7,-3,2021-08-07 13:02:33.265492
-2,-3,-2,-18,-34,-20,-8,-5,2021-08-07 13:02:33.265492
-1,0,3,11,5,1,0,1,2021-08-07 13:02:33.266490
0,0,2,-3,9,7,4,2,2021-08-07 13:02:33.266490
-1,-4,-11,-17,-4,3,2,-1,2021-08-07 13:02:33.278491
-1,-2,-4,1,2,-3,-4,-2,2021-08-07 13:02:33.279492
-3,-3,-3,-5,-12,-7,-4,-1,2021-08-07 13:02:33.287490
1,-1,-2,-1,-15,-12,-6,-1,2021-08-07 13:02:33.287490
1,1,2,10,14,9,3,1,2021-08-07 13:02:33.302490
0,-3,-1,-2,-6,-3,-1,0,2021-08-07 13:02:33.302490
0,3,2,7,17,11,5,3,2021-08-07 13:02:33.304490
-5,-7,-10,-19,-30,-20,-11,-6,2021-08-07 13:02:33.304490
2,3,3,6,1,4,3,3,2021-08-07 13:02:33.325492
0,-1,1,9,16,8,3,0,2021-08-07 13:02:33.325492
2,2,2,5,10,6,2,0,2021-08-07 13:02:33.326491
-2,-3,-3,-5,-4,-5,-1,-1,2021-08-07 13:02:33.326491
0,-1,-2,-4,-19,-14,-6,-1,2021-08-07 13:02:33.338490
0,0,1,6,10,9,3,1,2021-08-07 13:02:33.339492
-2,-3,-3,-11,-13,-9,-5,-3,2021-08-07 13:02:33.347491
0,1,-1,-1,-1,-2,-1,-1,2021-08-07 13:02:33.347491
0,-2,0,10,14,10,4,0,2021-08-07 13:02:33.362490
-2,0,0,3,7,2,0,-1,2021-08-07 13:02:33.362490
-1,0,-1,-4,-5,-3,-2,-2,2021-08-07 13:02:33.364491
-2,-1,-3,-2,-8,-3,-3,-1,2021-08-07 13:02:33.364491
-1,1,1,-1,-8,-6,-1,0,2021-08-07 13:02:33.385491
-2,-2,-2,-5,-3,-1,-1,-2,2021-08-07 13:02:33.385491
1,-1,-1,1,12,9,3,0,2021-08-07 13:02:33.386492
2,1,4,11,10,5,4,3,2021-08-07 13:02:33.387493
0,1,1,2,-1,-2,-2,-2,2021-08-07 13:02:33.407492
-1,0,-3,-12,-14,-9,-5,-2,2021-08-07 13:02:33.407492
-1,-1,-2,-4,-5,-3,-1,-1,2021-08-07 13:02:33.409491
1,1,1,2,2,0,1,1,2021-08-07 13:02:33.409491
-2,-4,-4,-9,-10,-7,-5,-1,2021-08-07 13:02:33.422493
-1,-1,2,4,-4,-4,-3,-1,2021-08-07 13:02:33.422493
3,2,3,11,20,16,6,3,2021-08-07 13:02:33.424491
-1,0,0,-2,0,-2,-1,-1,2021-08-07 13:02:33.424491
-3,-4,-7,-7,-10,-6,-1,-2,2021-08-07 13:02:33.445003
-3,-3,-2,-1,-2,-1,-2,-3,2021-08-07 13:02:33.445003
0,1,-1,-7,-7,-5,-3,-2,2021-08-07 13:02:33.451527
1,2,2,2,4,4,1,1,2021-08-07 13:02:33.451527
1,0,1,5,6,1,1,0,2021-08-07 13:02:33.458525
-3,-3,-3,-6,-7,-4,-2,0,2021-08-07 13:02:33.459526
-2,-4,-2,2,3,-1,-1,0,2021-08-07 13:02:33.467527
-1,-2,-1,-2,-2,-1,-1,-1,2021-08-07 13:02:33.467527
-2,1,0,-3,-3,-3,-2,-3,2021-08-07 13:02:33.482523
-1,-3,-4,-6,-10,-7,-4,-1,2021-08-07 13:02:33.482523
0,1,1,2,-1,1,1,1,2021-08-07 13:02:33.484528
1,3,2,12,24,12,5,2,2021-08-07 13:02:33.484528
0,0,1,4,5,0,-1,-1,2021-08-07 13:02:33.505527
3,1,1,6,12,9,6,3,2021-08-07 13:02:33.505527
-2,-3,-3,-8,-11,-8,-5,-3,2021-08-07 13:02:33.506527
0,-1,-1,-6,-10,-7,-3,-2,2021-08-07 13:02:33.506527
0,2,1,4,3,2,3,0,2021-08-07 13:02:33.518527
-3,-1,-2,-6,-5,-4,-5,-5,2021-08-07 13:02:33.519526
-1,-2,-2,-6,-6,-4,-1,-2,2021-08-07 13:02:33.527526
1,-2,0,0,-3,-2,-1,-2,2021-08-07 13:02:33.527526
2,0,-3,-3,-2,1,0,1,2021-08-07 13:02:33.542530
2,1,1,-2,1,-1,0,2,2021-08-07 13:02:33.543529
1,-2,0,4,10,5,3,-1,2021-08-07 13:02:33.544525
-1,-1,-1,2,0,-1,-2,-1,2021-08-07 13:02:33.544525
-3,-3,-1,-4,-8,-4,-3,-4,2021-08-07 13:02:33.565528
-1,-3,-1,6,7,5,2,-3,2021-08-07 13:02:33.565528
1,3,3,4,7,2,2,2,2021-08-07 13:02:33.566525
-1,-2,-3,-8,-12,-8,-5,-2,2021-08-07 13:02:33.566525
1,0,-1,4,8,3,-1,0,2021-08-07 13:02:33.578526
-1,-2,-2,-5,-10,-8,-5,-1,2021-08-07 13:02:33.578526
4,4,4,9,24,17,7,3,2021-08-07 13:02:33.587529
-1,-1,-2,-2,-1,-2,0,-1,2021-08-07 13:02:33.587529
-1,-1,-1,-4,-3,-2,-1,-2,2021-08-07 13:02:33.602526
-1,0,-2,0,-3,-3,-2,-2,2021-08-07 13:02:33.602526
-3,-3,-5,-3,-9,-7,-4,-3,2021-08-07 13:02:33.604526
-1,1,-1,0,-1,0,-1,1,2021-08-07 13:02:33.604526
2,2,2,7,9,4,3,1,2021-08-07 13:02:33.625526
0,0,-2,-6,1,1,1,0,2021-08-07 13:02:33.625526
-3,-1,-4,-9,-14,-9,-3,-3,2021-08-07 13:02:33.627525
-2,-3,-3,-1,0,0,0,-5,2021-08-07 13:02:33.627525
-2,-2,-1,0,0,-1,-1,-2,2021-08-07 13:02:33.647525
-1,-1,0,1,-1,0,-1,-1,2021-08-07 13:02:33.647525
0,-2,-2,-1,-5,-2,-3,-1,2021-08-07 13:02:33.649526
-1,-1,-2,-6,-4,-3,-1,0,2021-08-07 13:02:33.649526
-1,-1,0,4,3,0,0,0,2021-08-07 13:02:33.662764
-2,-1,-4,-9,-8,-3,-2,-2,2021-08-07 13:02:33.662764
1,0,2,6,8,4,0,-1,2021-08-07 13:02:33.664526
0,0,0,-1,-5,-4,-2,-1,2021-08-07 13:02:33.664526
1,2,0,3,10,6,3,0,2021-08-07 13:02:33.685046
-3,-1,-3,-4,-3,-4,-3,0,2021-08-07 13:02:33.686046
-2,-2,-3,-9,-18,-11,-4,-2,2021-08-07 13:02:33.691046
2,2,2,3,5,4,2,2,2021-08-07 13:02:33.691046
0,0,0,1,-2,0,0,1,2021-08-07 13:02:33.708046
-1,-2,-2,5,9,5,-1,-1,2021-08-07 13:02:33.708046
-2,-2,-2,-2,-2,-3,-3,-2,2021-08-07 13:02:33.709048
0,0,0,-1,-1,0,-1,0,2021-08-07 13:02:33.709048
-2,-3,-3,-11,-14,-8,-4,-1,2021-08-07 13:02:33.722051
0,1,2,10,12,7,3,0,2021-08-07 13:02:33.722051
0,-1,-2,-2,-4,-2,-2,0,2021-08-07 13:02:33.730045
-1,1,2,4,3,2,1,0,2021-08-07 13:02:33.730045
-1,-1,-1,0,-1,-3,-3,0,2021-08-07 13:02:33.745045
-2,-4,-5,-17,-20,-14,-6,-3,2021-08-07 13:02:33.745045
-1,0,2,10,16,9,5,1,2021-08-07 13:02:33.747047
0,1,1,7,7,2,1,2,2021-08-07 13:02:33.747047
0,-2,-1,5,7,2,2,0,2021-08-07 13:02:33.768048
0,2,2,4,0,1,2,1,2021-08-07 13:02:33.768048
-2,0,-2,-9,-11,-7,-3,-3,2021-08-07 13:02:33.769046
2,1,-1,8,5,1,1,-1,2021-08-07 13:02:33.769046
0,0,0,-2,-1,-3,-1,-1,2021-08-07 13:02:33.782046
-1,-1,-2,-21,-9,-2,-4,-3,2021-08-07 13:02:33.782046
-3,-7,-9,-19,-19,-7,0,1,2021-08-07 13:02:33.789046
-3,-2,-6,1,-1,-3,-6,-4,2021-08-07 13:02:33.789046
3,3,3,-1,-1,3,7,2,2021-08-07 13:02:33.813045
-5,-6,-7,-10,-18,-14,-8,-4,2021-08-07 13:02:33.813045
-3,-3,-3,-6,-15,-11,-5,-4,2021-08-07 13:02:33.814049
3,4,11,24,33,23,11,6,2021-08-07 13:02:33.814049
1,4,4,20,25,16,7,1,2021-08-07 13:02:33.828046
