EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-3,-2,1,-1,-4,-1,-3,-2,2021-08-07 10:30:38,276884
-1,-1,-1,-5,-5,-3,-2,0,2021-08-07 10:30:38,276884
-1,-2,-1,0,0,0,-1,-2,2021-08-07 10:30:38,276884
1,0,-1,-2,-3,-1,0,-1,2021-08-07 10:30:38,276884
-1,-1,-3,-2,0,0,-2,0,2021-08-07 10:30:38,276884
-3,-3,-3,-6,-1,-1,-2,-3,2021-08-07 10:30:38,276884
2,3,4,14,20,9,4,3,2021-08-07 10:30:38,276884
-2,-1,-2,-3,-8,-3,-3,-1,2021-08-07 10:30:38,276884
2,1,3,7,8,4,3,1,2021-08-07 10:30:38,292931
-1,-2,-5,-6,-6,-3,-3,-1,2021-08-07 10:30:38,292931
-2,-4,-4,-10,-10,-8,-5,-2,2021-08-07 10:30:38,292931
1,-1,1,2,2,-1,1,-1,2021-08-07 10:30:38,292931
-1,-4,-5,-9,-11,-6,-3,-2,2021-08-07 10:30:38,324884
-1,-1,-1,-3,1,-1,-1,-1,2021-08-07 10:30:38,340944
1,1,2,1,-1,2,0,0,2021-08-07 10:30:38,356884
-1,1,0,7,15,3,1,0,2021-08-07 10:30:38,371884
-1,-4,-2,-1,-1,-1,2,1,2021-08-07 10:30:38,371884
-4,-2,-3,-4,-2,-3,-1,-2,2021-08-07 10:30:38,371884
0,0,-3,-8,-8,-5,-3,-1,2021-08-07 10:30:38,371884
1,-1,2,-3,-7,-2,-1,-1,2021-08-07 10:30:38,387883
-1,-2,-1,1,1,1,-1,-3,2021-08-07 10:30:38,387883
0,-1,1,-2,0,0,-1,0,2021-08-07 10:30:38,387883
1,0,2,6,3,0,1,0,2021-08-07 10:30:38,387883
0,-2,-2,-3,-4,-2,-1,0,2021-08-07 10:30:38,387883
-1,-1,-3,-7,-8,-5,-3,-1,2021-08-07 10:30:38,387883
-1,-3,-2,-1,-2,-1,-1,-3,2021-08-07 10:30:38,387883
-1,1,-2,3,1,0,0,0,2021-08-07 10:30:38,387883
-4,0,2,0,7,4,-2,-1,2021-08-07 10:30:38,387883
-2,-3,-4,-3,-3,-3,-1,0,2021-08-07 10:30:38,403919
0,0,-1,-2,-1,-1,0,0,2021-08-07 10:30:38,403919
0,-1,3,4,3,2,1,0,2021-08-07 10:30:38,403919
-1,0,-2,-2,-2,1,0,-2,2021-08-07 10:30:38,403919
-2,-1,-1,0,-1,-2,-3,-1,2021-08-07 10:30:38,434883
-3,-2,-3,-3,-6,-3,-3,-1,2021-08-07 10:30:38,434883
-1,-2,-5,-7,-3,0,0,0,2021-08-07 10:30:38,434883
-1,-1,0,2,0,-2,-1,-3,2021-08-07 10:30:38,434883
-1,1,4,7,8,4,3,1,2021-08-07 10:30:38,434883
-1,-2,-3,-2,-7,-4,0,0,2021-08-07 10:30:38,434883
-2,1,0,-2,-1,-1,-2,-2,2021-08-07 10:30:38,466883
-3,-3,-1,-1,-7,-4,-2,-1,2021-08-07 10:30:38,466883
0,-1,-2,-3,-4,0,-1,0,2021-08-07 10:30:38,466883
0,0,3,2,9,3,1,0,2021-08-07 10:30:38,466883
-2,0,-1,2,1,-1,-1,-1,2021-08-07 10:30:38,482918
-1,1,-1,-2,-6,-3,0,0,2021-08-07 10:30:38,483139
-1,-3,-4,-6,1,0,-1,-2,2021-08-07 10:30:38,483139
-2,-3,-5,-9,-3,-2,-2,0,2021-08-07 10:30:38,483139
0,-1,0,4,-3,-4,-3,-1,2021-08-07 10:30:38,495940
4,4,5,11,15,8,4,2,2021-08-07 10:30:38,496882
1,3,4,9,1,0,-1,0,2021-08-07 10:30:38,514921
-1,2,-1,1,2,1,0,-1,2021-08-07 10:30:38,514921
-3,-4,-8,-16,-16,-8,-4,-3,2021-08-07 10:30:38,530883
-4,-4,-3,0,0,-2,-2,0,2021-08-07 10:30:38,530883
-1,1,1,5,7,4,0,1,2021-08-07 10:30:38,530883
3,3,11,11,8,4,1,-1,2021-08-07 10:30:38,530883
-2,-5,-9,-15,-8,-4,-1,-2,2021-08-07 10:30:38,530883
-2,-5,-11,-16,-17,-9,-6,-2,2021-08-07 10:30:38,530883
-2,-2,-4,-8,-8,-3,0,-3,2021-08-07 10:30:38,530883
1,1,2,12,13,4,3,1,2021-08-07 10:30:38,530883
4,4,12,19,17,10,4,2,2021-08-07 10:30:38,562883
-1,-3,-2,-2,0,0,0,-2,2021-08-07 10:30:38,577941
-1,-3,-3,-3,-4,-4,-2,0,2021-08-07 10:30:38,577941
-2,-1,-2,-4,-5,-1,-1,0,2021-08-07 10:30:38,577941
0,-2,-1,-2,-1,-1,-1,-1,2021-08-07 10:30:38,577941
0,-1,0,2,3,1,1,0,2021-08-07 10:30:38,577941
-1,-2,-2,-3,-4,-6,-3,-2,2021-08-07 10:30:38,577941
-2,-2,-4,-9,-12,-7,-3,-1,2021-08-07 10:30:38,577941
-1,-1,-2,-6,-3,-1,-1,0,2021-08-07 10:30:38,593908
0,1,5,11,10,5,1,1,2021-08-07 10:30:38,593908
0,0,2,6,4,3,1,0,2021-08-07 10:30:38,593908
-2,-2,-5,-11,-4,-1,-1,-2,2021-08-07 10:30:38,593908
-3,-1,-4,-3,-7,-4,-2,-3,2021-08-07 10:30:38,641530
0,1,-1,-5,-3,-3,-3,-1,2021-08-07 10:30:38,657504
2,3,6,12,12,6,4,1,2021-08-07 10:30:38,673554
-2,-3,-3,2,0,1,0,-1,2021-08-07 10:30:38,689564
0,1,0,1,-3,-2,-1,-1,2021-08-07 10:30:38,721532
1,-1,0,1,-1,0,-2,-2,2021-08-07 10:30:38,721532
-5,-6,-7,-11,-10,-8,-3,-3,2021-08-07 10:30:38,721532
-2,-2,-4,-7,-10,-5,-2,-2,2021-08-07 10:30:38,721532
1,0,1,8,8,4,1,0,2021-08-07 10:30:38,721532
1,2,6,11,10,6,1,0,2021-08-07 10:30:38,721532
2,3,3,2,4,2,3,0,2021-08-07 10:30:38,721532
-3,-6,-12,-23,-20,-13,-7,-2,2021-08-07 10:30:38,721532
0,-1,-3,-8,-7,-3,-2,0,2021-08-07 10:30:38,722505
2,6,12,28,31,19,5,2,2021-08-07 10:30:38,722505
4,3,4,7,12,9,6,3,2021-08-07 10:30:38,722505
-9,-11,-19,-34,-41,-30,-12,-7,2021-08-07 10:30:38,722505
-1,-2,-1,-8,-10,-5,-2,0,2021-08-07 10:30:38,722505
-1,-2,-2,-5,-6,-5,-2,-1,2021-08-07 10:30:38,722505
1,5,10,22,24,15,5,2,2021-08-07 10:30:38,722505
1,2,1,8,14,8,3,1,2021-08-07 10:30:38,722505
-3,-3,0,-5,-4,-5,-3,-1,2021-08-07 10:30:38,722505
-2,0,-3,-3,-4,-2,-1,-1,2021-08-07 10:30:38,737503
-4,-4,-8,-12,-8,-6,-4,-4,2021-08-07 10:30:38,753507
3,7,11,24,18,9,4,2,2021-08-07 10:30:38,753507
-2,-1,-5,-6,-4,-3,-1,0,2021-08-07 10:30:38,768507
0,-2,-4,-8,-9,-5,-1,-3,2021-08-07 10:30:38,784507
-2,-4,-7,-11,-14,-9,-5,-2,2021-08-07 10:30:38,784507
1,2,2,11,14,9,2,1,2021-08-07 10:30:38,784507
0,0,3,6,8,7,2,0,2021-08-07 10:30:38,784507
-5,-6,-8,-19,-23,-15,-7,-6,2021-08-07 10:30:38,791514
-4,-3,-1,2,13,1,-1,-3,2021-08-07 10:30:38,791514
0,1,4,5,0,4,0,-1,2021-08-07 10:30:38,791514
-3,-3,-2,-2,0,2,-3,-2,2021-08-07 10:30:38,792505
4,2,0,-2,-4,-3,3,2,2021-08-07 10:30:38,792505
-1,-1,-3,-10,-15,-7,-4,-1,2021-08-07 10:30:38,792505
3,1,4,6,10,5,3,3,2021-08-07 10:30:38,792505
1,-1,-2,-4,-1,-1,0,1,2021-08-07 10:30:38,792505
0,-3,-4,-7,-8,-4,-3,-2,2021-08-07 10:30:38,792505
-2,-1,0,-3,-9,-3,-2,-1,2021-08-07 10:30:38,792505
-3,-4,-8,-14,-7,-4,-4,-2,2021-08-07 10:30:38,792505
3,3,7,32,28,10,4,2,2021-08-07 10:30:38,816540
-2,-2,-2,-1,1,1,-1,0,2021-08-07 10:30:38,816540
1,0,-1,-6,-6,-3,-1,0,2021-08-07 10:30:38,816540
0,0,0,1,-4,-2,-2,-1,2021-08-07 10:30:38,816540
-2,-2,-2,-8,-8,-5,-2,-3,2021-08-07 10:30:38,832531
-1,-4,-1,3,7,1,0,-1,2021-08-07 10:30:38,832749
1,2,0,4,4,1,1,-1,2021-08-07 10:30:38,832749
-1,-1,-1,-6,-10,-2,-2,0,2021-08-07 10:30:38,832749
-1,1,1,-2,6,1,0,-1,2021-08-07 10:30:38,864531
-1,2,0,1,-1,-1,0,-1,2021-08-07 10:30:38,864531
-3,-2,-4,-7,-12,-7,-2,-2,2021-08-07 10:30:38,879505
1,-2,-1,-1,-1,-1,-2,-1,2021-08-07 10:30:38,895562
0,0,2,8,13,4,3,1,2021-08-07 10:30:38,911506
2,3,1,0,-2,-1,-1,1,2021-08-07 10:30:38,911506
0,1,-1,-3,2,3,0,1,2021-08-07 10:30:38,927545
0,1,3,11,6,3,1,1,2021-08-07 10:30:38,943540
