EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-6,-4,-5,-9,-6,-5,-6,-5,2021-08-07 11:16:25.028570
-7,-7,-8,-10,-6,-7,-5,-4,2021-08-07 11:16:25.028570
0,-2,1,2,1,-1,-1,-1,2021-08-07 11:16:25.029568
3,1,1,3,6,5,4,4,2021-08-07 11:16:25.029568
-2,0,1,3,-2,-1,0,-1,2021-08-07 11:16:25.032568
-8,-7,-5,-7,-6,-5,-5,-5,2021-08-07 11:16:25.033569
1,0,-2,-4,-3,-2,-2,-1,2021-08-07 11:16:25.035570
5,4,3,3,3,5,2,6,2021-08-07 11:16:25.035570
-3,-4,-5,-9,-8,-6,-5,-5,2021-08-07 11:16:25.038569
-3,-1,2,7,6,2,-2,-4,2021-08-07 11:16:25.039570
0,-1,-2,-4,-7,-3,-2,-2,2021-08-07 11:16:25.047570
4,2,-2,-7,-5,0,2,2,2021-08-07 11:16:25.047570
1,-2,2,14,16,8,2,-3,2021-08-07 11:16:25.062569
-2,0,-2,-7,-9,-4,-3,-4,2021-08-07 11:16:25.062569
-3,-2,-3,-6,-3,-1,-1,1,2021-08-07 11:16:25.068569
1,2,2,10,11,3,2,1,2021-08-07 11:16:25.068569
-7,-6,-6,-11,-10,-7,-7,-5,2021-08-07 11:16:25.083569
2,2,1,1,1,1,0,1,2021-08-07 11:16:25.083569
-1,-1,-1,-2,-5,-3,0,-1,2021-08-07 11:16:25.100570
2,2,3,4,5,2,1,3,2021-08-07 11:16:25.100570
-2,-2,0,4,1,1,0,-2,2021-08-07 11:16:25.101568
-4,-7,-3,-1,-2,0,-2,-3,2021-08-07 11:16:25.101568
7,6,5,5,4,6,6,9,2021-08-07 11:16:25.147094
-11,-9,-8,-10,-8,-6,-10,-10,2021-08-07 11:16:25.147094
6,6,5,6,4,4,5,5,2021-08-07 11:16:25.148092
-3,-4,-2,0,-1,-2,-3,-3,2021-08-07 11:16:25.148092
7,4,4,0,1,2,4,4,2021-08-07 11:16:25.149093
-4,-2,-2,1,-2,-3,-4,-4,2021-08-07 11:16:25.149093
2,1,0,-2,-2,0,1,3,2021-08-07 11:16:25.152094
-3,-4,-2,-1,0,-2,-2,-4,2021-08-07 11:16:25.152094
6,6,8,15,16,9,7,6,2021-08-07 11:16:25.158094
-5,-5,-4,-4,-6,-5,-4,-6,2021-08-07 11:16:25.159093
-2,-4,-3,-7,-7,-2,-1,-1,2021-08-07 11:16:25.166095
0,-1,0,2,1,0,-3,0,2021-08-07 11:16:25.166095
5,2,1,-7,-4,1,3,4,2021-08-07 11:16:25.175094
-2,-2,0,-2,-2,-2,-4,-4,2021-08-07 11:16:25.175094
1,0,-1,-2,2,1,-1,1,2021-08-07 11:16:25.189096
0,-1,-1,-1,-2,0,0,2,2021-08-07 11:16:25.189096
-1,-3,-3,-3,-5,-4,-2,-2,2021-08-07 11:16:25.198094
0,-2,0,7,8,3,0,-1,2021-08-07 11:16:25.198094
2,1,3,2,3,2,2,1,2021-08-07 11:16:25.220094
1,3,2,-2,-2,0,1,0,2021-08-07 11:16:25.220094
1,2,-1,1,0,-1,-2,1,2021-08-07 11:16:25.221092
