EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-5,4,3,1,-12,-2,0,-9,2021-08-06 17:35:12,972306
-3,-8,0,1,24,1,-2,-1,2021-08-06 17:35:12,972306
2,3,11,0,-13,0,-1,0,2021-08-06 17:35:12,972306
0,1,16,0,7,0,-2,0,2021-08-06 17:35:12,972306
-2,-5,-10,-3,-6,-3,-1,0,2021-08-06 17:35:12,972306
-2,2,-5,-1,-6,0,0,-3,2021-08-06 17:35:12,972306
2,0,6,4,2,-1,-1,0,2021-08-06 17:35:12,972306
-1,-1,-22,-8,-2,-1,0,-3,2021-08-06 17:35:12,973307
-1,-1,42,2,5,-1,0,2,2021-08-06 17:35:12,973307
-4,-3,-68,-2,-4,0,0,-2,2021-08-06 17:35:12,973307
0,-1,11,2,0,-1,-2,-2,2021-08-06 17:35:13,003307
2,-1,10,2,-5,1,-1,3,2021-08-06 17:35:13,003307
-1,-2,11,2,7,0,0,-1,2021-08-06 17:35:13,003307
-1,3,16,-1,-3,3,0,-2,2021-08-06 17:35:13,003307
-2,-8,-22,-6,-4,4,4,16,2021-08-06 17:35:13,003307
-2,-8,12,-5,0,-8,-7,-33,2021-08-06 17:35:13,003307
-2,6,-10,2,3,3,-2,5,2021-08-06 17:35:13,019306
0,-7,26,1,-8,-5,0,1,2021-08-06 17:35:13,019306
3,3,-2,0,1,-2,0,0,2021-08-06 17:35:13,035307
-1,0,13,0,1,3,1,7,2021-08-06 17:35:13,051307
0,-8,-36,-4,-12,-4,0,-3,2021-08-06 17:35:13,066307
1,6,13,-3,17,0,-4,-1,2021-08-06 17:35:13,066307
0,0,0,-4,-10,0,-3,-3,2021-08-06 17:35:13,066307
2,2,-7,8,0,1,1,5,2021-08-06 17:35:13,066307
1,-2,-2,-8,0,1,-1,-6,2021-08-06 17:35:13,066307
-1,4,7,1,-3,0,3,3,2021-08-06 17:35:13,066307
-1,-4,8,-1,-4,-1,-1,1,2021-08-06 17:35:13,106306
-1,4,35,3,-1,-3,-2,1,2021-08-06 17:35:13,106306
-6,-11,-52,-4,-5,-4,-2,-2,2021-08-06 17:35:13,106306
-2,-9,-5,-2,2,-9,-1,-3,2021-08-06 17:35:13,107308
3,4,12,1,3,11,2,2,2021-08-06 17:35:13,107308
2,1,-4,-4,-3,-3,-1,4,2021-08-06 17:35:13,107308
-3,5,24,3,3,3,-2,-10,2021-08-06 17:35:13,107308
-1,-1,5,1,-6,-4,-2,4,2021-08-06 17:35:13,107308
4,0,0,-3,2,-4,0,2,2021-08-06 17:35:13,107308
-2,-14,-23,-5,-9,-1,-4,8,2021-08-06 17:35:13,107308
-3,0,-11,-2,13,-4,-2,-21,2021-08-06 17:35:13,129306
-2,4,7,2,-3,3,-2,1,2021-08-06 17:35:13,161308
0,-2,12,3,-9,-15,-1,0,2021-08-06 17:35:13,177305
4,5,2,1,3,22,3,5,2021-08-06 17:35:13,177305
0,-2,-9,-1,-4,-3,3,6,2021-08-06 17:35:13,177305
1,11,44,3,3,-2,1,-4,2021-08-06 17:35:13,177305
0,-14,-94,-9,1,-2,-1,-5,2021-08-06 17:35:13,192307
-1,-3,-1,3,-4,-9,-4,-9,2021-08-06 17:35:13,192307
0,4,4,-6,-6,-2,-2,5,2021-08-06 17:35:13,192307
-4,-6,-28,-2,1,5,-1,-2,2021-08-06 17:35:13,192307
1,1,20,-3,-2,-1,2,2,2021-08-06 17:35:13,208306
-1,0,9,0,5,0,-3,-5,2021-08-06 17:35:13,224307
-1,0,4,2,-8,2,-1,2,2021-08-06 17:35:13,224307
0,1,-7,-6,3,-1,1,2,2021-08-06 17:35:13,240308
-3,1,-2,5,4,3,0,-2,2021-08-06 17:35:13,256304
-1,0,4,-5,-20,-2,-1,-5,2021-08-06 17:35:13,256304
0,-1,11,5,31,2,0,4,2021-08-06 17:35:13,256304
2,2,-19,-1,-17,-4,1,-1,2021-08-06 17:35:13,256304
-2,-1,18,-1,-1,2,0,1,2021-08-06 17:35:13,256304
0,0,-13,-2,2,4,2,-1,2021-08-06 17:35:13,256304
-2,0,21,4,-8,0,-1,5,2021-08-06 17:35:13,256304
-2,-10,-71,-9,6,-3,-1,-11,2021-08-06 17:35:13,256304
-1,0,13,-1,-2,2,-3,-2,2021-08-06 17:35:13,287306
-1,-4,-4,-2,-2,-10,-2,-2,2021-08-06 17:35:13,302306
-2,5,7,1,-7,1,0,7,2021-08-06 17:35:13,302306
-1,-1,15,2,7,6,0,6,2021-08-06 17:35:13,302306
1,6,29,1,-4,-2,-1,-13,2021-08-06 17:35:13,302306
-3,-13,-56,-1,4,-4,-1,3,2021-08-06 17:35:13,302306
-2,2,9,-4,-2,-3,-2,-5,2021-08-06 17:35:13,302306
-1,17,37,0,-11,-4,-4,1,2021-08-06 17:35:13,302306
-3,-30,-42,-7,3,-3,-2,5,2021-08-06 17:35:13,318305
3,4,21,6,10,4,2,-2,2021-08-06 17:35:13,318305
1,-2,-10,2,-1,3,0,0,2021-08-06 17:35:13,318305
-4,4,36,1,-2,-3,0,0,2021-08-06 17:35:13,318305
0,6,-36,-6,-7,0,-3,-2,2021-08-06 17:35:13,334306
-3,-8,1,-2,1,-3,-2,-4,2021-08-06 17:35:13,334306
0,0,-2,0,-4,0,2,5,2021-08-06 17:35:13,349307
2,-7,-8,3,-10,1,-2,-1,2021-08-06 17:35:13,349307
1,4,25,-2,20,-8,-1,0,2021-08-06 17:35:13,349307
0,-1,-16,-1,-5,12,1,8,2021-08-06 17:35:13,364306
-3,-2,0,0,-1,-8,-1,-19,2021-08-06 17:35:13,364306
-3,-5,-13,-3,-4,-2,-1,2,2021-08-06 17:35:13,364306
2,1,17,3,2,-4,1,-2,2021-08-06 17:35:13,364306
1,6,23,-1,-2,-7,-1,6,2021-08-06 17:35:13,364306
-2,-9,-37,-4,-4,1,-3,3,2021-08-06 17:35:13,364306
-3,-9,-2,-8,0,0,-3,-5,2021-08-06 17:35:13,364306
-2,-1,18,5,-6,0,-3,0,2021-08-06 17:35:13,365307
0,10,7,0,9,-2,3,-3,2021-08-06 17:35:13,365307
1,-6,-4,3,-6,2,-1,1,2021-08-06 17:35:13,365307
1,-4,-7,1,4,-2,1,-2,2021-08-06 17:35:13,380307
0,7,-5,0,-3,5,0,2,2021-08-06 17:35:13,380307
1,-3,5,-3,-5,-1,-1,-3,2021-08-06 17:35:13,380307
0,5,-2,-2,-1,-6,-3,-14,2021-08-06 17:35:13,380307
0,-6,-63,-1,6,-15,-1,6,2021-08-06 17:35:13,380307
1,2,11,0,-7,20,-3,-1,2021-08-06 17:35:13,380307
-1,2,11,-1,-6,-7,-3,-4,2021-08-06 17:35:13,380307
0,-7,-15,1,4,-3,-1,8,2021-08-06 17:35:13,412307
-3,3,36,2,10,4,1,-3,2021-08-06 17:35:13,412307
2,1,3,0,-7,-6,3,2,2021-08-06 17:35:13,412307
-2,-2,-21,-1,1,-3,-1,-4,2021-08-06 17:35:13,412307
-1,-1,15,-1,-8,0,-3,1,2021-08-06 17:35:13,428307
