EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
1,0,7,1,-7,-1,-1,2,2021-08-06 17:33:29.188944
2,1,25,2,-1,0,-1,1,2021-08-06 17:33:29.188944
-2,-1,-38,-2,-5,-1,-2,-2,2021-08-06 17:33:29.195944
-1,-1,-1,-5,3,2,0,0,2021-08-06 17:33:29.195944
1,2,9,1,0,-1,-1,-5,2021-08-06 17:33:29.211943
-4,-2,-7,2,1,-9,-1,5,2021-08-06 17:33:29.212946
-2,0,25,1,-13,11,-3,-1,2021-08-06 17:33:29.212946
-3,-3,-33,-1,24,-3,0,-2,2021-08-06 17:33:29.213958
2,0,16,2,-10,0,2,2,2021-08-06 17:33:29.233943
1,0,-2,-5,1,-3,-1,0,2021-08-06 17:33:29.234946
2,2,10,-3,-3,-6,-3,-4,2021-08-06 17:33:29.235959
-1,1,12,1,-9,1,1,-4,2021-08-06 17:33:29.235959
-1,-3,-37,-9,0,-4,-2,1,2021-08-06 17:33:29.248943
0,-4,-18,-3,-3,3,-1,-3,2021-08-06 17:33:29.248943
-1,-1,5,-1,4,-3,-1,-1,2021-08-06 17:33:29.255943
0,0,6,0,-1,5,-2,0,2021-08-06 17:33:29.255943
-1,1,10,4,-1,-2,0,1,2021-08-06 17:33:29.271943
-3,0,10,-1,1,1,-2,-3,2021-08-06 17:33:29.271943
-1,-2,-28,-5,3,-1,-2,0,2021-08-06 17:33:29.273945
-1,0,2,0,-3,-6,-2,-4,2021-08-06 17:33:29.273945
1,-1,47,1,-8,0,-1,1,2021-08-06 17:33:29.293943
-1,-3,-36,-5,7,-1,-1,-2,2021-08-06 17:33:29.294944
-3,0,0,0,-7,-3,-1,0,2021-08-06 17:33:29.295942
0,0,-1,4,15,-1,-2,-2,2021-08-06 17:33:29.295942
-2,0,-6,1,-8,1,-1,0,2021-08-06 17:33:29.308944
4,-3,13,2,1,0,2,0,2021-08-06 17:33:29.308944
-2,-3,-5,-1,-3,-3,-2,-2,2021-08-06 17:33:29.315945
-3,1,-2,-4,-6,-8,-1,1,2021-08-06 17:33:29.315945
-1,-1,3,2,5,18,-2,-1,2021-08-06 17:33:29.331944
0,-2,7,-4,-2,-4,-1,-1,2021-08-06 17:33:29.332943
1,-1,3,2,7,-2,2,3,2021-08-06 17:33:29.333944
0,-1,5,2,-9,0,2,-3,2021-08-06 17:33:29.333944
1,0,-7,-2,10,-8,-2,4,2021-08-06 17:33:29.361943
-2,2,5,-3,-11,0,-4,0,2021-08-06 17:33:29.362945
-2,-2,-21,-4,-3,-1,-2,-2,2021-08-06 17:33:29.363943
