EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-1,-1,-1,-2,0,1,-1,0,2021-08-07 10:33:08,569423
1,1,0,-2,-3,0,1,1,2021-08-07 10:33:08,569423
-1,0,2,11,16,7,0,-1,2021-08-07 10:33:08,569423
-1,0,-2,-3,-5,-3,2,-2,2021-08-07 10:33:08,569423
-2,-2,-3,-3,-5,-4,-2,-2,2021-08-07 10:33:08,569423
0,0,1,3,-4,-2,-1,-1,2021-08-07 10:33:08,569423
-2,-2,-5,-5,-3,-4,-2,1,2021-08-07 10:33:08,569423
1,2,1,-6,-5,-2,-2,0,2021-08-07 10:33:08,569423
-3,-3,-6,-5,4,1,-1,-1,2021-08-07 10:33:08,569423
2,2,6,16,20,11,5,0,2021-08-07 10:33:08,570423
-2,-1,-3,-4,-8,-5,-2,-3,2021-08-07 10:33:08,570423
-1,-3,-1,0,-3,-1,-1,-2,2021-08-07 10:33:08,570423
-1,0,-2,-10,-13,-7,-3,-2,2021-08-07 10:33:08,570423
0,-2,-2,-5,-6,-4,-4,-1,2021-08-07 10:33:08,570423
-1,-2,-2,-3,-1,0,-1,-1,2021-08-07 10:33:08,585422
-2,-2,-3,-3,-1,-2,-3,-1,2021-08-07 10:33:08,585422
0,-1,0,2,2,1,0,-1,2021-08-07 10:33:08,601424
-1,-2,-3,-5,-5,-3,-2,0,2021-08-07 10:33:08,617423
1,2,3,6,-2,-2,0,-2,2021-08-07 10:33:08,632423
-3,-4,-5,-14,-13,-7,-3,-2,2021-08-07 10:33:08,632423
3,0,2,4,10,4,2,0,2021-08-07 10:33:08,632423
0,0,1,6,12,5,2,3,2021-08-07 10:33:08,632423
-2,-2,-1,0,-4,-2,-1,-2,2021-08-07 10:33:08,632423
1,0,-4,-12,-8,-1,-2,1,2021-08-07 10:33:08,632423
-1,-2,-4,-3,0,0,-1,-2,2021-08-07 10:33:08,664423
-4,-4,-4,-5,-3,-4,-2,-2,2021-08-07 10:33:08,680423
1,2,1,-7,-11,-5,-2,1,2021-08-07 10:33:08,680423
2,-1,-1,-5,-3,0,-2,1,2021-08-07 10:33:08,680423
0,-1,0,3,4,2,0,0,2021-08-07 10:33:08,680423
-1,0,-1,1,5,1,-2,-1,2021-08-07 10:33:08,680423
-3,-6,-5,-7,-1,-3,-1,-2,2021-08-07 10:33:08,680423
-1,-1,-3,-1,-2,0,0,1,2021-08-07 10:33:08,680423
1,-1,-1,-2,-4,-3,0,-1,2021-08-07 10:33:08,680423
0,0,-1,1,-1,-1,-1,0,2021-08-07 10:33:08,680423
-2,-1,-2,-5,-8,-4,-2,-2,2021-08-07 10:33:08,696422
