EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
4,5,5,14,17,7,4,2,2021-08-07 11:39:05,588510
-2,-2,-1,1,-1,-3,-2,-3,2021-08-07 11:39:05,588510
1,3,-1,-5,-2,-1,-1,0,2021-08-07 11:39:05,588510
-1,-2,-2,-9,-11,-4,-2,-2,2021-08-07 11:39:05,588510
-1,0,-2,-3,-6,-3,-2,-2,2021-08-07 11:39:05,589504
-2,-3,-4,-9,-5,-2,-1,-2,2021-08-07 11:39:05,589504
0,-1,3,10,13,4,1,-1,2021-08-07 11:39:05,589504
4,3,4,7,10,5,2,2,2021-08-07 11:39:05,589504
-1,-1,-1,-3,-5,-2,-1,-1,2021-08-07 11:39:05,619504
-4,-3,-4,-2,0,0,-4,-3,2021-08-07 11:39:05,619504
-4,-1,-2,-9,-13,-5,-2,0,2021-08-07 11:39:05,619504
0,-1,-2,-5,-7,-5,-1,0,2021-08-07 11:39:05,619504
-3,-3,-3,-6,-8,-3,-2,-2,2021-08-07 11:39:05,619504
0,-1,2,3,12,4,2,1,2021-08-07 11:39:05,619504
-1,-3,-1,-1,-1,-1,-2,0,2021-08-07 11:39:05,635503
-2,-1,0,6,8,2,-1,-1,2021-08-07 11:39:05,651503
2,0,-1,-6,-5,-1,-1,1,2021-08-07 11:39:05,683504
-2,-1,-2,-3,-8,-4,-1,-2,2021-08-07 11:39:05,683504
3,4,6,10,15,8,4,1,2021-08-07 11:39:05,699502
1,2,1,0,-3,-1,0,1,2021-08-07 11:39:05,714504
-3,-3,0,6,7,3,-2,-2,2021-08-07 11:39:05,714504
1,1,1,-1,-1,-4,-2,-1,2021-08-07 11:39:05,714504
2,1,2,2,1,2,3,1,2021-08-07 11:39:05,714504
-2,-1,0,-2,0,-1,-2,0,2021-08-07 11:39:05,715507
-1,0,-2,-3,-5,-3,-2,-2,2021-08-07 11:39:05,745505
-2,-3,-3,-5,-5,-2,0,-1,2021-08-07 11:39:05,761503
0,2,1,-4,-6,-3,0,1,2021-08-07 11:39:05,777505
-5,-6,-6,-11,-11,-6,-4,-4,2021-08-07 11:39:05,777505
0,1,2,5,9,2,0,0,2021-08-07 11:39:05,777505
2,1,0,5,6,0,0,0,2021-08-07 11:39:05,777505
-1,-2,-2,2,0,0,-1,-2,2021-08-07 11:39:05,777505
-1,-4,-4,-3,-3,-1,-2,-2,2021-08-07 11:39:05,777505
2,0,-1,-1,-2,-2,1,0,2021-08-07 11:39:05,778505
-2,-1,-2,-6,-4,-2,-2,0,2021-08-07 11:39:05,778505
0,1,0,1,2,0,-1,-1,2021-08-07 11:39:05,778505
1,2,-1,-2,-5,-2,0,-1,2021-08-07 11:39:05,793504
-3,-3,-1,-4,1,2,-2,-2,2021-08-07 11:39:05,793504
0,0,4,9,7,1,1,2,2021-08-07 11:39:05,793504
0,-2,-1,-2,0,0,1,0,2021-08-07 11:39:05,793504
-3,-1,0,-1,-2,-1,-1,-1,2021-08-07 11:39:05,793504
-1,0,0,0,-1,-3,-1,0,2021-08-07 11:39:05,794506
-1,-2,-3,-5,-11,-1,1,-2,2021-08-07 11:39:05,794506
-4,-7,-6,-4,7,2,-2,-1,2021-08-07 11:39:05,794506
1,1,2,4,-1,-7,-4,-1,2021-08-07 11:39:05,794506
-1,0,-2,0,2,0,-2,0,2021-08-07 11:39:05,809508
-2,-2,-2,-2,-2,-4,-4,-3,2021-08-07 11:39:05,824505
-1,0,-2,-2,-5,-3,0,-1,2021-08-07 11:39:05,840505
2,1,0,0,4,5,4,2,2021-08-07 11:39:05,840505
-2,-3,-1,-1,-4,-4,0,-1,2021-08-07 11:39:05,840505
-3,-3,-4,-3,-3,0,-1,-2,2021-08-07 11:39:05,840505
-1,-1,1,0,-3,-4,-3,-1,2021-08-07 11:39:05,840505
-3,-3,-3,2,2,0,-3,-3,2021-08-07 11:39:05,856505
1,0,1,2,-2,-1,-1,-1,2021-08-07 11:39:05,872506
0,0,-1,-3,-2,-2,0,0,2021-08-07 11:39:05,888505
