EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-15,-14,-13,-25,-34,-33,-27,-18,2021-08-07 11:49:21.518751
-2,-3,0,1,-3,-6,-1,0,2021-08-07 11:49:21.518751
1,-4,-10,-30,-56,-9,13,7,2021-08-07 11:49:21.520750
17,13,12,20,37,42,32,21,2021-08-07 11:49:21.520750
4,2,4,9,16,8,5,2,2021-08-07 11:49:21.532749
-1,-4,-2,-5,-6,-3,-1,-3,2021-08-07 11:49:21.532749
0,-2,-1,0,-2,-1,2,0,2021-08-07 11:49:21.541752
2,1,-3,-2,-7,2,3,3,2021-08-07 11:49:21.541752
0,-2,-2,-6,-8,-3,-2,0,2021-08-07 11:49:21.556751
-1,0,-2,0,1,-1,-4,-2,2021-08-07 11:49:21.556751
-4,-2,4,9,11,-3,-6,-3,2021-08-07 11:49:21.557749
2,3,-1,1,9,7,4,3,2021-08-07 11:49:21.557749
-1,-3,-5,-7,-12,-2,0,0,2021-08-07 11:49:21.578749
0,3,5,6,8,0,-4,0,2021-08-07 11:49:21.578749
-4,-2,0,0,7,-2,-4,-4,2021-08-07 11:49:21.580750
-1,-2,-7,-11,-14,-1,3,2,2021-08-07 11:49:21.580750
-2,-3,-4,-6,-8,1,-4,-2,2021-08-07 11:49:21.601748
-3,-2,0,7,15,0,-5,-4,2021-08-07 11:49:21.601748
-3,-3,-2,-7,-6,-7,-1,0,2021-08-07 11:49:21.602753
4,2,3,7,7,8,6,3,2021-08-07 11:49:21.602753
-1,-3,-3,-10,-4,-5,-3,-1,2021-08-07 11:49:21.623750
-2,-4,-2,0,-5,-5,-5,-3,2021-08-07 11:49:21.623750
-1,-1,-2,0,2,2,-1,-2,2021-08-07 11:49:21.625750
3,0,2,0,-3,3,1,2,2021-08-07 11:49:21.625750
0,-1,-2,-2,0,-3,-2,-3,2021-08-07 11:49:21.638750
-2,-3,-1,-7,-8,-6,-4,-3,2021-08-07 11:49:21.638750
0,-1,2,9,14,4,2,0,2021-08-07 11:49:21.640752
-1,0,1,-1,-6,-2,0,-2,2021-08-07 11:49:21.640752
-2,0,-1,1,1,1,0,0,2021-08-07 11:49:21.652752
0,0,-1,-5,-4,-1,-1,0,2021-08-07 11:49:21.652752
-2,-1,0,4,-2,-3,-3,-4,2021-08-07 11:49:21.661750
0,0,-1,1,5,2,2,1,2021-08-07 11:49:21.661750
-1,1,-1,-5,-8,-3,0,3,2021-08-07 11:49:21.676751
0,-1,-1,-1,-4,-4,-1,-1,2021-08-07 11:49:21.676751
0,0,3,14,21,7,2,3,2021-08-07 11:49:21.678751
-1,-1,-3,-3,-9,-4,0,-2,2021-08-07 11:49:21.678751
2,1,1,-2,0,3,1,2,2021-08-07 11:49:21.698752
-3,-1,-3,0,6,1,-3,-2,2021-08-07 11:49:21.698752
0,-1,-2,-2,-3,-1,1,0,2021-08-07 11:49:21.700750
-1,0,-1,-5,-10,-2,0,-1,2021-08-07 11:49:21.700750
0,1,3,7,9,2,0,-1,2021-08-07 11:49:21.712749
-4,-5,-4,-4,-3,-3,-3,-3,2021-08-07 11:49:21.712749
1,0,-1,-5,-7,-1,0,0,2021-08-07 11:49:21.728750
-1,-2,-1,-2,1,-1,-1,1,2021-08-07 11:49:21.728750
-1,1,-2,-7,-7,-1,0,-1,2021-08-07 11:49:21.736752
-1,-2,-2,-1,0,-2,-3,-2,2021-08-07 11:49:21.736752
-1,-1,0,2,0,0,-3,-1,2021-08-07 11:49:21.737751
-2,-4,-5,-11,-13,-7,-3,-3,2021-08-07 11:49:21.737751
1,2,4,15,26,9,3,2,2021-08-07 11:49:21.758748
1,1,2,4,0,-1,0,0,2021-08-07 11:49:21.758748
0,-1,-1,0,2,3,-1,0,2021-08-07 11:49:21.760750
-1,0,1,-2,-4,-2,-1,-1,2021-08-07 11:49:21.760750
-1,-1,-5,-15,-12,-4,-2,-2,2021-08-07 11:49:21.772751
-1,0,-1,0,1,-1,-1,0,2021-08-07 11:49:21.772751
-4,-1,-4,-10,-8,-5,-2,-2,2021-08-07 11:49:21.781751
0,-2,-4,-5,-3,-1,-1,-1,2021-08-07 11:49:21.781751
-1,-1,3,10,3,1,0,0,2021-08-07 11:49:21.796751
-1,-1,-2,0,3,1,0,-1,2021-08-07 11:49:21.796751
-3,-2,-1,-4,-3,-1,-2,-4,2021-08-07 11:49:21.797750
2,3,0,4,6,1,1,1,2021-08-07 11:49:21.797750
1,-1,-4,-6,-7,-5,-1,-1,2021-08-07 11:49:21.818752
-2,-4,-4,-11,-13,-6,-2,-2,2021-08-07 11:49:21.819752
0,0,-2,-3,-5,-2,0,0,2021-08-07 11:49:21.820751
0,1,3,8,14,6,2,1,2021-08-07 11:49:21.820751
2,0,1,12,11,5,4,2,2021-08-07 11:49:21.832753
-2,-2,-1,3,3,0,-1,0,2021-08-07 11:49:21.832753
-1,-1,-2,0,-4,-2,-1,-2,2021-08-07 11:49:21.848751
-2,0,3,8,1,0,-2,-2,2021-08-07 11:49:21.848751
-2,-1,0,-1,-4,-2,-3,-5,2021-08-07 11:49:21.856754
-2,0,-1,-1,-2,-2,-3,1,2021-08-07 11:49:21.856754
-1,0,-1,-4,-2,-3,0,-1,2021-08-07 11:49:21.857753
0,-2,-3,-8,-8,-3,0,-1,2021-08-07 11:49:21.857753
0,-1,-2,-6,0,-2,0,0,2021-08-07 11:49:21.886752
1,0,3,11,10,5,1,-1,2021-08-07 11:49:21.886752
1,-1,2,1,-3,-1,0,1,2021-08-07 11:49:21.887750
-1,-1,-1,3,1,1,-1,0,2021-08-07 11:49:21.887750
-2,-2,-4,-8,-9,-5,-2,-3,2021-08-07 11:49:21.892751
-2,0,1,1,3,0,-1,-1,2021-08-07 11:49:21.892751
-2,-1,0,0,1,0,-1,-2,2021-08-07 11:49:21.901752
-3,-4,-8,-17,-20,-8,-4,-3,2021-08-07 11:49:21.901752
0,1,5,25,14,6,1,2,2021-08-07 11:49:21.916750
0,2,0,-1,3,2,0,-1,2021-08-07 11:49:21.916750
0,-2,1,5,4,0,-1,-1,2021-08-07 11:49:21.917750
-2,-1,-1,-6,-3,-3,-1,0,2021-08-07 11:49:21.917750
-2,-2,-2,-8,-11,-4,-2,-3,2021-08-07 11:49:21.938752
1,-2,-1,-3,-4,-2,0,-1,2021-08-07 11:49:21.938752
-2,-2,-2,-5,-6,-4,-3,-1,2021-08-07 11:49:21.940756
0,-1,1,5,8,3,1,1,2021-08-07 11:49:21.940756
-1,0,-1,-3,-2,-2,-1,0,2021-08-07 11:49:21.952751
-2,-2,-3,-3,-3,0,-2,-2,2021-08-07 11:49:21.952751
-4,-2,-4,-8,-5,-5,-3,-1,2021-08-07 11:49:21.961750
1,1,-1,1,4,1,3,0,2021-08-07 11:49:21.961750
0,1,1,4,4,2,0,0,2021-08-07 11:49:21.976751
-4,-4,-5,-13,-16,-9,-4,-3,2021-08-07 11:49:21.976751
2,1,1,6,4,2,1,2,2021-08-07 11:49:21.977752
-1,-3,-3,-4,-2,-3,-2,0,2021-08-07 11:49:21.977752
-1,1,4,22,30,10,0,0,2021-08-07 11:49:21.998748
0,-2,1,0,-1,-1,0,0,2021-08-07 11:49:21.998748
-4,-4,-3,-8,-7,-5,-5,-4,2021-08-07 11:49:22.000753
-2,-2,-4,-10,-15,-7,-3,-1,2021-08-07 11:49:22.000753
0,-2,-6,-14,-13,-5,-2,-2,2021-08-07 11:49:22.012751
0,3,6,15,16,6,2,3,2021-08-07 11:49:22.012751
0,0,0,0,0,1,-1,0,2021-08-07 11:49:22.021752
0,0,3,6,8,2,1,-1,2021-08-07 11:49:22.021752
-3,-3,-5,-11,-11,-6,-4,-2,2021-08-07 11:49:22.036754
-2,-1,-3,-4,0,0,0,-1,2021-08-07 11:49:22.036754
0,-3,0,-2,-1,0,0,-1,2021-08-07 11:49:22.037750
0,1,0,5,3,2,1,0,2021-08-07 11:49:22.037750
-3,-2,-5,-12,-12,-7,-3,-1,2021-08-07 11:49:22.058748
0,2,-1,-4,-1,0,1,0,2021-08-07 11:49:22.058748
3,1,3,11,12,5,3,3,2021-08-07 11:49:22.060750
0,0,0,4,2,0,-1,1,2021-08-07 11:49:22.060750
0,-1,1,3,-1,-4,-1,-2,2021-08-07 11:49:22.072751
-3,-2,-6,-12,-10,-5,-4,-3,2021-08-07 11:49:22.072751
0,-1,-2,-1,-3,-1,0,-1,2021-08-07 11:49:22.096749
-4,-1,0,0,0,1,-2,-3,2021-08-07 11:49:22.096749
0,0,0,-1,-6,-3,0,0,2021-08-07 11:49:22.097750
0,-2,1,2,3,1,-1,-1,2021-08-07 11:49:22.097750
-1,-1,-4,-4,6,0,-1,-1,2021-08-07 11:49:22.099757
0,1,3,9,3,2,-1,1,2021-08-07 11:49:22.099757
-2,-4,-4,-6,-7,-1,-1,-1,2021-08-07 11:49:22.119751
-1,-2,-3,-6,-6,-4,-3,-2,2021-08-07 11:49:22.119751
-3,-1,0,-3,-4,-2,-2,-3,2021-08-07 11:49:22.141749
0,-2,-3,-8,-4,-2,-2,-1,2021-08-07 11:49:22.142752
1,0,0,1,5,1,-2,-1,2021-08-07 11:49:22.142752
-1,-2,-1,0,1,1,-1,-1,2021-08-07 11:49:22.142752
0,-2,0,1,1,0,0,-1,2021-08-07 11:49:22.144752
-4,-3,-4,-7,-11,-5,-3,-5,2021-08-07 11:49:22.144752
1,3,4,7,12,8,5,4,2021-08-07 11:49:22.155749
1,0,-2,-2,-3,-1,-1,0,2021-08-07 11:49:22.155749
-1,-1,-1,0,-2,-2,-3,-1,2021-08-07 11:49:22.162751
1,0,2,2,6,2,2,0,2021-08-07 11:49:22.162751
-3,-3,-3,-4,-8,-3,-3,-2,2021-08-07 11:49:22.178752
0,0,3,9,4,0,-1,0,2021-08-07 11:49:22.178752
