EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-3,-5,-10,-13,-4,-3,-2,2021-08-07 11:49:41,315537
0,-1,5,16,19,6,2,0,2021-08-07 11:49:41,315537
0,0,1,-2,1,-1,-1,1,2021-08-07 11:49:41,331537
-3,-3,-6,0,2,0,0,-2,2021-08-07 11:49:41,331537
2,1,1,-7,-5,-3,0,0,2021-08-07 11:49:41,331537
-5,-2,-6,-11,-12,-6,-3,-2,2021-08-07 11:49:41,331537
-1,-1,1,-4,1,0,-1,-1,2021-08-07 11:49:41,331537
1,1,6,12,6,3,2,1,2021-08-07 11:49:41,331537
-1,-1,-2,3,2,-1,-1,-1,2021-08-07 11:49:41,331537
-1,-2,-2,-2,-6,-2,-2,-1,2021-08-07 11:49:41,331537
-2,-1,-4,-10,-8,-3,-3,-2,2021-08-07 11:49:41,331537
-2,0,-2,-5,-3,-4,-3,-1,2021-08-07 11:49:41,331537
1,1,0,7,-2,0,0,-1,2021-08-07 11:49:41,347538
-1,-2,-2,-6,3,2,-1,-3,2021-08-07 11:49:41,347538
-2,-1,-1,1,3,2,1,-1,2021-08-07 11:49:41,363537
3,2,1,-4,-3,-1,0,1,2021-08-07 11:49:41,379536
-3,-3,-2,-1,2,0,0,-2,2021-08-07 11:49:41,379536
-1,1,2,7,-6,-4,-1,0,2021-08-07 11:49:41,379536
-1,-3,-1,2,-2,-2,0,0,2021-08-07 11:49:41,379536
-1,0,0,-3,2,3,1,-2,2021-08-07 11:49:41,379536
-1,0,-3,-2,-7,-5,-2,-2,2021-08-07 11:49:41,411539
-2,-5,-3,-10,-6,-2,-3,-2,2021-08-07 11:49:41,411539
0,-1,0,1,7,3,1,1,2021-08-07 11:49:41,411539
0,1,2,1,-2,0,-1,-1,2021-08-07 11:49:41,411539
2,-1,-1,-2,5,2,1,1,2021-08-07 11:49:41,411539
-2,-1,-6,-11,-11,-5,-2,0,2021-08-07 11:49:41,411539
-1,0,1,1,-4,-1,-1,-1,2021-08-07 11:49:41,427538
1,0,3,9,10,3,2,0,2021-08-07 11:49:41,443536
-3,-1,0,3,-3,-2,-2,-2,2021-08-07 11:49:41,458536
-2,-3,-2,1,6,2,-1,-2,2021-08-07 11:49:41,458536
0,0,2,-2,1,1,0,0,2021-08-07 11:49:41,458536
-3,-2,-7,-6,-8,-5,-3,-2,2021-08-07 11:49:41,458536
0,-1,0,-2,-1,0,-1,-1,2021-08-07 11:49:41,458536
-1,3,1,1,-1,0,1,0,2021-08-07 11:49:41,458536
-2,-3,0,-1,-5,-3,-3,-2,2021-08-07 11:49:41,458536
-2,-3,-3,-5,-4,-4,-2,-2,2021-08-07 11:49:41,459539
0,-1,-2,-1,5,2,0,0,2021-08-07 11:49:41,461537
1,0,0,2,1,1,-1,-1,2021-08-07 11:49:41,461537
-1,-2,-2,-2,0,-2,-2,-1,2021-08-07 11:49:41,490537
-5,-5,-3,-9,-10,-5,-3,-4,2021-08-07 11:49:41,490537
2,1,2,11,12,6,2,2,2021-08-07 11:49:41,506537
1,1,5,5,2,0,2,2,2021-08-07 11:49:41,506537
0,2,1,2,3,2,1,1,2021-08-07 11:49:41,506537
-1,-2,-3,-4,-4,-2,-2,-1,2021-08-07 11:49:41,506537
-5,-6,-12,-32,-31,-15,-6,-6,2021-08-07 11:49:41,522538
4,3,6,19,14,8,4,2,2021-08-07 11:49:41,538536
3,3,4,12,27,10,4,1,2021-08-07 11:49:41,554538
-1,0,1,-1,-2,0,1,-1,2021-08-07 11:49:41,554538
-1,-2,0,2,2,0,-3,-1,2021-08-07 11:49:41,554538
-3,-3,-5,-15,-18,-9,-3,-4,2021-08-07 11:49:41,554538
-3,-2,-3,-7,-10,-3,-4,-1,2021-08-07 11:49:41,554538
0,0,2,6,6,2,0,0,2021-08-07 11:49:41,554538
1,1,0,-1,-2,-1,0,1,2021-08-07 11:49:41,554538
0,-1,-1,-1,-1,-1,-1,-1,2021-08-07 11:49:41,555538
-1,-2,-2,-2,-2,-2,0,-3,2021-08-07 11:49:41,570538
0,-1,-1,2,1,-1,-1,-1,2021-08-07 11:49:41,586538
0,0,0,2,-4,-2,0,-3,2021-08-07 11:49:41,586538
0,-1,1,1,2,0,-2,1,2021-08-07 11:49:41,586538
0,0,-3,0,0,1,-2,-2,2021-08-07 11:49:41,586538
-1,-2,-1,1,2,0,-1,-1,2021-08-07 11:49:41,586538
-1,1,0,-3,1,0,1,0,2021-08-07 11:49:41,586538
-1,1,0,0,-1,-1,0,-2,2021-08-07 11:49:41,586538
-4,-3,-8,-10,-17,-7,-2,-6,2021-08-07 11:49:41,602539
-1,1,1,2,6,2,-2,0,2021-08-07 11:49:41,602539
0,-1,2,5,4,2,-1,1,2021-08-07 11:49:41,618537
0,2,0,3,6,3,1,2,2021-08-07 11:49:41,618537
-3,-2,-5,-10,-12,-7,-3,0,2021-08-07 11:49:41,650536
2,0,2,2,-2,0,1,1,2021-08-07 11:49:41,666538
0,2,3,9,7,3,2,-2,2021-08-07 11:49:41,682538
-1,-1,-2,-2,-2,0,-2,0,2021-08-07 11:49:41,682538
-3,-3,-4,-5,-6,-3,-1,-3,2021-08-07 11:49:41,682538
-3,-3,-4,-4,-1,-2,-1,0,2021-08-07 11:49:41,682538
2,2,2,0,2,1,1,1,2021-08-07 11:49:41,682538
1,0,0,2,2,0,1,-1,2021-08-07 11:49:41,682538
2,0,1,1,1,0,0,0,2021-08-07 11:49:41,682538
0,0,-1,-2,-1,-4,-1,-1,2021-08-07 11:49:41,682538
-3,-3,-1,-3,-7,-3,-4,-2,2021-08-07 11:49:41,682538
-1,-1,-2,-1,3,1,-2,-2,2021-08-07 11:49:41,697538
-5,-5,-4,-3,-5,-2,-3,-2,2021-08-07 11:49:41,713537
2,1,0,4,2,1,1,1,2021-08-07 11:49:41,713537
0,0,-2,-1,4,1,1,-1,2021-08-07 11:49:41,713537
-1,-1,-3,-3,-6,-5,-2,-1,2021-08-07 11:49:41,713537
-1,-1,-1,-1,0,0,0,-1,2021-08-07 11:49:41,713537
-2,-2,-2,0,-2,-1,-2,-1,2021-08-07 11:49:41,713537
0,0,-1,1,1,1,-1,0,2021-08-07 11:49:41,713537
1,-1,1,1,-1,-2,0,-1,2021-08-07 11:49:41,714538
-2,-1,-3,-1,-1,-1,-1,-1,2021-08-07 11:49:41,729538
-2,-1,-2,-7,-6,-3,-2,-2,2021-08-07 11:49:41,729538
1,-1,1,-1,1,-1,-2,0,2021-08-07 11:49:41,729538
-1,-2,-1,-4,-2,-2,-1,-2,2021-08-07 11:49:41,729538
-1,1,2,3,1,-1,-2,1,2021-08-07 11:49:41,745538
