EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-6,-7,-8,-11,-14,-11,-8,-5,2021-08-07 12:54:51,633080
-3,-2,-1,1,1,-1,-3,-3,2021-08-07 12:54:51,633080
-7,-5,-5,-16,-33,-24,-13,-8,2021-08-07 12:54:51,633080
1,1,5,13,19,10,5,0,2021-08-07 12:54:51,633080
5,4,6,24,33,25,11,4,2021-08-07 12:54:51,633080
5,6,3,-2,5,5,4,6,2021-08-07 12:54:51,633080
0,0,-3,-8,-2,-7,-4,-2,2021-08-07 12:54:51,633080
-2,-4,-5,-18,-26,-15,-6,-4,2021-08-07 12:54:51,633080
-1,0,3,10,9,4,3,-1,2021-08-07 12:54:51,649055
1,0,2,9,1,-1,-1,-1,2021-08-07 12:54:51,649055
5,6,6,18,22,17,10,6,2021-08-07 12:54:51,649055
-3,-6,-8,-27,-24,-14,-7,-2,2021-08-07 12:54:51,649055
-4,-4,-5,-14,-16,-14,-7,-6,2021-08-07 12:54:51,665027
-2,-4,-1,-2,-6,-4,-2,-2,2021-08-07 12:54:51,665027
0,0,-2,1,4,6,3,3,2021-08-07 12:54:51,681064
-5,-3,1,10,-1,-4,-5,-5,2021-08-07 12:54:51,681064
4,7,6,5,15,12,8,6,2021-08-07 12:54:51,681064
-2,-1,-3,0,-7,-7,-3,-3,2021-08-07 12:54:51,681064
-4,-6,-7,-20,-18,-10,-6,-3,2021-08-07 12:54:51,712026
-6,-9,-9,-11,-17,-11,-10,-6,2021-08-07 12:54:51,712026
6,7,7,13,30,17,8,6,2021-08-07 12:54:51,712026
1,2,5,7,17,15,8,3,2021-08-07 12:54:51,712026
-1,0,3,14,6,2,0,-1,2021-08-07 12:54:51,728026
1,1,-1,2,4,3,1,0,2021-08-07 12:54:51,728026
-8,-8,-10,-25,-37,-26,-15,-8,2021-08-07 12:54:51,728026
0,0,-1,0,-1,2,0,1,2021-08-07 12:54:51,728026
-3,-4,-1,-3,-6,-3,-3,-3,2021-08-07 12:54:51,770061
