EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-1,5,3,-2,-13,-8,-2,-1,2021-08-07 13:03:52,124507
0,-1,2,3,7,5,1,1,2021-08-07 13:03:52,124507
-3,-7,-6,-2,-3,-5,-3,-4,2021-08-07 13:03:52,124507
5,7,6,1,-3,4,4,3,2021-08-07 13:03:52,124507
0,-1,-2,0,6,3,1,-1,2021-08-07 13:03:52,124507
-2,-1,-5,-11,-10,-6,-4,-1,2021-08-07 13:03:52,124507
-1,1,2,3,1,2,2,2,2021-08-07 13:03:52,124507
-4,-3,-3,1,-1,-4,-3,-1,2021-08-07 13:03:52,124507
0,0,1,-2,-6,-4,-3,0,2021-08-07 13:03:52,124507
-6,-6,-6,-10,-14,-6,-4,-3,2021-08-07 13:03:52,124507
1,1,2,6,17,9,3,2,2021-08-07 13:03:52,124507
1,0,-2,-5,-6,-2,-1,-2,2021-08-07 13:03:52,125509
-1,0,1,4,-1,-1,-1,0,2021-08-07 13:03:52,139508
-3,-3,-5,-2,7,0,-3,-3,2021-08-07 13:03:52,139508
-2,-2,-5,-14,-20,-15,-5,-3,2021-08-07 13:03:52,155510
-1,-2,-1,-3,-12,-5,-1,-1,2021-08-07 13:03:52,171508
1,-1,1,14,38,21,8,1,2021-08-07 13:03:52,187484
-3,-4,0,2,-4,-5,-2,-3,2021-08-07 13:03:52,203530
3,7,6,3,3,1,1,0,2021-08-07 13:03:52,203530
1,1,0,-7,-12,-9,-3,-1,2021-08-07 13:03:52,203530
-5,-7,-11,-21,-32,-20,-10,-5,2021-08-07 13:03:52,203530
3,2,3,5,10,11,7,3,2021-08-07 13:03:52,203530
-2,-3,-4,-3,-1,-1,-1,-1,2021-08-07 13:03:52,251484
0,0,-2,-9,-7,-2,-2,-2,2021-08-07 13:03:52,251484
0,-2,-1,6,10,4,3,0,2021-08-07 13:03:52,251484
1,-1,-1,-1,-2,-1,1,1,2021-08-07 13:03:52,251484
0,2,3,2,0,0,0,0,2021-08-07 13:03:52,251484
-4,-1,-1,-2,-6,-5,-3,-4,2021-08-07 13:03:52,251484
-7,-6,-9,-21,-28,-17,-11,-6,2021-08-07 13:03:52,251484
4,3,5,12,16,13,6,4,2021-08-07 13:03:52,252484
3,5,6,14,13,6,4,3,2021-08-07 13:03:52,252484
-2,-4,-6,-4,-2,-1,1,-2,2021-08-07 13:03:52,252484
-3,-5,-6,-3,5,4,1,0,2021-08-07 13:03:52,252484
2,6,4,1,-2,-3,1,2,2021-08-07 13:03:52,252484
0,1,0,-2,-1,1,-1,-1,2021-08-07 13:03:52,252484
1,1,2,2,-3,0,0,-2,2021-08-07 13:03:52,253484
-3,-2,-1,-1,-1,-5,-1,-2,2021-08-07 13:03:52,267480
-2,-6,-8,-8,-2,2,2,-1,2021-08-07 13:03:52,283521
-4,-4,-3,0,-2,-2,-2,-2,2021-08-07 13:03:52,287484
-2,1,-2,-1,4,-2,-5,-2,2021-08-07 13:03:52,287484
3,6,6,3,-5,-3,-3,1,2021-08-07 13:03:52,287484
-1,-1,-3,-5,-9,-6,-4,-1,2021-08-07 13:03:52,288486
-2,-3,-4,-4,-2,1,3,0,2021-08-07 13:03:52,299483
-4,-7,-7,-10,-9,-5,-3,-1,2021-08-07 13:03:52,315511
-1,0,0,3,5,3,1,0,2021-08-07 13:03:52,315511
-1,0,2,1,0,-2,-1,-1,2021-08-07 13:03:52,315511
3,3,4,2,7,5,2,1,2021-08-07 13:03:52,315511
0,-2,-3,-4,-5,-3,-2,-1,2021-08-07 13:03:52,315511
4,5,6,9,17,13,6,4,2021-08-07 13:03:52,347510
-4,-6,-7,-7,-10,-8,-5,-4,2021-08-07 13:03:52,347510
-4,-7,-9,-9,-5,-4,-3,-1,2021-08-07 13:03:52,347510
-2,1,2,-6,-11,-10,-5,-2,2021-08-07 13:03:52,347510
6,6,6,8,14,11,5,3,2021-08-07 13:03:52,347510
-1,-1,-1,2,0,2,1,0,2021-08-07 13:03:52,347510
-1,-3,-4,-3,0,-4,-4,-5,2021-08-07 13:03:52,363482
-5,-7,-4,-5,-10,-7,-6,-3,2021-08-07 13:03:52,363482
4,3,1,1,-3,-1,3,2,2021-08-07 13:03:52,379483
-1,1,-1,-13,-23,-14,-6,-2,2021-08-07 13:03:52,395508
1,3,5,15,28,19,8,1,2021-08-07 13:03:52,395508
1,3,1,8,14,6,3,1,2021-08-07 13:03:52,395508
-3,-3,-3,-3,-9,-5,-4,-4,2021-08-07 13:03:52,395508
0,2,3,1,0,-2,-1,2,2021-08-07 13:03:52,395508
-2,-2,-3,-11,-23,-14,-7,-2,2021-08-07 13:03:52,395508
-1,-1,0,3,2,4,2,-1,2021-08-07 13:03:52,395508
-3,-3,-1,4,7,2,0,-2,2021-08-07 13:03:52,411529
-3,-7,-8,-13,-14,-8,-5,-5,2021-08-07 13:03:52,411529
7,10,10,11,16,9,5,5,2021-08-07 13:03:52,427484
0,-1,-1,2,2,4,0,0,2021-08-07 13:03:52,443529
-2,-5,-6,-7,-6,-3,-1,-2,2021-08-07 13:03:52,459483
0,3,4,2,1,-1,1,0,2021-08-07 13:03:52,459483
