EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-1,-1,-1,-2,0,-1,-1,-1,2021-08-07 10:17:18.278849
-1,-2,-1,0,0,0,-1,1,2021-08-07 10:17:18.278849
-1,-1,1,-2,-1,-1,0,-1,2021-08-07 10:17:18.279844
-1,0,0,-1,-2,-1,-3,-1,2021-08-07 10:17:18.279844
0,-2,-1,-2,-1,1,-1,-1,2021-08-07 10:17:18.280851
-2,0,0,1,-1,0,-2,-1,2021-08-07 10:17:18.281845
0,-2,-1,-2,0,1,0,-1,2021-08-07 10:17:18.282845
-1,-1,0,-1,-1,0,-1,0,2021-08-07 10:17:18.282845
-1,0,-1,-2,-1,0,-1,-1,2021-08-07 10:17:18.288852
0,1,-1,-1,0,-1,0,-1,2021-08-07 10:17:18.288852
-2,1,-1,1,-1,-1,0,0,2021-08-07 10:17:18.303843
-2,0,1,-1,-1,-1,-1,-2,2021-08-07 10:17:18.304853
-1,0,-2,1,0,-2,-1,0,2021-08-07 10:17:18.309852
0,-1,0,-1,-1,0,-1,-1,2021-08-07 10:17:18.309852
-1,-1,-2,1,0,0,-2,0,2021-08-07 10:17:18.328850
-1,-1,-3,-1,-2,-2,0,0,2021-08-07 10:17:18.328850
-2,-1,0,0,0,0,-2,0,2021-08-07 10:17:18.331853
1,-2,-2,-3,-1,-1,-1,0,2021-08-07 10:17:18.332844
-2,0,0,1,0,-1,-1,-2,2021-08-07 10:17:18.349852
-2,-2,-2,-1,-2,1,-1,-1,2021-08-07 10:17:18.349852
0,-1,-1,0,-2,-2,-1,-1,2021-08-07 10:17:18.349852
-1,-1,-1,1,-1,0,-1,-1,2021-08-07 10:17:18.350852
0,-3,0,-1,0,-2,-1,-2,2021-08-07 10:17:18.396853
-1,0,-2,1,-1,-1,-3,-1,2021-08-07 10:17:18.396853
-1,-1,0,-2,-1,1,-1,-1,2021-08-07 10:17:18.397852
-1,-1,-1,-1,-1,-2,-1,-2,2021-08-07 10:17:18.397852
-1,-2,-1,0,-1,-1,-2,-1,2021-08-07 10:17:18.400851
-1,-2,0,-1,-1,-2,-2,-1,2021-08-07 10:17:18.400851
1,0,-2,-1,0,-2,0,0,2021-08-07 10:17:18.401851
0,-1,-1,-1,1,0,-2,1,2021-08-07 10:17:18.401851
-1,0,-2,-3,-1,0,-3,0,2021-08-07 10:17:18.406848
-1,-2,-1,-1,-2,-1,-1,-2,2021-08-07 10:17:18.407851
-1,-2,0,1,0,-2,-2,-1,2021-08-07 10:17:18.423848
-2,0,1,0,-1,-1,-1,-1,2021-08-07 10:17:18.423848
-2,1,0,-1,-1,-1,0,-1,2021-08-07 10:17:18.424852
0,0,-1,0,0,-1,1,3,2021-08-07 10:17:18.425854
1,1,-3,-3,0,-1,1,1,2021-08-07 10:17:18.437843
2,-2,-5,-2,-2,0,1,0,2021-08-07 10:17:18.437843
-3,-3,-2,-1,0,1,-1,-2,2021-08-07 10:17:18.444851
-4,-3,-2,-1,0,0,-2,-3,2021-08-07 10:17:18.444851
-4,-1,0,1,-1,-1,-1,-2,2021-08-07 10:17:18.468851
-3,-1,1,1,-1,-2,-3,-4,2021-08-07 10:17:18.469854
0,-1,0,0,-2,-2,-2,-1,2021-08-07 10:17:18.470855
0,0,0,-1,-1,-1,-1,1,2021-08-07 10:17:18.470855
0,0,0,-2,-1,0,0,1,2021-08-07 10:17:18.482850
0,0,-1,-3,-1,-1,-1,-1,2021-08-07 10:17:18.482850
-1,0,0,-2,0,1,1,1,2021-08-07 10:17:18.489854
-1,1,-1,0,-1,2,2,-1,2021-08-07 10:17:18.489854
0,-1,-1,-1,-2,-2,-3,-3,2021-08-07 10:17:18.505850
0,-2,0,-1,-3,-2,-3,0,2021-08-07 10:17:18.506843
0,0,-1,1,-2,-4,-1,-1,2021-08-07 10:17:18.507853
1,-1,-1,-1,1,-1,0,0,2021-08-07 10:17:18.507853
-1,0,-1,0,0,1,1,-1,2021-08-07 10:17:18.527855
0,-1,0,-1,0,-1,1,0,2021-08-07 10:17:18.527855
0,-1,-1,-3,-1,-1,-2,-1,2021-08-07 10:17:18.528852
1,-1,-1,1,-1,-3,0,-1,2021-08-07 10:17:18.528852
-1,-2,-1,1,-3,-1,-1,1,2021-08-07 10:17:18.550854
-2,-1,-1,-1,-1,-1,0,-1,2021-08-07 10:17:18.550854
-1,-1,-1,0,1,0,-1,-1,2021-08-07 10:17:18.551852
0,-1,2,-1,-2,0,0,0,2021-08-07 10:17:18.551852
-2,0,0,-2,1,-2,-1,-2,2021-08-07 10:17:18.565850
-2,-2,-2,1,-2,0,-1,0,2021-08-07 10:17:18.565850
0,-1,-1,1,0,-2,-1,-1,2021-08-07 10:17:18.565850
-1,-1,-1,-1,-2,0,-1,-2,2021-08-07 10:17:18.565850
0,-1,-1,1,0,0,-1,0,2021-08-07 10:17:18.587848
0,0,1,-1,-1,-2,1,3,2021-08-07 10:17:18.588854
-3,0,-1,0,0,0,-2,0,2021-08-07 10:17:18.588854
-1,-1,-2,0,1,-1,0,-1,2021-08-07 10:17:18.588854
0,-1,0,1,-1,-3,-1,0,2021-08-07 10:17:18.610851
0,-1,-1,-2,1,-1,0,-2,2021-08-07 10:17:18.610851
-1,-1,-1,-1,-4,0,-1,-2,2021-08-07 10:17:18.611848
-1,-2,0,-1,-1,-1,1,-2,2021-08-07 10:17:18.611848
-1,-2,-1,0,1,1,0,0,2021-08-07 10:17:18.625851
0,0,0,-2,-1,-2,-1,-1,2021-08-07 10:17:18.625851
-1,0,-3,-1,-1,-1,-1,0,2021-08-07 10:17:18.625851
-1,1,-1,-1,0,-2,-2,0,2021-08-07 10:17:18.626853
-1,-1,0,0,0,-1,0,0,2021-08-07 10:17:18.649854
-2,-3,-1,1,-2,-1,-1,-1,2021-08-07 10:17:18.649854
-1,-2,1,-1,0,0,0,-1,2021-08-07 10:17:18.649854
-1,-1,-2,-1,-1,0,-1,-2,2021-08-07 10:17:18.650859
0,-2,-1,-2,-1,-1,-1,-1,2021-08-07 10:17:18.661852
0,-1,-2,-2,0,0,1,-1,2021-08-07 10:17:18.662856
0,-1,-1,-2,-2,-1,1,0,2021-08-07 10:17:18.669846
-1,-3,-2,0,0,-1,-1,-1,2021-08-07 10:17:18.669846
-2,-1,0,-1,-1,-1,-1,-1,2021-08-07 10:17:18.685851
-1,-2,-2,0,0,0,-3,-2,2021-08-07 10:17:18.685851
1,-1,-1,-1,0,-1,0,1,2021-08-07 10:17:18.686855
0,-1,-1,-1,-1,-1,0,-1,2021-08-07 10:17:18.686855
-1,-1,0,-1,-3,0,-1,-1,2021-08-07 10:17:18.707852
-1,0,-2,1,-1,0,-1,-4,2021-08-07 10:17:18.708849
-1,-1,1,-2,-1,-2,-2,-1,2021-08-07 10:17:18.708849
-2,-1,1,-1,0,-1,-2,-1,2021-08-07 10:17:18.708849
-1,-2,-1,-1,-1,0,-1,-1,2021-08-07 10:17:18.722852
-1,0,-1,0,0,-2,-1,-3,2021-08-07 10:17:18.722852
0,-1,-1,-2,-1,-2,1,-1,2021-08-07 10:17:18.729852
0,0,-1,-2,-1,-1,0,-1,2021-08-07 10:17:18.729852
0,1,-1,-1,-1,0,-1,1,2021-08-07 10:17:18.746848
-2,0,-2,-1,-1,-3,-2,-1,2021-08-07 10:17:18.746848
-1,0,0,1,0,-1,-1,-3,2021-08-07 10:17:18.747851
-1,0,-1,-1,-1,-1,-1,-1,2021-08-07 10:17:18.747851
-1,1,-2,-2,-1,0,0,-1,2021-08-07 10:17:18.767852
0,-1,0,-1,-2,0,-1,-1,2021-08-07 10:17:18.768854
0,0,-1,1,0,-1,-1,-2,2021-08-07 10:17:18.768854
-1,0,-2,-1,0,0,-1,-1,2021-08-07 10:17:18.768854
-1,-1,-1,-1,0,0,-1,0,2021-08-07 10:17:18.781854
0,-1,0,0,0,0,0,0,2021-08-07 10:17:18.782855
-1,-1,-1,-1,-2,-1,0,1,2021-08-07 10:17:18.789849
0,0,0,0,-1,-3,0,0,2021-08-07 10:17:18.789849
-2,0,0,-1,-1,-2,0,-1,2021-08-07 10:17:18.806854
-1,-1,0,0,-2,0,-2,-2,2021-08-07 10:17:18.806854
0,-1,0,-1,-1,-1,-1,-1,2021-08-07 10:17:18.807849
0,-2,-2,0,-1,-2,0,-2,2021-08-07 10:17:18.807849
-2,-1,-1,1,1,-3,-2,-2,2021-08-07 10:17:18.827855
0,1,0,0,-2,-2,1,0,2021-08-07 10:17:18.827855
0,1,-1,-1,-1,0,0,-1,2021-08-07 10:17:18.828852
0,-2,-2,0,-1,1,0,0,2021-08-07 10:17:18.828852
2,-1,0,0,-1,-1,-2,-2,2021-08-07 10:17:18.850855
1,0,-1,-1,1,-1,-2,-3,2021-08-07 10:17:18.850855
-1,0,-1,-2,-1,-1,-3,-2,2021-08-07 10:17:18.851852
-2,0,-1,-2,0,-1,-1,-1,2021-08-07 10:17:18.851852
-1,-1,-1,-3,-3,-1,1,-1,2021-08-07 10:17:18.864852
-2,-2,-1,-1,-2,-1,0,-1,2021-08-07 10:17:18.865852
-1,-2,-1,-1,-1,-1,0,1,2021-08-07 10:17:18.865852
-1,0,1,1,-1,1,-2,2,2021-08-07 10:17:18.866848
-1,0,0,0,1,-2,-1,0,2021-08-07 10:17:18.887854
-1,0,-2,-1,-1,0,0,0,2021-08-07 10:17:18.887854
0,-2,-2,0,0,-2,-1,-2,2021-08-07 10:17:18.888849
-3,-2,-1,-2,-2,0,-1,-2,2021-08-07 10:17:18.888849
-1,0,-2,-2,-1,1,-2,-2,2021-08-07 10:17:18.902846
-1,-2,-1,-1,-1,-1,-2,0,2021-08-07 10:17:18.902846
-1,-1,-2,0,-1,-2,0,-1,2021-08-07 10:17:18.909857
0,-1,-2,-1,-1,-2,-1,1,2021-08-07 10:17:18.909857
0,-2,-1,0,1,-2,0,-1,2021-08-07 10:17:18.925845
-2,-1,-2,-1,0,-1,0,0,2021-08-07 10:17:18.925845
-3,-2,0,1,0,0,-2,-2,2021-08-07 10:17:18.925845
-1,0,-2,-1,0,-3,-1,1,2021-08-07 10:17:18.926856
-1,-1,-1,-1,-1,-1,-1,-2,2021-08-07 10:17:18.947852
0,-2,0,0,0,-2,-1,-1,2021-08-07 10:17:18.947852
0,-2,-1,-2,0,-1,-1,1,2021-08-07 10:17:18.948854
0,1,-1,0,-1,-2,0,-2,2021-08-07 10:17:18.948854
-2,-2,-1,0,0,0,-1,0,2021-08-07 10:17:18.970853
-1,0,0,-2,0,0,-1,0,2021-08-07 10:17:18.970853
0,0,-1,0,-2,-2,0,-1,2021-08-07 10:17:18.970853
-1,-1,0,0,-1,-1,-2,-2,2021-08-07 10:17:18.971849
0,-2,-1,0,-2,1,-2,-1,2021-08-07 10:17:18.985857
-1,1,-2,-1,0,-2,-2,-1,2021-08-07 10:17:18.985857
-3,-1,1,-2,1,0,-1,-1,2021-08-07 10:17:18.985857
