EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
1,0,1,-1,-5,-3,0,0,2021-08-07 10:31:28,304351
-2,-3,-6,-8,-11,-6,-3,-2,2021-08-07 10:31:28,304351
-2,-3,-1,-1,1,1,0,0,2021-08-07 10:31:28,304351
0,0,1,2,1,1,1,0,2021-08-07 10:31:28,304351
-2,-2,-3,0,2,1,1,-1,2021-08-07 10:31:28,304351
-2,-1,-1,-1,-10,-2,-1,0,2021-08-07 10:31:28,304351
1,2,1,11,21,6,1,1,2021-08-07 10:31:28,304351
-2,-1,0,0,3,0,-2,-2,2021-08-07 10:31:28,304351
-1,-3,-3,-6,-3,-2,-1,-1,2021-08-07 10:31:28,320327
-3,-5,-6,-17,-17,-8,-5,-5,2021-08-07 10:31:28,320327
1,-2,-1,-6,-4,-1,-1,-1,2021-08-07 10:31:28,320327
2,1,4,15,18,8,3,-1,2021-08-07 10:31:28,336377
1,0,-2,-2,-4,-4,-1,0,2021-08-07 10:31:28,367326
1,-2,4,2,14,7,1,0,2021-08-07 10:31:28,367326
-1,-1,-4,0,1,1,0,0,2021-08-07 10:31:28,367326
0,-1,-4,0,-1,-1,-1,0,2021-08-07 10:31:28,383326
-3,-3,-4,-9,-11,-7,-4,-3,2021-08-07 10:31:28,399325
0,0,-1,-2,-11,-5,-1,-2,2021-08-07 10:31:28,415384
4,4,7,5,6,5,1,0,2021-08-07 10:31:28,431354
0,-2,1,1,1,-1,0,-1,2021-08-07 10:31:28,431354
-4,-6,-11,-13,-15,-7,-3,-3,2021-08-07 10:31:28,447327
-2,-1,-1,4,8,3,-1,-2,2021-08-07 10:31:28,447327
-3,-1,-6,-14,-6,-3,-2,-2,2021-08-07 10:31:28,447327
1,2,6,13,10,5,2,0,2021-08-07 10:31:28,447327
3,0,0,-11,0,0,1,1,2021-08-07 10:31:28,447327
2,2,5,18,13,4,3,0,2021-08-07 10:31:28,447327
-3,-4,-4,-5,-6,-4,-4,-1,2021-08-07 10:31:28,447327
-3,-2,-4,-10,-9,-4,-3,-3,2021-08-07 10:31:28,447327
1,0,2,6,5,2,1,-1,2021-08-07 10:31:28,447327
-2,-1,-5,-11,-11,-4,-3,1,2021-08-07 10:31:28,447327
-4,-3,-4,-4,-8,-6,-1,-4,2021-08-07 10:31:28,448328
-3,0,-1,-6,-8,-5,-2,0,2021-08-07 10:31:28,448328
1,2,5,13,16,8,2,2,2021-08-07 10:31:28,448328
0,2,-3,-2,-4,-1,1,0,2021-08-07 10:31:28,448328
0,-2,-2,0,1,1,0,0,2021-08-07 10:31:28,448328
-2,-3,-3,-5,-4,-3,0,-2,2021-08-07 10:31:28,448328
1,4,2,6,3,2,1,2,2021-08-07 10:31:28,463329
-2,-2,-3,-9,-7,-3,-1,-2,2021-08-07 10:31:28,463329
-2,-3,-5,-11,-11,-9,-5,-2,2021-08-07 10:31:28,479364
1,1,5,16,18,8,1,0,2021-08-07 10:31:28,479862
0,-1,-1,-2,-2,0,-1,-1,2021-08-07 10:31:28,479862
0,-1,-3,-5,-9,-5,-2,-1,2021-08-07 10:31:28,479862
0,-3,-2,0,-3,0,0,-1,2021-08-07 10:31:28,511402
-3,-3,-6,-3,-1,-1,-3,-3,2021-08-07 10:31:28,511402
-1,-1,0,5,2,0,0,-2,2021-08-07 10:31:28,511402
-1,-3,-3,-8,-9,-4,-3,-1,2021-08-07 10:31:28,511402
-3,0,0,-2,6,2,0,-2,2021-08-07 10:31:28,527378
-1,-3,-2,-4,-7,-3,-4,-3,2021-08-07 10:31:28,527378
0,0,0,-2,-1,-2,0,-1,2021-08-07 10:31:28,527378
-1,-2,-2,-2,-2,-1,-1,-1,2021-08-07 10:31:28,527378
-2,-2,0,2,0,0,-1,0,2021-08-07 10:31:28,543369
-2,-1,-1,-2,-3,-3,0,1,2021-08-07 10:31:28,543369
-1,-2,-3,-5,-10,-3,-1,-2,2021-08-07 10:31:28,543369
1,3,4,8,13,4,2,2,2021-08-07 10:31:28,543369
0,0,0,0,-3,-1,-2,-1,2021-08-07 10:31:28,559369
