EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
1,1,1,-2,-3,0,-1,1,2021-08-07 12:45:49,776856
1,2,2,1,-3,-1,1,0,2021-08-07 12:45:49,776856
-1,-3,-4,-5,-9,-5,-2,-1,2021-08-07 12:45:49,776856
-2,1,3,3,2,0,1,-1,2021-08-07 12:45:49,776856
0,0,3,4,10,6,3,0,2021-08-07 12:45:49,776856
-1,1,-1,4,5,1,0,0,2021-08-07 12:45:49,776856
0,2,2,0,0,1,-1,-2,2021-08-07 12:45:49,776856
-2,-4,-5,-8,-9,-6,-6,-5,2021-08-07 12:45:49,776856
-5,-4,-5,-10,-14,-10,-6,-3,2021-08-07 12:45:49,792889
1,0,-2,-1,2,2,0,-1,2021-08-07 12:45:49,808857
1,1,1,2,8,5,2,1,2021-08-07 12:45:49,808857
-2,-3,-2,-2,-4,-3,-1,-2,2021-08-07 12:45:49,808857
-1,1,0,5,6,2,1,0,2021-08-07 12:45:49,808857
0,-2,-1,-3,-6,-5,-3,0,2021-08-07 12:45:49,808857
-2,-2,-3,-3,-2,-2,-1,0,2021-08-07 12:45:49,808857
1,2,2,1,3,3,1,-2,2021-08-07 12:45:49,808857
0,-2,-2,1,4,2,1,-1,2021-08-07 12:45:49,839890
1,1,1,2,2,1,1,1,2021-08-07 12:45:49,839890
-2,-3,-4,-9,-13,-8,-4,-4,2021-08-07 12:45:49,839890
0,0,-1,11,17,6,1,0,2021-08-07 12:45:49,839890
3,5,3,2,-1,-1,2,3,2021-08-07 12:45:49,839890
-2,-1,-1,0,1,0,-1,2,2021-08-07 12:45:49,839890
-3,-5,-4,-6,-7,-6,-3,-5,2021-08-07 12:45:49,886891
0,0,1,-2,-4,-2,0,-3,2021-08-07 12:45:49,886891
-2,-4,-3,-6,-10,-8,-5,-3,2021-08-07 12:45:49,886891
1,0,0,6,11,9,3,3,2021-08-07 12:45:49,886891
1,0,-1,2,6,2,1,0,2021-08-07 12:45:49,886891
-4,-4,-1,-4,0,-3,-2,-1,2021-08-07 12:45:49,886891
0,0,0,2,2,1,2,-1,2021-08-07 12:45:49,902891
0,0,2,2,-1,-1,0,0,2021-08-07 12:45:49,902891
0,-2,-1,-3,-4,-2,-2,-1,2021-08-07 12:45:49,902891
-1,-1,-3,-2,-3,-1,-3,-2,2021-08-07 12:45:49,902891
-1,-2,-2,-2,-2,-3,-3,-2,2021-08-07 12:45:49,918855
-1,0,-1,1,2,-1,-3,0,2021-08-07 12:45:49,933892
-2,0,-2,-1,-2,-1,-1,-2,2021-08-07 12:45:49,933892
-1,-2,-1,-1,-3,-2,-1,-1,2021-08-07 12:45:49,933892
1,0,1,-1,-1,1,1,1,2021-08-07 12:45:49,933892
-1,-2,-3,-5,-3,-3,-1,-3,2021-08-07 12:45:49,933892
2,2,2,-2,-3,1,1,4,2021-08-07 12:45:49,949894
-1,2,-1,-1,1,1,1,-1,2021-08-07 12:45:49,949894
-3,-2,-2,0,3,0,-1,-4,2021-08-07 12:45:49,949894
2,2,2,-3,-3,-2,1,1,2021-08-07 12:45:49,949894
-2,-2,-2,-2,-3,-2,-1,0,2021-08-07 12:45:49,965855
1,-2,-1,-4,-4,-1,-2,-1,2021-08-07 12:45:49,965855
2,2,1,4,4,6,3,0,2021-08-07 12:45:49,996891
-1,0,0,1,-1,1,0,-2,2021-08-07 12:45:50,012857
-2,-2,-2,-3,-4,-2,-2,-3,2021-08-07 12:45:50,012857
-1,-2,-1,3,-1,-3,-3,2,2021-08-07 12:45:50,012857
0,1,-2,-4,-5,-2,-1,2,2021-08-07 12:45:50,012857
0,-1,-2,1,5,4,1,0,2021-08-07 12:45:50,012857
-1,-2,-1,-1,-4,-4,-3,-1,2021-08-07 12:45:50,012857
1,1,3,-1,1,5,4,2,2021-08-07 12:45:50,012857
0,-1,0,8,16,7,3,0,2021-08-07 12:45:50,013855
0,1,-1,-3,-9,-5,-3,0,2021-08-07 12:45:50,013855
-2,-4,-3,2,2,-1,-1,-3,2021-08-07 12:45:50,028892
2,4,2,0,-3,-2,-2,0,2021-08-07 12:45:50,028892
0,1,0,-2,-5,-2,1,-1,2021-08-07 12:45:50,044891
-2,-3,-5,-5,-5,-1,-1,-2,2021-08-07 12:45:50,044891
0,0,-1,2,-2,-3,-3,0,2021-08-07 12:45:50,044891
1,0,-1,-6,-2,0,0,0,2021-08-07 12:45:50,044891
1,0,-1,-2,2,3,1,-1,2021-08-07 12:45:50,060905
-1,3,3,5,5,2,0,1,2021-08-07 12:45:50,060905
-2,-1,-2,0,3,0,0,-1,2021-08-07 12:45:50,060905
-3,-5,-6,-6,-8,-5,-4,-3,2021-08-07 12:45:50,060905
-1,-1,2,8,6,2,0,1,2021-08-07 12:45:50,076892
1,-1,0,-4,-6,-3,-2,1,2021-08-07 12:45:50,076892
0,1,0,-1,2,3,1,1,2021-08-07 12:45:50,092857
-1,-2,-1,2,1,-1,-1,-1,2021-08-07 12:45:50,092857
-2,-3,-4,-7,-8,-4,-3,-2,2021-08-07 12:45:50,092857
-1,-1,0,1,-2,-2,0,-1,2021-08-07 12:45:50,092857
2,1,2,0,2,3,-1,1,2021-08-07 12:45:50,108891
-3,-4,-3,-4,-4,-6,-2,-1,2021-08-07 12:45:50,124893
1,0,1,3,6,4,1,2,2021-08-07 12:45:50,140854
-1,-2,-3,-1,-2,-3,-2,-1,2021-08-07 12:45:50,155892
1,0,0,-3,-1,-4,1,-2,2021-08-07 12:45:50,171891
-3,-2,-3,-1,-5,0,-2,-3,2021-08-07 12:45:50,171891
-2,-2,-1,-3,-2,-4,-3,-1,2021-08-07 12:45:50,187856
1,1,2,2,5,1,-1,2,2021-08-07 12:45:50,202857
-1,-2,-3,-4,-5,0,-1,-2,2021-08-07 12:45:50,218882
-1,-1,1,4,5,0,2,-1,2021-08-07 12:45:50,249883
-4,-2,-4,-6,-11,-6,-4,-2,2021-08-07 12:45:50,265856
-2,-2,-1,1,9,5,0,-2,2021-08-07 12:45:50,265856
-1,2,1,1,0,-2,-2,0,2021-08-07 12:45:50,265856
0,1,-2,0,0,0,-1,0,2021-08-07 12:45:50,265856
2,3,1,-6,-5,-2,0,1,2021-08-07 12:45:50,265856
-2,-2,-2,-7,-7,-3,-2,-1,2021-08-07 12:45:50,265856
0,-4,-3,-4,-1,0,-1,-1,2021-08-07 12:45:50,265856
0,3,2,5,3,3,1,1,2021-08-07 12:45:50,266886
-2,-1,-4,1,1,-3,-2,-2,2021-08-07 12:45:50,266886
-2,-1,-1,-5,-4,-3,-1,-1,2021-08-07 12:45:50,266886
0,0,0,-1,2,2,1,-1,2021-08-07 12:45:50,266886
-2,-3,-3,-3,-4,-4,-3,-2,2021-08-07 12:45:50,266886
1,-2,1,1,0,0,-1,0,2021-08-07 12:45:50,266886
-2,-3,-3,-1,-1,-1,-1,-2,2021-08-07 12:45:50,266886
-1,1,-1,2,2,4,2,1,2021-08-07 12:45:50,266886
-1,1,-1,-2,-1,-2,0,1,2021-08-07 12:45:50,266886
-3,-2,-2,-2,-7,-3,-3,-3,2021-08-07 12:45:50,267858
0,1,0,-3,-4,-1,1,1,2021-08-07 12:45:50,267858
0,1,2,1,5,3,1,0,2021-08-07 12:45:50,267858
-2,-5,-2,4,5,3,-2,-3,2021-08-07 12:45:50,267858
2,1,0,-2,-3,0,-1,2,2021-08-07 12:45:50,267858
