EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-2,-3,-6,-6,-3,-2,-2,2021-08-07 12:45:19,824496
0,-1,-1,1,-1,-3,-1,0,2021-08-07 12:45:19,824496
-3,-6,-4,-3,-3,-1,-2,-2,2021-08-07 12:45:19,824496
0,0,-1,-2,-4,-3,-2,-2,2021-08-07 12:45:19,824496
-2,-4,-3,-3,-3,-4,-3,-2,2021-08-07 12:45:19,824496
3,4,3,-2,0,2,2,1,2021-08-07 12:45:19,824496
3,3,1,-1,0,3,2,1,2021-08-07 12:45:19,824496
0,0,0,4,6,2,1,1,2021-08-07 12:45:19,824496
-4,-3,-3,-1,-3,-2,-2,-3,2021-08-07 12:45:19,824496
0,0,2,-1,-2,-1,-1,0,2021-08-07 12:45:19,824496
0,-4,-3,-1,-6,-4,-1,-2,2021-08-07 12:45:19,825498
1,1,-1,-3,-1,-3,-3,-1,2021-08-07 12:45:19,825498
-2,1,0,0,2,2,0,1,2021-08-07 12:45:19,840496
-1,-1,-2,-3,-8,-3,-1,0,2021-08-07 12:45:19,856495
-3,-2,0,3,1,-2,-1,-2,2021-08-07 12:45:19,888496
0,-1,-1,-2,-2,1,1,-1,2021-08-07 12:45:19,904497
2,1,2,6,15,9,5,2,2021-08-07 12:45:19,904497
-2,-1,1,1,1,1,0,-1,2021-08-07 12:45:19,904497
0,0,0,-4,-5,-4,-1,0,2021-08-07 12:45:19,904497
-4,-3,0,-1,-3,-2,-4,-1,2021-08-07 12:45:19,904497
2,3,2,2,1,2,2,1,2021-08-07 12:45:19,904497
-1,-1,-2,-2,-2,1,-1,0,2021-08-07 12:45:19,904497
1,1,2,1,4,2,2,2,2021-08-07 12:45:19,904497
-5,-6,-4,-2,1,2,-2,-3,2021-08-07 12:45:19,904497
0,1,2,1,0,2,1,2,2021-08-07 12:45:19,935496
-1,-4,-2,-4,-5,-2,-1,-1,2021-08-07 12:45:19,935496
-2,-1,-1,-1,-3,-2,-2,-2,2021-08-07 12:45:19,935496
0,0,-1,-3,-2,-1,-1,0,2021-08-07 12:45:19,935496
-1,-2,-2,-1,-3,-1,0,-2,2021-08-07 12:45:19,935496
-2,-2,-1,-5,-4,-1,-2,-1,2021-08-07 12:45:19,935496
1,3,3,4,5,4,1,1,2021-08-07 12:45:19,935496
-3,-2,-1,2,4,1,-1,-1,2021-08-07 12:45:19,935496
1,2,5,2,0,-2,-1,2,2021-08-07 12:45:19,935496
-3,-5,-6,-4,-5,-6,-3,-3,2021-08-07 12:45:19,950497
-4,-6,-5,-5,-5,-2,-2,-3,2021-08-07 12:45:19,956497
0,1,3,2,3,4,2,1,2021-08-07 12:45:19,956497
2,4,2,0,2,3,0,3,2021-08-07 12:45:19,956497
-6,-6,-7,-7,-8,-7,-5,-5,2021-08-07 12:45:19,956497
4,5,4,5,2,1,2,3,2021-08-07 12:45:19,982495
1,0,0,1,-1,-2,1,0,2021-08-07 12:45:19,998497
-3,-4,-5,-4,-2,-1,-2,-2,2021-08-07 12:45:20,030496
2,3,1,-1,-2,1,0,0,2021-08-07 12:45:20,046497
-4,-5,-5,-5,-4,-5,-3,-3,2021-08-07 12:45:20,046497
-2,0,1,-2,-2,0,-1,-1,2021-08-07 12:45:20,046497
1,0,0,1,1,0,0,-1,2021-08-07 12:45:20,046497
0,-2,-3,1,1,-1,0,-1,2021-08-07 12:45:20,046497
-2,-4,-3,-3,0,-1,1,-2,2021-08-07 12:45:20,046497
1,3,2,-1,-3,-3,-1,0,2021-08-07 12:45:20,046497
-1,1,-2,4,3,2,1,-1,2021-08-07 12:45:20,046497
0,2,3,5,5,2,1,0,2021-08-07 12:45:20,046497
-1,-2,-4,-2,-3,-3,-3,-2,2021-08-07 12:45:20,046497
-1,-1,-1,-1,-2,-2,0,0,2021-08-07 12:45:20,047497
-3,-4,-3,-3,-2,-1,-1,-1,2021-08-07 12:45:20,047497
-1,0,-1,-1,-1,-2,-1,-1,2021-08-07 12:45:20,047497
0,2,1,1,1,-1,0,-2,2021-08-07 12:45:20,062499
0,-2,-3,-3,-2,1,-1,-1,2021-08-07 12:45:20,062499
-1,-1,0,0,-1,-1,-1,0,2021-08-07 12:45:20,062499
-1,0,-1,0,1,1,0,0,2021-08-07 12:45:20,062499
-1,-1,0,-1,-2,-1,-2,1,2021-08-07 12:45:20,078496
1,-1,-1,0,1,2,1,-2,2021-08-07 12:45:20,078496
-1,-2,-2,0,-2,-2,0,0,2021-08-07 12:45:20,078496
0,-2,1,0,-1,-1,-1,-2,2021-08-07 12:45:20,078496
-2,-2,-3,-2,-3,-1,-3,-1,2021-08-07 12:45:20,110497
-1,0,1,1,-2,-4,-3,0,2021-08-07 12:45:20,110497
-1,-2,-1,-4,-2,0,1,-1,2021-08-07 12:45:20,110497
1,3,5,4,5,2,1,3,2021-08-07 12:45:20,110497
2,1,3,7,6,4,3,0,2021-08-07 12:45:20,126496
1,0,-1,2,3,1,0,1,2021-08-07 12:45:20,126496
-1,-2,-3,1,2,2,0,-1,2021-08-07 12:45:20,126496
-1,1,-2,3,4,2,0,0,2021-08-07 12:45:20,126496
0,-2,-2,-3,-5,-4,-3,-2,2021-08-07 12:45:20,142497
-3,-1,-1,-1,-5,-4,-4,-1,2021-08-07 12:45:20,158497
0,-1,-1,-5,-7,-5,-2,0,2021-08-07 12:45:20,174497
0,-2,1,-4,-6,-2,-1,-1,2021-08-07 12:45:20,174497
0,1,-1,-3,-2,-1,0,0,2021-08-07 12:45:20,174497
2,-1,0,6,11,6,2,0,2021-08-07 12:45:20,174497
-1,-2,0,-2,-1,0,-1,-1,2021-08-07 12:45:20,174497
-1,1,-1,1,1,-1,-1,-1,2021-08-07 12:45:20,174497
-1,2,2,0,-1,-2,0,1,2021-08-07 12:45:20,190495
-1,0,-1,-2,-4,-2,-1,-1,2021-08-07 12:45:20,206497
-1,1,-2,-1,0,-2,-2,0,2021-08-07 12:45:20,206497
-3,-4,-6,-6,-6,-4,-3,-3,2021-08-07 12:45:20,206497
-1,-1,0,1,0,2,0,1,2021-08-07 12:45:20,206497
0,-2,-4,-6,-3,1,0,-1,2021-08-07 12:45:20,206497
0,-1,-2,-2,-4,-5,-2,-2,2021-08-07 12:45:20,206497
2,1,2,4,10,9,3,3,2021-08-07 12:45:20,206497
-1,-1,-1,0,2,2,1,0,2021-08-07 12:45:20,221498
0,1,2,1,-1,-1,-1,0,2021-08-07 12:45:20,237495
-3,-2,0,3,8,3,-1,-3,2021-08-07 12:45:20,237495
0,0,0,-4,-4,-2,0,2,2021-08-07 12:45:20,237495
-1,-2,0,-3,-4,-5,-3,-2,2021-08-07 12:45:20,237495
-1,-2,-3,0,0,-2,0,1,2021-08-07 12:45:20,237495
2,5,4,-1,-1,-1,-1,2,2021-08-07 12:45:20,237495
-1,-3,1,2,-1,-4,-1,-2,2021-08-07 12:45:20,237495
-3,-2,-4,-3,-1,-2,-2,-1,2021-08-07 12:45:20,267497
-2,-5,-4,-7,-12,-6,-2,-2,2021-08-07 12:45:20,282495
1,3,2,4,2,1,1,2,2021-08-07 12:45:20,297497
2,1,1,0,4,3,1,0,2021-08-07 12:45:20,297497
0,-1,-1,1,-2,-1,0,-1,2021-08-07 12:45:20,297497
