EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,1,-2,-2,-1,-1,0,-1,2021-08-07 10:48:19,497451
1,-2,-2,2,3,0,0,-1,2021-08-07 10:48:19,497451
-6,-6,-8,-11,-5,-3,-3,-3,2021-08-07 10:48:19,497451
0,1,4,5,4,3,2,1,2021-08-07 10:48:19,497451
-1,1,3,7,6,3,0,1,2021-08-07 10:48:19,497451
-2,-2,0,-1,-2,-3,-3,-3,2021-08-07 10:48:19,497451
-2,-1,-1,0,-3,-2,-3,-2,2021-08-07 10:48:19,497451
-2,-2,-2,-3,-5,-4,-4,-3,2021-08-07 10:48:19,497451
1,-1,-1,-3,-3,-1,1,1,2021-08-07 10:48:19,513489
2,1,1,-3,-3,-1,0,1,2021-08-07 10:48:19,529453
3,0,1,3,2,0,0,1,2021-08-07 10:48:19,529453
-2,-2,-2,-4,-4,-2,-2,-1,2021-08-07 10:48:19,529453
-2,-3,-2,0,1,1,0,-1,2021-08-07 10:48:19,529453
-1,0,-1,-3,-3,0,-1,0,2021-08-07 10:48:19,529453
-1,0,1,1,-1,-1,0,-1,2021-08-07 10:48:19,545453
0,1,-1,2,1,1,1,-2,2021-08-07 10:48:19,561455
-2,0,-2,-4,-1,-1,-3,-1,2021-08-07 10:48:19,577453
-4,-2,-4,-1,-3,-2,-2,-1,2021-08-07 10:48:19,577453
2,1,0,-2,0,1,2,0,2021-08-07 10:48:19,577453
1,0,-2,-1,-1,-1,-1,0,2021-08-07 10:48:19,577453
0,-1,-1,0,-2,-2,-1,-2,2021-08-07 10:48:19,577453
-3,-2,-2,-6,-11,-5,-3,-2,2021-08-07 10:48:19,577453
2,2,3,9,16,8,3,1,2021-08-07 10:48:19,592478
-2,-3,-2,-5,-3,-2,-2,-2,2021-08-07 10:48:19,592478
-2,-1,-1,0,-2,0,-1,-1,2021-08-07 10:48:19,623453
0,-1,-1,-1,-1,0,-1,0,2021-08-07 10:48:19,623453
-2,-1,-2,-2,-2,-2,-2,-1,2021-08-07 10:48:19,623453
-1,-3,-1,-5,-6,-5,-1,-2,2021-08-07 10:48:19,638455
1,0,0,0,1,0,0,0,2021-08-07 10:48:19,638455
0,-1,0,2,1,1,-1,0,2021-08-07 10:48:19,638455
-2,-3,-1,-2,-2,-2,-2,-2,2021-08-07 10:48:19,638455
