EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
1,3,3,8,6,2,1,0,2021-08-07 10:49:09,632088
-2,-2,-2,-2,-3,-2,-2,-1,2021-08-07 10:49:09,632088
0,0,-1,-6,-3,1,2,2,2021-08-07 10:49:09,632088
0,0,1,6,4,0,0,0,2021-08-07 10:49:09,632088
-2,-3,-3,-4,-4,-3,-2,-1,2021-08-07 10:49:09,632088
-2,-1,0,-2,-4,-3,-2,0,2021-08-07 10:49:09,632088
0,-3,-2,-6,-3,-3,-2,-1,2021-08-07 10:49:09,632088
0,1,-1,-2,-1,2,1,0,2021-08-07 10:49:09,632088
-1,-1,-1,-2,0,-1,-1,-2,2021-08-07 10:49:09,633085
-1,-1,0,3,1,-3,-1,-1,2021-08-07 10:49:09,633085
-2,-2,-1,3,0,-1,-1,-3,2021-08-07 10:49:09,633085
-2,-2,-4,-7,-10,-5,-3,0,2021-08-07 10:49:09,633085
-1,-2,-3,-1,-10,-3,-2,-3,2021-08-07 10:49:09,648085
-1,2,-2,-8,4,1,-1,-1,2021-08-07 10:49:09,648085
1,1,1,9,13,6,2,2,2021-08-07 10:49:09,664084
1,1,6,15,13,4,1,-2,2021-08-07 10:49:09,664084
1,-2,-1,-4,-7,-4,0,-1,2021-08-07 10:49:09,664084
-3,-4,-3,-7,-14,-5,-3,-1,2021-08-07 10:49:09,664084
-2,-2,-2,-6,-9,-6,-3,-3,2021-08-07 10:49:09,696084
-2,-1,-1,-4,2,0,-1,-1,2021-08-07 10:49:09,696084
0,-2,-2,-4,0,0,-1,-1,2021-08-07 10:49:09,696515
0,0,2,3,3,3,1,0,2021-08-07 10:49:09,696515
-1,-3,-3,1,1,-2,-2,-3,2021-08-07 10:49:09,759084
0,-2,-2,-5,-8,-4,-3,-2,2021-08-07 10:49:09,759084
1,-2,0,-1,5,3,0,-1,2021-08-07 10:49:09,774084
-2,-1,-1,-2,-4,-2,-2,-2,2021-08-07 10:49:09,774084
-1,-2,-1,-7,-6,-2,0,-1,2021-08-07 10:49:09,774084
0,1,6,15,19,9,2,2,2021-08-07 10:49:09,774084
-3,-3,-4,-2,-5,-4,-4,-3,2021-08-07 10:49:09,774084
1,-1,1,2,2,1,1,0,2021-08-07 10:49:09,774084
-2,-1,-1,0,-5,-1,-1,0,2021-08-07 10:49:09,775084
-3,-4,-8,-15,-17,-9,-2,-5,2021-08-07 10:49:09,775084
-2,-1,-3,-3,-6,-5,-2,0,2021-08-07 10:49:09,775084
3,1,3,11,14,6,2,0,2021-08-07 10:49:09,775084
1,1,0,3,6,2,-1,0,2021-08-07 10:49:09,775084
0,0,1,1,1,1,-1,1,2021-08-07 10:49:09,775084
-3,-3,-1,-1,-4,-3,-2,-2,2021-08-07 10:49:09,775084
-1,0,-5,-10,-13,-6,-3,-1,2021-08-07 10:49:09,776086
0,0,0,-4,0,-1,1,1,2021-08-07 10:49:09,790084
-2,-2,-2,-2,3,1,-1,-2,2021-08-07 10:49:09,790084
-1,0,2,1,-2,1,-1,0,2021-08-07 10:49:09,822084
-3,-4,-6,-8,-2,0,-2,-2,2021-08-07 10:49:09,822084
0,-1,3,10,7,3,-1,0,2021-08-07 10:49:09,822084
-1,0,-2,-2,-6,-4,0,0,2021-08-07 10:49:09,822084
0,2,2,5,9,3,1,0,2021-08-07 10:49:09,822084
-1,0,1,0,2,-1,-1,0,2021-08-07 10:49:09,822084
0,0,-2,-5,-6,-4,-1,-1,2021-08-07 10:49:09,838084
-1,-2,-3,-8,-10,-5,-1,-2,2021-08-07 10:49:09,853084
-1,0,1,2,-3,-1,0,-2,2021-08-07 10:49:09,853084
1,1,3,8,13,4,2,0,2021-08-07 10:49:09,869087
-1,-1,0,3,3,1,0,-1,2021-08-07 10:49:09,885084
1,1,1,4,0,-1,-1,0,2021-08-07 10:49:09,885084
-1,-3,-5,-10,-12,-6,-2,-1,2021-08-07 10:49:09,885084
-5,-3,-5,-10,-13,-7,-4,-2,2021-08-07 10:49:09,885084
