EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-4,-1,-5,-8,-4,-2,-2,2021-08-07 12:09:09,650960
2,1,-2,-3,2,2,2,2,2021-08-07 12:09:09,650960
-2,-1,2,5,5,2,-1,-1,2021-08-07 12:09:09,650960
1,1,4,9,7,4,1,1,2021-08-07 12:09:09,650960
0,1,3,4,7,3,2,-2,2021-08-07 12:09:09,650960
-1,0,-1,-4,-3,-2,-1,-2,2021-08-07 12:09:09,650960
-3,-1,-6,-6,-7,-3,0,0,2021-08-07 12:09:09,651936
-1,-2,-2,-4,0,-1,-2,-1,2021-08-07 12:09:09,651936
-1,-2,-6,-9,-10,-3,-2,-3,2021-08-07 12:09:09,651936
3,5,13,17,11,5,1,-1,2021-08-07 12:09:09,651936
-1,-3,-1,10,19,8,4,-2,2021-08-07 12:09:09,666934
-10,-11,-19,-30,-36,-24,-11,-7,2021-08-07 12:09:09,682935
1,6,4,5,2,-1,0,2,2021-08-07 12:09:09,682935
-3,-3,-6,-9,-7,-4,-3,-1,2021-08-07 12:09:09,682935
0,2,7,6,4,2,1,-1,2021-08-07 12:09:09,682935
-2,1,4,10,9,7,1,-2,2021-08-07 12:09:09,682935
-2,-2,-2,-1,-1,1,0,0,2021-08-07 12:09:09,698933
5,6,6,5,0,2,1,3,2021-08-07 12:09:09,714946
-2,-7,-4,4,0,-3,-2,-1,2021-08-07 12:09:09,730960
-2,-7,-13,-22,-13,-8,-3,-3,2021-08-07 12:09:09,730960
1,0,0,5,0,0,0,-1,2021-08-07 12:09:09,730960
1,1,10,7,12,8,3,0,2021-08-07 12:09:09,730960
-1,-1,-2,-11,-14,-7,-3,-2,2021-08-07 12:09:09,730960
-3,-3,-10,2,9,2,-1,-1,2021-08-07 12:09:09,730960
-5,-2,0,-4,-7,-7,-5,-4,2021-08-07 12:09:09,777934
-3,-5,-3,-4,-6,-3,-2,0,2021-08-07 12:09:09,777934
0,-1,-2,-11,-18,-8,-4,-1,2021-08-07 12:09:09,777934
2,4,12,25,35,18,7,3,2021-08-07 12:09:09,777934
1,1,2,5,2,2,0,2,2021-08-07 12:09:09,777934
-5,-6,-7,-10,-9,-9,-6,-6,2021-08-07 12:09:09,777934
-6,-6,-10,-17,-19,-12,-5,-3,2021-08-07 12:09:09,777934
6,7,0,-10,-3,0,1,4,2021-08-07 12:09:09,778937
1,1,0,8,7,2,-1,-2,2021-08-07 12:09:09,778937
-2,-1,-2,-8,-2,-1,-2,-2,2021-08-07 12:09:09,778937
0,0,8,21,13,7,3,1,2021-08-07 12:09:09,793933
-2,-2,-1,-2,-6,-2,-3,-2,2021-08-07 12:09:09,809935
-1,-1,-7,-10,-6,-5,-2,0,2021-08-07 12:09:09,809935
-4,-5,-8,-11,-6,-3,-3,-3,2021-08-07 12:09:09,809935
4,3,5,7,9,3,2,-1,2021-08-07 12:09:09,825933
-1,0,-2,0,-3,-3,-1,-2,2021-08-07 12:09:09,840973
-2,-2,2,3,1,-1,-1,-2,2021-08-07 12:09:09,849933
-2,-1,0,6,5,2,0,-1,2021-08-07 12:09:09,850933
-1,0,-3,-6,-3,-2,-1,-1,2021-08-07 12:09:09,850933
-1,-4,0,4,-4,-2,1,-3,2021-08-07 12:09:09,850933
-2,-5,-6,-9,-3,-2,-1,-3,2021-08-07 12:09:09,850933
3,6,8,8,3,1,1,2,2021-08-07 12:09:09,850933
-2,-2,0,-3,0,0,-2,-2,2021-08-07 12:09:09,872937
0,-1,-9,-9,-6,-3,-2,0,2021-08-07 12:09:09,888961
-1,-2,-4,-7,-7,-4,-2,-2,2021-08-07 12:09:09,888961
1,-2,0,5,4,0,0,0,2021-08-07 12:09:09,888961
3,6,2,2,2,0,1,1,2021-08-07 12:09:09,888961
-5,-5,-6,-17,-18,-11,-7,-5,2021-08-07 12:09:09,888961
-1,1,4,16,12,4,2,0,2021-08-07 12:09:09,888961
2,3,5,9,6,2,2,1,2021-08-07 12:09:09,888961
-1,0,-1,0,0,1,-2,2,2021-08-07 12:09:09,904961
-2,-3,-4,-7,-4,-3,-1,-2,2021-08-07 12:09:09,904961
-2,-2,-2,-3,-2,-1,-1,-2,2021-08-07 12:09:09,904961
-3,-3,-5,-6,-8,-4,0,0,2021-08-07 12:09:09,904961
-3,-3,-5,-13,-14,-9,-4,-4,2021-08-07 12:09:09,920935
-1,-1,1,2,8,4,2,-1,2021-08-07 12:09:09,936934
3,3,8,23,19,9,2,1,2021-08-07 12:09:09,936934
-1,-3,-8,-4,-8,-4,-2,-2,2021-08-07 12:09:09,936934
0,1,-2,0,7,2,1,2,2021-08-07 12:09:09,936934
-3,-1,-2,-6,-6,-4,-2,-2,2021-08-07 12:09:09,936934
-2,-2,-7,-13,-10,-6,-3,-2,2021-08-07 12:09:09,936934
-2,-1,2,0,-4,-3,-4,-2,2021-08-07 12:09:09,936934
5,5,4,8,13,10,6,4,2021-08-07 12:09:09,967972
-2,-1,1,8,3,-2,0,-2,2021-08-07 12:09:09,967972
-3,-5,-6,-12,-11,-6,-4,-3,2021-08-07 12:09:09,967972
2,1,1,0,-3,-1,-1,-1,2021-08-07 12:09:09,967972
-6,-5,-6,-12,-12,-7,-5,-4,2021-08-07 12:09:09,983936
2,3,7,17,11,5,3,2,2021-08-07 12:09:09,999971
1,0,1,5,4,4,3,1,2021-08-07 12:09:10,015935
-2,-4,-3,-7,-6,-2,-2,-2,2021-08-07 12:09:10,015935
-1,-2,2,3,2,0,0,-2,2021-08-07 12:09:10,015935
0,0,-2,-5,-7,-5,-2,-1,2021-08-07 12:09:10,015935
0,0,-2,-6,-6,-2,-2,-1,2021-08-07 12:09:10,015935
0,0,1,1,4,2,1,0,2021-08-07 12:09:10,015935
-4,-4,-2,-3,-5,-4,-1,-1,2021-08-07 12:09:10,031935
-2,-3,-3,-4,3,2,1,0,2021-08-07 12:09:10,031935
0,-2,0,-5,-3,-2,-3,-2,2021-08-07 12:09:10,031935
3,2,5,12,14,5,2,2,2021-08-07 12:09:10,031935
-1,-1,-2,4,0,1,-2,-2,2021-08-07 12:09:10,031935
-3,-4,-8,-13,-15,-8,-5,-3,2021-08-07 12:09:10,031935
0,-1,-2,-2,-2,-1,0,-1,2021-08-07 12:09:10,047933
-3,-2,2,2,5,2,-1,-1,2021-08-07 12:09:10,047933
3,4,3,4,4,1,1,0,2021-08-07 12:09:10,063934
-3,-2,-4,-8,-14,-8,-5,-3,2021-08-07 12:09:10,063934
0,1,3,5,9,4,2,2,2021-08-07 12:09:10,063934
0,0,-2,-3,-1,2,3,2,2021-08-07 12:09:10,063934
2,2,5,11,9,5,1,0,2021-08-07 12:09:10,094935
-2,-4,0,-2,-1,-4,-3,-3,2021-08-07 12:09:10,094935
-3,-3,-3,-3,-6,-1,-2,-3,2021-08-07 12:09:10,110934
2,4,2,1,0,-1,0,1,2021-08-07 12:09:10,126934
-1,-2,0,-2,-2,-2,1,-1,2021-08-07 12:09:10,141961
1,0,0,3,3,1,0,0,2021-08-07 12:09:10,141961
-4,-3,-5,-8,-10,-5,-4,-2,2021-08-07 12:09:10,141961
0,-2,-1,-2,1,-1,0,-2,2021-08-07 12:09:10,141961
-1,-2,-2,0,-1,-1,-1,-2,2021-08-07 12:09:10,141961
1,1,4,7,5,1,-1,0,2021-08-07 12:09:10,141961
0,3,-1,-1,0,-2,0,2,2021-08-07 12:09:10,142939
-2,0,-2,-3,-2,-2,-2,-1,2021-08-07 12:09:10,142939
-1,1,-1,0,1,1,0,-1,2021-08-07 12:09:10,142939
-2,-3,-3,-2,-1,1,-2,-2,2021-08-07 12:09:10,142939
-1,0,0,-2,-2,-2,0,-3,2021-08-07 12:09:10,142939
-1,0,0,-3,-4,0,-1,0,2021-08-07 12:09:10,142939
-2,-5,-7,-9,-5,-4,-5,-3,2021-08-07 12:09:10,156932
-2,-2,-3,-5,-3,-1,-1,-2,2021-08-07 12:09:10,156932
-2,-1,1,12,9,2,0,-1,2021-08-07 12:09:10,172962
0,-2,-2,-1,-1,-1,1,0,2021-08-07 12:09:10,188935
3,3,2,0,-2,-1,1,0,2021-08-07 12:09:10,188935
-1,0,-5,-12,-20,-9,-4,-2,2021-08-07 12:09:10,188935
2,1,5,12,23,8,2,1,2021-08-07 12:09:10,188935
-1,-2,3,13,8,4,0,-2,2021-08-07 12:09:10,188935
-5,-6,-6,-7,-7,-5,-4,-4,2021-08-07 12:09:10,204934
1,4,4,4,10,6,4,2,2021-08-07 12:09:10,220935
-5,-5,-7,-17,-22,-12,-6,-4,2021-08-07 12:09:10,220935
2,2,2,3,-1,-2,-2,-1,2021-08-07 12:09:10,220935
-1,0,-1,-2,-1,1,0,1,2021-08-07 12:09:10,220935
0,1,1,2,7,0,-1,1,2021-08-07 12:09:10,220935
0,-2,-6,-13,-11,-3,-1,0,2021-08-07 12:09:10,220935
-2,-2,-2,-1,2,-1,-1,-1,2021-08-07 12:09:10,220935
6,7,10,18,16,9,6,6,2021-08-07 12:09:10,235933
-5,-6,-3,5,0,1,-1,-4,2021-08-07 12:09:10,235933
-4,-4,-2,-9,-8,-3,-2,-3,2021-08-07 12:09:10,235933
-1,5,5,8,8,2,-2,-1,2021-08-07 12:09:10,235933
-3,-3,-3,-4,-1,-1,-4,-5,2021-08-07 12:09:10,267933
2,3,5,8,6,2,0,-1,2021-08-07 12:09:10,267933
-2,-2,-3,-7,-11,-7,-3,-4,2021-08-07 12:09:10,267933
0,-3,-4,-15,-21,-10,-4,-3,2021-08-07 12:09:10,267933
-3,-4,-5,-8,0,-1,-3,-2,2021-08-07 12:09:10,283934
1,2,1,4,1,0,1,1,2021-08-07 12:09:10,298933
-2,-4,-8,-16,-14,-6,-3,-1,2021-08-07 12:09:10,298933
2,3,12,28,30,13,8,2,2021-08-07 12:09:10,298933
-1,-2,-2,1,-4,-3,0,-1,2021-08-07 12:09:10,298933
-2,-2,-5,-8,-10,-4,-2,0,2021-08-07 12:09:10,298933
2,1,0,1,-6,-3,0,0,2021-08-07 12:09:10,298933
-5,-6,-11,-20,-9,-3,-3,-3,2021-08-07 12:09:10,299939
3,4,8,13,7,1,2,4,2021-08-07 12:09:10,330936
-3,-2,-3,-2,-3,-2,-3,-3,2021-08-07 12:09:10,330936
2,1,2,4,2,2,0,0,2021-08-07 12:09:10,330936
-8,-9,-14,-20,-23,-14,-7,-7,2021-08-07 12:09:10,330936
-4,-4,-6,0,7,2,-2,-1,2021-08-07 12:09:10,330936
2,2,4,4,12,5,3,3,2021-08-07 12:09:10,330936
3,5,8,18,21,10,5,4,2021-08-07 12:09:10,346961
0,-1,-3,-2,-3,-2,-1,1,2021-08-07 12:09:10,346961
-6,-7,-7,-14,-17,-9,-5,-6,2021-08-07 12:09:10,362934
-2,-5,-4,-6,-13,-8,-5,-5,2021-08-07 12:09:10,378962
3,2,4,-1,-2,-1,0,1,2021-08-07 12:09:10,394936
1,5,1,5,3,2,2,1,2021-08-07 12:09:10,410934
2,1,4,7,7,6,5,2,2021-08-07 12:09:10,426435
-2,-2,-3,-3,1,0,0,-3,2021-08-07 12:09:10,441170
-3,-4,-7,-5,-12,-7,-1,-4,2021-08-07 12:09:10,441170
-4,-4,-9,-20,-13,-4,-4,-3,2021-08-07 12:09:10,441170
7,7,15,24,25,12,7,4,2021-08-07 12:09:10,441170
-4,-4,-1,8,6,2,-1,-2,2021-08-07 12:09:10,441170
-1,-1,0,3,3,2,-1,1,2021-08-07 12:09:10,441170
-1,-2,0,-5,-11,-5,-4,-2,2021-08-07 12:09:10,441170
-2,-1,-7,-17,-19,-10,-5,-3,2021-08-07 12:09:10,442139
-2,-3,-5,-15,-11,-3,-1,-1,2021-08-07 12:09:10,442139
1,0,5,18,18,7,4,1,2021-08-07 12:09:10,442139
2,1,2,2,2,1,1,1,2021-08-07 12:09:10,442139
-3,-3,-4,-8,-8,-5,-3,-3,2021-08-07 12:09:10,442139
-2,-2,-1,-2,0,-2,-3,-2,2021-08-07 12:09:10,442139
-4,-3,-5,-10,-8,-2,-3,0,2021-08-07 12:09:10,442139
4,2,2,4,2,2,1,4,2021-08-07 12:09:10,443134
2,3,1,0,1,1,0,1,2021-08-07 12:09:10,472134
-3,-2,-4,-3,-8,-4,-2,0,2021-08-07 12:09:10,472134
-3,-3,-1,1,14,5,1,-2,2021-08-07 12:09:10,472134
2,2,5,17,18,9,6,2,2021-08-07 12:09:10,472134
-2,-2,-1,-2,-9,-5,-1,-1,2021-08-07 12:09:10,488171
-1,-1,-1,2,2,0,-1,-2,2021-08-07 12:09:10,488171
-3,-2,-2,-6,-14,-8,-4,-4,2021-08-07 12:09:10,488171
-2,-4,-9,-19,-12,-6,-5,-1,2021-08-07 12:09:10,488171
0,-1,3,14,14,5,2,0,2021-08-07 12:09:10,504135
4,3,2,-1,-2,1,2,4,2021-08-07 12:09:10,520134
1,0,-2,3,7,4,1,-1,2021-08-07 12:09:10,520134
-4,-2,-1,-1,-5,-4,-2,-3,2021-08-07 12:09:10,520134
-1,-3,-2,-1,-1,-2,-2,-2,2021-08-07 12:09:10,520134
-4,-2,-2,-2,2,1,-2,0,2021-08-07 12:09:10,520134
0,1,-1,-5,-11,-5,-2,1,2021-08-07 12:09:10,521137
-1,-1,-1,-2,0,0,1,-2,2021-08-07 12:09:10,521137
-2,-2,-3,-5,-2,-2,-2,-2,2021-08-07 12:09:10,536131
0,-1,4,7,5,0,0,-1,2021-08-07 12:09:10,536131
0,0,1,-3,0,0,1,0,2021-08-07 12:09:10,551134
0,-1,0,0,-2,-1,0,-1,2021-08-07 12:09:10,567134
-2,-3,-6,-10,-8,-5,-2,-3,2021-08-07 12:09:10,567134
0,0,0,-2,0,-1,-2,-1,2021-08-07 12:09:10,567134
0,0,-4,-9,-9,-5,-3,0,2021-08-07 12:09:10,567134
0,2,3,-1,2,0,-1,0,2021-08-07 12:09:10,567134
-1,-1,2,10,4,3,0,-1,2021-08-07 12:09:10,599139
-1,-1,-2,-1,-1,0,0,-2,2021-08-07 12:09:10,630133
3,2,4,6,11,3,3,0,2021-08-07 12:09:10,646131
0,-2,0,-1,-4,-3,-1,0,2021-08-07 12:09:10,662178
-4,-3,-8,-15,-17,-7,-5,-2,2021-08-07 12:09:10,678133
-5,-4,0,1,-1,-2,-1,-3,2021-08-07 12:09:10,678133
2,3,2,2,-2,1,0,1,2021-08-07 12:09:10,678133
2,2,1,4,7,3,2,0,2021-08-07 12:09:10,678133
-1,-2,-1,0,1,-1,-1,-2,2021-08-07 12:09:10,678133
-7,-9,-8,-9,-8,-7,-5,-5,2021-08-07 12:09:10,679142
7,12,11,8,1,4,2,5,2021-08-07 12:09:10,679142
-2,0,-1,0,-3,-2,-1,-1,2021-08-07 12:09:10,679142
-1,1,0,-4,0,0,-1,-1,2021-08-07 12:09:10,679142
-1,-1,-2,2,3,2,1,0,2021-08-07 12:09:10,679142
-5,-7,-6,-3,-2,-4,-3,-5,2021-08-07 12:09:10,679142
0,-1,1,5,1,1,1,1,2021-08-07 12:09:10,679142
-1,0,-1,-4,-1,-1,-1,-1,2021-08-07 12:09:10,680135
0,0,-2,-4,-4,-1,0,0,2021-08-07 12:09:10,680135
0,-2,-1,5,6,3,1,0,2021-08-07 12:09:10,680135
-1,0,-4,-6,-8,-4,-3,-2,2021-08-07 12:09:10,680135
-4,-4,-7,-2,-5,-3,-2,-2,2021-08-07 12:09:10,680135
4,2,1,1,11,6,3,3,2021-08-07 12:09:10,680135
-1,1,-1,-2,0,2,1,1,2021-08-07 12:09:10,680135
-2,-1,2,7,5,2,0,-1,2021-08-07 12:09:10,680135
-1,-3,-1,-6,-8,-5,-3,-2,2021-08-07 12:09:10,724131
-1,-1,-3,-7,-10,-7,-4,-1,2021-08-07 12:09:10,724131
-2,-3,-8,-11,-2,-3,-2,0,2021-08-07 12:09:10,724131
0,-1,0,1,-3,-2,-2,0,2021-08-07 12:09:10,724131
5,10,10,14,12,8,4,4,2021-08-07 12:09:10,724131
0,-1,-2,-1,-11,-6,-2,-2,2021-08-07 12:09:10,725134
-3,-5,-5,-5,-3,-2,-3,-4,2021-08-07 12:09:10,725134
-3,-3,-2,-2,-4,-2,-2,-4,2021-08-07 12:09:10,725134
-3,-5,-5,-7,-2,-1,-2,-1,2021-08-07 12:09:10,743136
-2,-1,-2,-2,-3,-2,-3,-2,2021-08-07 12:09:10,743136
-2,-3,-3,2,0,-2,-1,-3,2021-08-07 12:09:10,755172
5,6,5,6,8,6,4,2,2021-08-07 12:09:10,755172
-1,-1,-3,-4,-7,-4,-3,-2,2021-08-07 12:09:10,771134
1,1,-1,-3,0,-2,0,-1,2021-08-07 12:09:10,787134
-5,-6,-5,-8,-13,-9,-6,-6,2021-08-07 12:09:10,787134
-2,-1,1,10,15,5,0,-1,2021-08-07 12:09:10,787134
6,6,4,3,1,-1,3,3,2021-08-07 12:09:10,787134
-1,0,-3,-3,-5,-2,-2,-2,2021-08-07 12:09:10,787134
0,-1,-2,1,-1,-1,0,-1,2021-08-07 12:09:10,787134
-2,-3,-4,-3,-1,-1,-2,0,2021-08-07 12:09:10,787134
-2,-2,0,-1,-2,-2,-1,0,2021-08-07 12:09:10,803133
-1,0,2,10,10,4,1,0,2021-08-07 12:09:10,819134
-2,-2,-2,-9,-18,-9,-4,-1,2021-08-07 12:09:10,819134
0,-2,-3,-2,8,4,1,-1,2021-08-07 12:09:10,819134
0,1,2,13,13,4,1,-1,2021-08-07 12:09:10,819134
-1,-1,-1,-2,-2,-1,1,-1,2021-08-07 12:09:10,820134
2,0,-2,3,4,2,1,1,2021-08-07 12:09:10,820134
-2,-3,-6,-10,-17,-10,-5,-2,2021-08-07 12:09:10,820134
-4,-4,-3,-5,-7,-3,-3,-1,2021-08-07 12:09:10,851134
1,0,-2,-1,-1,-1,0,0,2021-08-07 12:09:10,851134
-3,-1,-1,-9,-2,0,-1,-2,2021-08-07 12:09:10,851134
3,5,12,22,18,11,4,3,2021-08-07 12:09:10,851134
-2,-4,-2,-1,2,-1,-1,-1,2021-08-07 12:09:10,883133
-3,-5,-4,-4,-4,-1,-2,-2,2021-08-07 12:09:10,915135
2,3,1,-3,-5,-1,1,0,2021-08-07 12:09:10,915135
0,1,-1,-1,-5,-4,-2,0,2021-08-07 12:09:10,915135
0,0,-1,0,4,3,1,-2,2021-08-07 12:09:10,915135
-3,-3,-2,-3,-5,-3,-2,-2,2021-08-07 12:09:10,915135
-6,-4,-3,-6,-6,-5,-5,-3,2021-08-07 12:09:10,915135
7,7,5,11,19,11,8,6,2021-08-07 12:09:10,916138
-1,-3,-3,-1,-4,-4,-3,-2,2021-08-07 12:09:10,916138
2,1,1,2,4,2,2,0,2021-08-07 12:09:10,916138
2,2,2,6,3,1,1,2,2021-08-07 12:09:10,916138
-4,-5,-6,-17,-20,-11,-6,-4,2021-08-07 12:09:10,916138
-1,-1,0,5,13,4,1,-1,2021-08-07 12:09:10,931134
4,4,2,0,1,2,1,3,2021-08-07 12:09:10,947161
-1,-2,1,7,8,3,1,-1,2021-08-07 12:09:10,963132
-6,-4,-5,-14,-16,-9,-5,-6,2021-08-07 12:09:10,978133
-2,-2,-6,-13,-8,-5,-2,0,2021-08-07 12:09:10,993139
-1,2,3,7,9,5,0,-2,2021-08-07 12:09:10,993139
2,0,-2,-5,-1,1,0,-2,2021-08-07 12:09:10,993139
1,2,2,6,1,1,2,2,2021-08-07 12:09:10,993139
-3,-5,-7,-14,-14,-5,-3,-3,2021-08-07 12:09:10,993139
2,0,4,6,3,2,1,2,2021-08-07 12:09:10,994138
2,-1,-3,0,2,3,4,2,2021-08-07 12:09:10,994138
-3,-6,-5,-2,1,1,-1,-2,2021-08-07 12:09:10,994138
-2,0,0,2,-1,-3,-2,-3,2021-08-07 12:09:10,994138
-5,-2,-3,-5,-8,-6,-5,-3,2021-08-07 12:09:10,994138
-1,1,7,16,16,8,3,-1,2021-08-07 12:09:10,994138
-2,-3,-3,-7,-9,-7,-5,-2,2021-08-07 12:09:10,994138
1,0,-1,-5,-9,-3,-1,-1,2021-08-07 12:09:11,009134
-4,-5,-6,-9,1,-3,-2,-3,2021-08-07 12:09:11,009134
7,10,12,17,12,7,4,3,2021-08-07 12:09:11,009134
2,0,0,1,0,-1,-1,0,2021-08-07 12:09:11,009134
-3,-4,-2,-4,-4,-4,-1,-3,2021-08-07 12:09:11,041135
-2,0,-3,-5,-5,-2,-1,-1,2021-08-07 12:09:11,057133
-5,-5,-4,-6,-8,-6,-4,-3,2021-08-07 12:09:11,057133
-2,-3,-5,-7,-8,-4,-2,-3,2021-08-07 12:09:11,057133
-1,0,1,5,5,5,1,1,2021-08-07 12:09:11,057133
-1,-1,0,-1,-1,0,0,-1,2021-08-07 12:09:11,057133
-2,-1,0,5,8,2,1,-1,2021-08-07 12:09:11,057133
3,1,2,3,-3,-1,-1,-2,2021-08-07 12:09:11,058138
-7,-8,-5,-3,-1,-3,-3,-4,2021-08-07 12:09:11,073143
7,7,6,2,2,3,4,6,2021-08-07 12:09:11,089132
0,1,0,0,0,0,-2,-1,2021-08-07 12:09:11,104157
-1,0,-1,-2,-2,0,0,-1,2021-08-07 12:09:11,120137
-4,-3,-2,-4,-5,-3,-3,-3,2021-08-07 12:09:11,120137
-7,-10,-8,-11,-10,-7,-5,-6,2021-08-07 12:09:11,120137
2,3,1,3,8,5,2,3,2021-08-07 12:09:11,120137
0,2,6,14,11,4,2,3,2021-08-07 12:09:11,120137
0,-1,0,2,-1,1,0,-2,2021-08-07 12:09:11,120137
-1,-3,-3,-5,-6,-3,-3,-2,2021-08-07 12:09:11,120137
-4,-6,-6,-8,-9,-7,-3,-5,2021-08-07 12:09:11,120137
-1,-2,-3,-8,-4,-5,-3,-3,2021-08-07 12:09:11,121135
-1,1,-4,-12,-10,-4,-2,-1,2021-08-07 12:09:11,121135
4,4,8,17,14,7,4,2,2021-08-07 12:09:11,121135
-3,-2,-3,-4,4,0,-1,-2,2021-08-07 12:09:11,121135
-5,-5,-6,-2,-9,-6,-5,-3,2021-08-07 12:09:11,121135
3,2,4,7,6,2,1,2,2021-08-07 12:09:11,152134
1,2,2,-3,-3,-1,0,-1,2021-08-07 12:09:11,152134
-1,-3,-1,-1,-9,-2,-2,-1,2021-08-07 12:09:11,152134
-2,0,-1,1,11,4,3,-1,2021-08-07 12:09:11,152134
1,-2,-4,-6,-8,-5,-3,0,2021-08-07 12:09:11,184133
-1,-1,0,2,5,0,1,1,2021-08-07 12:09:11,184133
0,1,-2,-4,-7,-6,-3,-2,2021-08-07 12:09:11,184133
-3,-2,-3,-10,-9,-3,-3,-1,2021-08-07 12:09:11,184133
-3,-2,2,8,7,3,-1,0,2021-08-07 12:09:11,184133
0,1,0,8,8,4,1,1,2021-08-07 12:09:11,185135
-1,-2,-2,-5,-8,-3,0,0,2021-08-07 12:09:11,185135
-2,-3,-3,-4,-4,-4,-1,-3,2021-08-07 12:09:11,185135
4,4,3,10,11,6,2,1,2021-08-07 12:09:11,216172
-5,-4,-5,-10,-12,-8,-6,-3,2021-08-07 12:09:11,232133
-1,-3,-7,-11,-4,-2,-2,-2,2021-08-07 12:09:11,247134
0,-1,0,-1,-6,-4,-3,-1,2021-08-07 12:09:11,247134
1,1,2,2,5,3,3,1,2021-08-07 12:09:11,247134
0,3,1,6,2,0,0,0,2021-08-07 12:09:11,247134
-3,-5,-5,-9,-9,-6,-5,-2,2021-08-07 12:09:11,247134
-5,-5,-6,-6,2,1,1,-3,2021-08-07 12:09:11,247134
3,4,5,4,-6,-3,0,0,2021-08-07 12:09:11,247134
0,0,-2,1,2,1,0,0,2021-08-07 12:09:11,248138
0,1,1,2,0,2,0,0,2021-08-07 12:09:11,248138
-3,-4,-3,-4,-5,-4,-2,-4,2021-08-07 12:09:11,248138
-2,-2,0,-1,2,0,1,0,2021-08-07 12:09:11,279134
-1,-3,-3,-3,-6,-5,-2,-3,2021-08-07 12:09:11,295132
0,-4,-2,-1,-5,-3,-2,-1,2021-08-07 12:09:11,311133
0,1,0,-2,-1,-2,0,1,2021-08-07 12:09:11,311133
-4,-2,-1,-5,-6,-3,-2,-3,2021-08-07 12:09:11,311133
2,0,0,2,13,6,4,-1,2021-08-07 12:09:11,311133
1,2,3,9,10,5,2,1,2021-08-07 12:09:11,312137
4,5,9,18,11,5,5,3,2021-08-07 12:09:11,312137
-4,-4,-6,-10,-12,-8,-4,-4,2021-08-07 12:09:11,312137
-4,-5,-7,-15,-17,-8,-5,-3,2021-08-07 12:09:11,312137
0,-1,4,0,0,0,1,1,2021-08-07 12:09:11,312137
1,3,4,5,5,1,1,1,2021-08-07 12:09:11,312137
-4,-6,-5,-6,-6,-4,-3,-2,2021-08-07 12:09:11,327172
0,0,0,2,-2,-1,-1,3,2021-08-07 12:09:11,327172
2,1,-1,1,10,3,1,1,2021-08-07 12:09:11,343160
3,4,2,3,6,5,1,0,2021-08-07 12:09:11,359134
-1,-2,-3,-2,-5,-4,-2,-3,2021-08-07 12:09:11,359134
-7,-7,-8,-11,-8,-7,-5,-5,2021-08-07 12:09:11,359134
1,2,3,5,2,-1,1,2,2021-08-07 12:09:11,375164
0,1,1,3,3,3,-1,-1,2021-08-07 12:09:11,391160
-1,-1,0,2,1,-1,-2,0,2021-08-07 12:09:11,391160
