EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-1,-4,-7,-12,-18,-8,-5,-3,2021-08-07 12:07:19.449267
-2,-3,-2,2,10,4,-2,-1,2021-08-07 12:07:19.449267
1,1,1,6,9,5,3,2,2021-08-07 12:07:19.449267
1,-1,0,1,1,1,1,1,2021-08-07 12:07:19.450269
-2,-2,0,2,0,-1,-1,-1,2021-08-07 12:07:19.451266
-8,-11,-17,-35,-37,-22,-10,-9,2021-08-07 12:07:19.451266
8,10,16,32,28,16,8,6,2021-08-07 12:07:19.452268
3,2,4,4,4,2,1,1,2021-08-07 12:07:19.452268
0,-3,-4,-6,-1,-2,0,0,2021-08-07 12:07:19.461266
0,0,2,3,0,0,0,-2,2021-08-07 12:07:19.461266
-6,-5,-7,-17,-14,-9,-7,-5,2021-08-07 12:07:19.465268
-1,-1,-3,-4,-2,-2,-1,-2,2021-08-07 12:07:19.465268
0,-1,3,5,4,3,-2,0,2021-08-07 12:07:19.480291
-1,1,0,1,2,1,0,1,2021-08-07 12:07:19.480291
1,0,-2,-4,-5,-2,-1,-1,2021-08-07 12:07:19.496308
1,1,1,2,-1,2,0,2,2021-08-07 12:07:19.497271
-5,-2,-4,-5,0,-1,-2,-2,2021-08-07 12:07:19.498269
0,-1,-1,0,6,4,0,1,2021-08-07 12:07:19.498269
2,3,3,5,4,2,1,2,2021-08-07 12:07:19.520268
-1,1,0,0,-3,-2,-1,-1,2021-08-07 12:07:19.520268
-3,-1,0,1,-1,-2,-1,-1,2021-08-07 12:07:19.523304
1,1,1,0,0,0,1,0,2021-08-07 12:07:19.523304
-2,-3,-8,-13,-10,-6,-4,-3,2021-08-07 12:07:19.540267
1,2,5,2,3,2,0,-1,2021-08-07 12:07:19.540267
1,2,1,-1,0,1,2,0,2021-08-07 12:07:19.574268
1,2,2,1,0,1,1,0,2021-08-07 12:07:19.574268
-2,-1,-3,-2,-1,0,-1,-1,2021-08-07 12:07:19.574268
-2,-3,-2,-2,-2,-1,-2,-2,2021-08-07 12:07:19.575270
-1,-2,-3,-2,-1,0,-1,-2,2021-08-07 12:07:19.587268
0,0,1,-1,1,0,1,2,2021-08-07 12:07:19.587268
0,1,0,-1,-1,1,0,-2,2021-08-07 12:07:19.588267
-2,-3,-2,-4,-2,-2,-1,-2,2021-08-07 12:07:19.589268
0,0,-1,-1,0,-1,-1,-1,2021-08-07 12:07:19.589268
