EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-5,-5,-9,-7,-3,-3,-4,-3,2021-08-07 12:14:54,683884
-1,0,1,-1,-3,-2,-3,-3,2021-08-07 12:14:54,683884
-2,-2,-2,-2,-1,0,-1,-1,2021-08-07 12:14:54,683884
1,1,4,2,-3,-2,0,0,2021-08-07 12:14:54,683884
-1,-3,-4,-8,-5,-2,-1,-4,2021-08-07 12:14:54,683884
1,4,5,10,8,4,3,1,2021-08-07 12:14:54,683884
1,0,2,10,13,6,3,0,2021-08-07 12:14:54,684886
-3,-2,-2,-1,2,1,0,-3,2021-08-07 12:14:54,698911
2,4,3,1,1,0,1,2,2021-08-07 12:14:54,698911
-3,-5,-6,-9,-12,-10,-5,-4,2021-08-07 12:14:54,698911
1,1,0,-8,-6,-2,0,0,2021-08-07 12:14:54,698911
0,0,1,7,9,4,3,1,2021-08-07 12:14:54,698911
-2,-2,-2,-2,-3,-2,-1,-1,2021-08-07 12:14:54,730885
-4,-4,-5,-5,1,-1,-1,-1,2021-08-07 12:14:54,730885
0,1,-2,-6,-7,-3,-1,0,2021-08-07 12:14:54,730885
4,3,0,-3,1,2,1,1,2021-08-07 12:14:54,730885
-6,-7,-9,-11,-15,-9,-6,-4,2021-08-07 12:14:54,730885
4,4,5,10,14,8,4,3,2021-08-07 12:14:54,731886
2,5,5,9,8,4,-1,0,2021-08-07 12:14:54,762911
2,1,0,0,-2,-1,-2,-2,2021-08-07 12:14:54,777919
0,0,3,1,3,1,1,1,2021-08-07 12:14:54,793886
2,0,2,3,2,1,0,0,2021-08-07 12:14:54,793886
-2,-2,-3,-3,0,-2,-1,-3,2021-08-07 12:14:54,793886
-1,-1,-3,-3,-1,-2,-2,-2,2021-08-07 12:14:54,793886
-1,-1,-5,-5,-6,-3,-2,0,2021-08-07 12:14:54,793886
0,-2,-1,-4,1,-1,0,-1,2021-08-07 12:14:54,793886
-3,-3,-1,0,-2,-5,-4,-3,2021-08-07 12:14:54,794885
-3,-4,-4,-7,-11,-5,-2,-3,2021-08-07 12:14:54,794885
0,2,2,4,6,2,1,0,2021-08-07 12:14:54,794885
-2,-2,-5,-8,-6,-3,-3,-2,2021-08-07 12:14:54,794885
5,3,3,9,12,6,3,-1,2021-08-07 12:14:54,809885
-1,1,1,3,4,4,1,0,2021-08-07 12:14:54,809885
1,-1,0,1,-4,-2,-1,-1,2021-08-07 12:14:54,824886
-2,-2,-3,-2,-3,-1,1,0,2021-08-07 12:14:54,824886
-8,-7,-10,-18,-16,-11,-8,-5,2021-08-07 12:14:54,824886
0,0,1,-2,1,-2,-2,1,2021-08-07 12:14:54,824886
4,5,4,10,11,6,4,2,2021-08-07 12:14:54,840887
-1,-2,1,1,0,0,-1,-1,2021-08-07 12:14:54,849911
0,-1,-1,-4,-5,-1,-1,-1,2021-08-07 12:14:54,850884
-2,-5,-2,1,2,-1,-2,-3,2021-08-07 12:14:54,850884
-3,-4,-5,-9,-9,-3,-3,-3,2021-08-07 12:14:54,871886
2,1,4,5,8,2,2,0,2021-08-07 12:14:54,886911
-1,-1,0,3,0,1,-1,0,2021-08-07 12:14:54,902922
-3,-3,-2,-5,-4,-3,-3,-3,2021-08-07 12:14:54,918886
1,1,4,13,12,6,3,0,2021-08-07 12:14:54,934884
0,1,-1,-4,-7,-3,-1,-1,2021-08-07 12:14:54,934884
1,1,2,2,6,4,2,2,2021-08-07 12:14:54,934884
