EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
1,0,1,2,0,-1,-1,1,2021-08-07 12:14:25.162746
1,-1,-2,-3,-4,-3,-2,-1,2021-08-07 12:14:25.162746
0,0,-1,-1,3,2,2,-1,2021-08-07 12:14:25.163745
-3,-2,-1,4,1,-2,-1,-2,2021-08-07 12:14:25.164748
-3,-3,-10,-26,-25,-14,-7,-3,2021-08-07 12:14:25.175746
0,0,0,-3,6,4,1,0,2021-08-07 12:14:25.176745
-1,-1,-2,-9,-8,-4,-2,-2,2021-08-07 12:14:25.184745
8,10,23,65,72,37,16,6,2021-08-07 12:14:25.184745
-2,-2,-3,-8,-9,-5,-2,-4,2021-08-07 12:14:25.199746
-3,-4,-5,-8,-12,-6,-3,-3,2021-08-07 12:14:25.199746
-1,0,-3,-11,-13,-7,-4,-1,2021-08-07 12:14:25.201748
-3,-7,-13,-26,-28,-15,-7,-4,2021-08-07 12:14:25.201748
0,-1,3,6,8,4,1,0,2021-08-07 12:14:25.222748
0,-1,0,-2,-4,-2,-3,-3,2021-08-07 12:14:25.222748
1,2,0,2,0,1,1,1,2021-08-07 12:14:25.223749
-2,-1,2,4,4,0,-3,-2,2021-08-07 12:14:25.223749
3,1,0,5,5,3,1,2,2021-08-07 12:14:25.235747
-3,-5,-5,-8,-7,-6,-4,-4,2021-08-07 12:14:25.235747
1,2,4,7,4,3,2,2,2021-08-07 12:14:25.244749
0,0,0,-8,-7,-5,-2,-1,2021-08-07 12:14:25.245750
-2,-2,-6,-9,-8,-4,-2,-1,2021-08-07 12:14:25.259746
-1,0,2,4,4,2,1,0,2021-08-07 12:14:25.260746
-3,-6,-3,-5,-7,-5,-3,-2,2021-08-07 12:14:25.261746
-1,-1,0,0,2,1,0,1,2021-08-07 12:14:25.261746
-2,-2,-3,-1,4,2,0,0,2021-08-07 12:14:25.282746
3,3,6,12,6,3,2,1,2021-08-07 12:14:25.282746
-1,-1,-3,-2,-3,-1,-1,-1,2021-08-07 12:14:25.283746
-2,-3,-3,-8,-7,-1,-3,-1,2021-08-07 12:14:25.283746
-3,-3,-1,6,5,1,-1,-2,2021-08-07 12:14:25.295746
0,0,-5,-4,-5,-2,-1,0,2021-08-07 12:14:25.296748
2,2,6,7,9,3,2,1,2021-08-07 12:14:25.304748
