EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-1,-3,-1,-2,-1,-1,-3,2021-08-07 12:15:24,858403
2,1,1,0,-3,-2,0,0,2021-08-07 12:15:24,858403
-4,-4,-2,1,-2,-3,-2,-3,2021-08-07 12:15:24,858403
-4,-3,-2,-6,-6,-4,-3,-1,2021-08-07 12:15:24,858403
5,5,2,0,0,3,3,4,2021-08-07 12:15:24,858403
-2,-3,-4,-7,-3,-2,-3,-1,2021-08-07 12:15:24,858403
-4,-3,-1,2,-1,-2,-2,-3,2021-08-07 12:15:24,858403
0,0,1,-2,-1,-2,-2,-2,2021-08-07 12:15:24,858403
1,2,-1,2,1,0,3,1,2021-08-07 12:15:24,858403
0,-2,-3,-2,2,2,1,-1,2021-08-07 12:15:24,858403
1,3,5,6,5,2,0,-1,2021-08-07 12:15:24,874402
-6,-8,-8,-8,-10,-6,-6,-3,2021-08-07 12:15:24,874402
1,1,2,-2,4,4,3,3,2021-08-07 12:15:24,874402
4,6,8,10,5,4,2,3,2021-08-07 12:15:24,874402
-2,-5,-6,-9,-6,-5,-3,-2,2021-08-07 12:15:24,890403
0,2,5,10,11,5,2,-1,2021-08-07 12:15:24,890403
-4,-5,-6,-11,-11,-9,-6,-4,2021-08-07 12:15:24,906405
-1,0,-2,-5,-4,-3,1,-1,2021-08-07 12:15:24,906405
-1,-2,-4,-11,-8,-5,-5,-1,2021-08-07 12:15:24,922405
3,3,3,9,8,4,2,1,2021-08-07 12:15:24,938646
-1,-3,-1,4,0,0,0,0,2021-08-07 12:15:24,938646
-5,-5,-2,-2,-4,-2,-2,-3,2021-08-07 12:15:24,938646
-4,-3,-3,-4,-4,-4,-3,-3,2021-08-07 12:15:24,938646
-1,1,-1,-5,-1,0,1,1,2021-08-07 12:15:24,938646
13,17,11,9,14,12,7,7,2021-08-07 12:15:24,970404
1,1,0,6,7,2,2,0,2021-08-07 12:15:24,970404
-1,-2,-2,-1,0,0,0,-2,2021-08-07 12:15:24,986404
-3,-5,-5,-6,-8,-4,-2,-4,2021-08-07 12:15:25,002404
-1,-2,6,12,3,0,-2,-1,2021-08-07 12:15:25,002404
1,-1,1,-2,2,2,-1,0,2021-08-07 12:15:25,002404
3,3,0,-5,-3,-2,0,1,2021-08-07 12:15:25,002404
-2,-4,-6,-3,-7,-4,-3,-3,2021-08-07 12:15:25,002404
-3,-4,-5,-9,-8,-5,-4,-2,2021-08-07 12:15:25,002404
0,2,0,1,2,1,-1,-1,2021-08-07 12:15:25,003404
0,-1,1,2,0,0,-1,-1,2021-08-07 12:15:25,003404
1,2,3,5,10,4,1,1,2021-08-07 12:15:25,003404
-4,-5,-6,-4,-7,-7,-2,-3,2021-08-07 12:15:25,003404
0,0,1,3,1,0,0,0,2021-08-07 12:15:25,003404
-1,1,1,0,0,0,1,1,2021-08-07 12:15:25,034405
2,5,3,-2,-6,-3,1,1,2021-08-07 12:15:25,050405
-5,-7,-7,-5,0,-3,-3,-4,2021-08-07 12:15:25,050405
-4,-5,-4,-2,-5,-3,-2,-3,2021-08-07 12:15:25,050405
4,5,7,11,9,6,2,1,2021-08-07 12:15:25,050405
-1,2,3,2,-3,-1,0,0,2021-08-07 12:15:25,050405
-3,-3,-2,-3,-2,-4,-3,-1,2021-08-07 12:15:25,050405
-1,-3,0,-1,-1,1,2,0,2021-08-07 12:15:25,050405
-2,-3,-5,-2,1,0,-2,-1,2021-08-07 12:15:25,062404
-1,-4,-3,-7,0,-1,-1,-1,2021-08-07 12:15:25,062404
-1,0,2,8,3,2,1,-2,2021-08-07 12:15:25,082407
-2,-3,-5,-12,-10,-6,-2,-3,2021-08-07 12:15:25,082407
2,3,6,7,8,5,3,2,2021-08-07 12:15:25,082407
-2,-3,-3,-4,3,0,-3,-3,2021-08-07 12:15:25,082407
-1,-1,4,8,1,0,-1,-1,2021-08-07 12:15:25,082407
-1,-1,-4,-7,-9,-3,-4,-1,2021-08-07 12:15:25,082407
0,-1,0,2,3,1,1,1,2021-08-07 12:15:25,113405
3,5,1,-4,-5,-2,-1,1,2021-08-07 12:15:25,129402
-1,-1,-4,-9,-3,-3,-3,-2,2021-08-07 12:15:25,129402
-4,-2,-2,-1,-2,-2,-3,-2,2021-08-07 12:15:25,145402
1,0,-2,-4,-8,-3,-1,-2,2021-08-07 12:15:25,145402
-1,-1,2,9,9,2,0,-1,2021-08-07 12:15:25,145402
-4,-5,-5,-9,-7,-4,-3,-3,2021-08-07 12:15:25,145402
-1,0,-1,-1,1,-1,0,0,2021-08-07 12:15:25,145402
-2,-2,-3,-4,-7,-3,-5,-1,2021-08-07 12:15:25,146404
0,0,-1,-3,-2,0,1,0,2021-08-07 12:15:25,146404
-1,-4,-2,-2,2,1,-2,-2,2021-08-07 12:15:25,146404
-3,-3,-3,-6,-9,-5,-4,-2,2021-08-07 12:15:25,146404
-2,-3,-1,-5,-1,-1,-1,-2,2021-08-07 12:15:25,177404
2,1,5,13,11,5,2,2,2021-08-07 12:15:25,177404
1,1,-2,-8,-9,-4,-1,1,2021-08-07 12:15:25,177404
-2,-2,-5,-8,0,0,-3,-1,2021-08-07 12:15:25,177404
1,3,4,13,3,3,1,1,2021-08-07 12:15:25,177404
-4,-7,-8,-12,-9,-5,-5,-2,2021-08-07 12:15:25,177404
4,4,4,7,6,4,1,0,2021-08-07 12:15:25,193405
0,-2,-1,-8,-9,-6,-5,-1,2021-08-07 12:15:25,209403
-1,1,-2,-5,-2,0,1,1,2021-08-07 12:15:25,209403
-2,-1,3,12,10,4,-1,-2,2021-08-07 12:15:25,209403
-2,-2,-2,-1,2,1,0,0,2021-08-07 12:15:25,209403
1,2,1,3,1,-1,1,0,2021-08-07 12:15:25,209403
-5,-6,-10,-14,-11,-8,-6,-5,2021-08-07 12:15:25,241403
6,8,8,10,7,4,4,4,2021-08-07 12:15:25,257403
1,0,-1,2,0,0,-1,0,2021-08-07 12:15:25,273404
0,1,0,5,3,1,0,-1,2021-08-07 12:15:25,273404
-2,-4,-2,1,3,-2,-2,-1,2021-08-07 12:15:25,273404
-3,-4,-7,-11,-13,-8,-5,-3,2021-08-07 12:15:25,273404
-6,-6,-8,-15,-22,-12,-7,-4,2021-08-07 12:15:25,273404
3,5,6,14,31,18,9,8,2021-08-07 12:15:25,273404
1,2,6,9,5,3,1,1,2021-08-07 12:15:25,274407
-2,-1,-3,-3,-5,-2,0,-1,2021-08-07 12:15:25,274407
-3,-4,-4,-7,-7,-5,-3,-4,2021-08-07 12:15:25,274407
1,1,2,-1,-9,-4,-2,0,2021-08-07 12:15:25,274407
-1,-2,-6,-9,-6,-4,-2,-2,2021-08-07 12:15:25,289404
1,1,4,9,13,6,2,0,2021-08-07 12:15:25,289404
-2,-2,-1,2,4,1,0,-2,2021-08-07 12:15:25,289404
-1,-3,-2,-2,-4,-3,0,0,2021-08-07 12:15:25,289404
1,1,1,2,2,1,1,-1,2021-08-07 12:15:25,304402
-3,-2,-4,-9,-10,-6,-2,-1,2021-08-07 12:15:25,320403
-1,0,0,-1,5,0,-1,2,2021-08-07 12:15:25,320403
0,-1,1,4,2,1,0,0,2021-08-07 12:15:25,320403
0,1,0,-3,-4,-3,-1,-1,2021-08-07 12:15:25,320403
-5,-4,-5,-10,-9,-6,-3,-3,2021-08-07 12:15:25,320403
-2,-4,-6,-4,4,3,0,-3,2021-08-07 12:15:25,336402
1,4,2,6,2,2,1,0,2021-08-07 12:15:25,336402
-1,-1,0,7,1,-1,-1,-1,2021-08-07 12:15:25,352403
-4,-4,-5,-6,-4,-2,-1,-2,2021-08-07 12:15:25,368405
3,5,4,1,-1,-2,-1,1,2021-08-07 12:15:25,368405
0,0,0,0,1,2,1,-3,2021-08-07 12:15:25,368405
-2,-4,-3,-4,-2,-1,-1,-2,2021-08-07 12:15:25,368405
-2,-3,-1,5,5,2,0,-2,2021-08-07 12:15:25,368405
-4,-5,-4,-4,-4,-4,-1,0,2021-08-07 12:15:25,368405
3,5,5,3,-1,1,3,3,2021-08-07 12:15:25,369404
-2,-3,-1,-1,0,0,-1,1,2021-08-07 12:15:25,400403
1,1,-1,-2,-5,-3,-2,0,2021-08-07 12:15:25,400403
-2,0,-1,-2,-1,0,-1,-2,2021-08-07 12:15:25,416405
-4,-4,-3,1,5,-1,-2,-3,2021-08-07 12:15:25,432402
-4,-6,-9,-11,-7,-4,-3,-4,2021-08-07 12:15:25,448404
8,10,11,13,10,8,6,5,2021-08-07 12:15:25,448404
0,0,0,-2,-5,-2,-1,0,2021-08-07 12:15:25,448404
-1,-1,0,3,3,0,-3,0,2021-08-07 12:15:25,448404
-1,-5,-3,-7,-5,-2,-1,-2,2021-08-07 12:15:25,448404
-2,-3,-3,-4,-3,-3,-4,-3,2021-08-07 12:15:25,464404
-1,-1,0,2,-1,-1,-1,-3,2021-08-07 12:15:25,480402
0,-1,-2,-6,-9,-4,-2,0,2021-08-07 12:15:25,480402
0,2,4,4,10,4,2,0,2021-08-07 12:15:25,480402
-1,-3,-4,-3,-5,-3,-3,-1,2021-08-07 12:15:25,480402
0,-3,-1,1,3,2,1,0,2021-08-07 12:15:25,480402
-2,-2,-4,-4,-6,-3,-1,-1,2021-08-07 12:15:25,480402
-2,0,-1,-2,-4,-3,-2,-3,2021-08-07 12:15:25,480402
-1,0,-3,-10,-11,-5,-2,0,2021-08-07 12:15:25,496404
2,1,0,8,6,1,0,0,2021-08-07 12:15:25,496404
1,1,0,2,4,3,2,1,2021-08-07 12:15:25,496404
2,4,5,11,10,6,1,2,2021-08-07 12:15:25,496404
-2,-2,-2,0,-1,-2,0,-3,2021-08-07 12:15:25,510405
-2,-8,-9,-12,-9,-4,-2,-2,2021-08-07 12:15:25,510405
-2,-4,-7,-11,-8,-6,-3,-2,2021-08-07 12:15:25,511404
-1,-1,-1,-3,-2,1,0,0,2021-08-07 12:15:25,511404
-7,-6,-4,-9,-8,-5,-5,-5,2021-08-07 12:15:25,511404
-1,3,1,3,4,1,-2,0,2021-08-07 12:15:25,511404
1,3,9,16,16,10,1,-1,2021-08-07 12:15:25,511404
1,1,2,1,-4,-1,-2,0,2021-08-07 12:15:25,528403
-2,-4,-5,-1,-1,-1,-3,-3,2021-08-07 12:15:25,528403
2,3,1,-4,-6,-4,-1,3,2021-08-07 12:15:25,528403
-1,-3,-3,-7,-6,-5,-1,0,2021-08-07 12:15:25,528403
-1,-2,-4,0,-3,-3,0,0,2021-08-07 12:15:25,544402
2,3,3,8,9,5,4,3,2021-08-07 12:15:25,559404
-2,-3,-2,-4,-3,-2,-1,-2,2021-08-07 12:15:25,591404
-2,0,-1,-5,-11,-7,-2,-1,2021-08-07 12:15:25,591404
2,2,2,2,3,2,0,1,2021-08-07 12:15:25,591404
-2,-4,-4,-7,-3,-4,-1,-3,2021-08-07 12:15:25,591404
-1,1,4,7,13,9,1,-1,2021-08-07 12:15:25,591404
-1,0,1,2,-2,-1,-3,0,2021-08-07 12:15:25,591404
-6,-7,-10,-13,-13,-9,-5,-3,2021-08-07 12:15:25,592405
2,4,2,1,1,0,0,0,2021-08-07 12:15:25,592405
0,2,5,10,6,3,1,1,2021-08-07 12:15:25,607404
-5,-7,-9,-15,-16,-9,-5,-6,2021-08-07 12:15:25,607404
1,3,9,17,16,9,4,-1,2021-08-07 12:15:25,607404
0,-1,-6,-10,-7,-3,-3,-1,2021-08-07 12:15:25,607404
3,4,5,10,10,6,3,1,2021-08-07 12:15:25,607404
-4,-4,-5,-1,-2,-2,-4,-3,2021-08-07 12:15:25,607404
1,3,0,1,-2,-1,-1,0,2021-08-07 12:15:25,638403
-2,-3,-3,-4,-3,-3,-2,-4,2021-08-07 12:15:25,654404
-1,0,-3,-8,-7,-4,-2,-2,2021-08-07 12:15:25,670403
-1,-1,-2,-1,-3,-3,-2,-1,2021-08-07 12:15:25,670403
-1,-1,-1,-7,-8,-4,-2,-1,2021-08-07 12:15:25,670403
-2,-1,1,2,0,1,-1,-1,2021-08-07 12:15:25,670403
0,-1,1,3,3,-1,1,0,2021-08-07 12:15:25,670403
4,3,3,9,13,7,6,2,2021-08-07 12:15:25,671404
-5,-6,-7,-6,-5,-4,-4,-3,2021-08-07 12:15:25,671404
3,5,8,10,6,4,1,3,2021-08-07 12:15:25,671404
-5,-7,-7,-10,-16,-8,-5,-5,2021-08-07 12:15:25,686403
5,6,7,7,6,4,3,5,2021-08-07 12:15:25,702405
3,3,4,8,7,3,2,0,2021-08-07 12:15:25,718405
-4,-5,-4,-6,-3,-2,-2,-2,2021-08-07 12:15:25,734431
-2,-3,-4,-4,-4,-3,1,-2,2021-08-07 12:15:25,734431
0,1,3,1,-1,-1,0,-1,2021-08-07 12:15:25,734431
-4,-4,-8,-16,-13,-8,-6,-4,2021-08-07 12:15:25,734431
-3,-5,-5,-5,-6,-5,-1,-4,2021-08-07 12:15:25,750430
6,9,10,18,20,11,7,5,2021-08-07 12:15:25,766431
-2,-3,-2,6,5,2,0,-2,2021-08-07 12:15:25,782428
-1,-2,-2,-1,-3,-2,-2,-2,2021-08-07 12:15:25,798431
-2,-3,-5,-5,-6,-3,-3,-1,2021-08-07 12:15:25,814431
-2,-2,-4,-14,-15,-9,-4,-2,2021-08-07 12:15:25,829430
0,2,1,-1,4,4,2,2,2021-08-07 12:15:25,829430
-1,-2,-1,4,6,2,0,-1,2021-08-07 12:15:25,829430
0,2,3,6,6,3,0,0,2021-08-07 12:15:25,829430
0,-1,-2,-1,-5,-2,0,0,2021-08-07 12:15:25,829430
1,3,-1,-6,-6,-5,0,-1,2021-08-07 12:15:25,829430
-1,-1,1,0,-3,-2,0,0,2021-08-07 12:15:25,830430
-1,-1,-2,-2,-1,-2,-1,0,2021-08-07 12:15:25,830430
-6,-7,-8,-14,-12,-8,-6,-5,2021-08-07 12:15:25,830430
-1,-3,3,9,7,5,2,0,2021-08-07 12:15:25,830430
3,2,1,1,6,6,5,3,2021-08-07 12:15:25,830430
2,1,4,7,8,3,2,1,2021-08-07 12:15:25,830430
-1,-1,-1,1,-4,0,-1,-1,2021-08-07 12:15:25,830430
-4,-6,-7,-13,-9,-5,-4,-3,2021-08-07 12:15:25,830430
-2,-4,-3,-3,-1,-3,-4,-3,2021-08-07 12:15:25,831430
-1,2,2,2,-1,0,-1,0,2021-08-07 12:15:25,831430
-2,-3,-7,-10,-5,-3,-1,0,2021-08-07 12:15:25,831430
-4,-6,-7,-8,-12,-6,-5,-4,2021-08-07 12:15:25,831430
5,9,11,9,7,5,4,5,2021-08-07 12:15:25,831430
0,0,-2,-2,2,0,1,0,2021-08-07 12:15:25,831430
0,-1,2,9,9,3,1,0,2021-08-07 12:15:25,831430
-3,-4,-4,-6,-9,-5,-2,-4,2021-08-07 12:15:25,831430
-3,-3,-3,-8,-8,-8,-4,-3,2021-08-07 12:15:25,861429
-2,-2,-1,-1,-1,-1,0,-2,2021-08-07 12:15:25,861429
2,3,2,3,4,3,2,1,2021-08-07 12:15:25,861429
-2,-2,-1,0,-1,-4,-1,-2,2021-08-07 12:15:25,861429
-1,-1,-3,-6,-3,0,-1,-2,2021-08-07 12:15:25,861429
-1,-1,-1,-5,-4,-3,-3,-2,2021-08-07 12:15:25,861429
-2,0,0,2,3,2,-2,0,2021-08-07 12:15:25,861429
-1,0,-1,-3,-4,-1,-1,2,2021-08-07 12:15:25,862431
2,0,-2,-2,-1,-1,1,2,2021-08-07 12:15:25,892430
1,3,5,8,9,4,2,1,2021-08-07 12:15:25,892430
0,-3,-2,-3,-2,0,-3,-1,2021-08-07 12:15:25,892430
0,1,0,4,1,1,-1,0,2021-08-07 12:15:25,892430
-3,-5,-4,-5,-5,-3,-3,-1,2021-08-07 12:15:25,923429
-4,-8,-8,-10,-6,-4,-2,-2,2021-08-07 12:15:25,923429
5,7,5,5,-1,-2,1,3,2021-08-07 12:15:25,923429
0,-2,-8,-19,-16,-9,-4,0,2021-08-07 12:15:25,923429
-1,1,8,27,26,9,3,-2,2021-08-07 12:15:25,923429
-1,-2,-3,-2,-4,-2,-2,-3,2021-08-07 12:15:25,923429
-3,-4,-2,2,2,1,-1,-1,2021-08-07 12:15:25,954948
-2,0,1,1,-2,-3,-2,-2,2021-08-07 12:15:25,954948
-4,-3,-6,-13,-13,-7,-1,-2,2021-08-07 12:15:25,970947
-2,-3,-5,-6,-4,-2,-3,-3,2021-08-07 12:15:25,970947
