EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,-1,-2,-4,-5,-3,-1,0,2021-08-07 12:15:04,935607
-3,-4,-3,-4,4,2,0,0,2021-08-07 12:15:04,951606
-3,-3,-3,-2,-2,-1,-1,-2,2021-08-07 12:15:04,951606
-2,-2,-4,-4,-3,-2,-1,-2,2021-08-07 12:15:04,951606
0,0,-1,-2,-4,-2,0,1,2021-08-07 12:15:04,951606
-1,-2,-1,-6,-11,-6,-3,-1,2021-08-07 12:15:04,951606
-1,-2,-1,5,11,4,0,-1,2021-08-07 12:15:04,951606
-1,-3,-3,-3,-4,-2,-1,-1,2021-08-07 12:15:04,951606
-1,0,3,1,1,1,0,0,2021-08-07 12:15:04,952607
0,0,2,5,1,1,-1,-2,2021-08-07 12:15:04,952607
-4,-2,-1,-2,-5,-4,-4,-1,2021-08-07 12:15:04,952607
2,0,2,3,0,2,1,0,2021-08-07 12:15:04,952607
-1,-3,-1,0,2,0,0,0,2021-08-07 12:15:04,952607
0,-1,-5,-9,-6,-5,-3,-2,2021-08-07 12:15:04,952607
-1,-2,-2,-2,-3,-2,-2,-1,2021-08-07 12:15:04,952607
-3,-2,-1,3,5,2,0,-2,2021-08-07 12:15:04,953607
1,2,3,3,-1,1,-1,2,2021-08-07 12:15:04,967606
-1,0,1,1,0,1,-1,-1,2021-08-07 12:15:04,967606
-1,-1,-2,-2,-4,-6,-1,-2,2021-08-07 12:15:04,998607
-2,-3,-5,-12,-9,-3,-2,-1,2021-08-07 12:15:05,014607
0,1,3,7,6,4,1,-1,2021-08-07 12:15:05,030606
1,1,3,6,9,4,1,2,2021-08-07 12:15:05,030606
0,0,0,0,4,2,1,0,2021-08-07 12:15:05,030606
-3,-3,-1,0,0,-2,-2,-3,2021-08-07 12:15:05,030606
-4,-4,-5,-11,-9,-5,-3,-2,2021-08-07 12:15:05,030606
1,1,0,-2,-5,-3,-1,-1,2021-08-07 12:15:05,031608
-1,-2,-4,-5,-5,-5,-2,-3,2021-08-07 12:15:05,031608
-2,-2,-3,0,1,2,-1,-1,2021-08-07 12:15:05,031608
-1,1,2,4,2,-1,-2,-1,2021-08-07 12:15:05,031608
-1,0,-1,-1,-3,-2,-2,-2,2021-08-07 12:15:05,031608
1,1,1,0,-1,-1,-1,0,2021-08-07 12:15:05,046607
-4,-4,-3,-6,-7,-5,-3,-4,2021-08-07 12:15:05,046607
-3,-3,-5,-7,-8,-5,-2,0,2021-08-07 12:15:05,046607
5,4,6,14,16,9,5,5,2021-08-07 12:15:05,046607
1,-1,-5,-6,-6,-1,0,1,2021-08-07 12:15:05,077610
-3,-3,0,7,5,2,1,-3,2021-08-07 12:15:05,077610
-5,-4,-2,-7,-12,-8,-4,-5,2021-08-07 12:15:05,077610
-2,-2,-1,0,5,3,1,-3,2021-08-07 12:15:05,077610
-4,0,-2,2,0,-2,-3,-3,2021-08-07 12:15:05,093609
1,0,-1,-7,-2,-3,-3,-2,2021-08-07 12:15:05,109606
0,-2,-2,-5,-4,-4,0,-1,2021-08-07 12:15:05,125606
-3,-5,-8,-10,-11,-8,-6,-4,2021-08-07 12:15:05,125606
2,1,4,3,4,2,1,1,2021-08-07 12:15:05,129608
0,1,-1,4,3,3,1,-1,2021-08-07 12:15:05,130607
1,2,-1,-4,-7,-5,-2,0,2021-08-07 12:15:05,130607
-1,-1,-2,-2,1,1,1,1,2021-08-07 12:15:05,130607
-1,2,0,2,7,3,0,-2,2021-08-07 12:15:05,130607
-4,-5,-5,-10,-11,-5,-4,-4,2021-08-07 12:15:05,130607
0,0,1,0,1,1,0,0,2021-08-07 12:15:05,130607
-1,0,1,1,-1,1,0,-1,2021-08-07 12:15:05,131607
1,0,2,6,7,2,1,0,2021-08-07 12:15:05,157607
0,1,-1,-3,-1,-2,1,2,2021-08-07 12:15:05,173605
-1,-2,-3,1,0,2,-3,-2,2021-08-07 12:15:05,188607
-3,-5,-5,-9,-8,-6,-4,-2,2021-08-07 12:15:05,204606
2,3,3,2,0,-1,2,3,2021-08-07 12:15:05,235607
1,2,0,0,0,0,0,0,2021-08-07 12:15:05,235607
-2,-5,-6,-8,0,-1,-1,-2,2021-08-07 12:15:05,235607
0,1,3,6,-2,-2,-1,-2,2021-08-07 12:15:05,235607
-3,-4,0,0,-3,-2,-2,-2,2021-08-07 12:15:05,235607
1,0,1,3,0,-2,1,0,2021-08-07 12:15:05,235607
1,0,-2,-2,-1,-1,1,2,2021-08-07 12:15:05,235607
-3,-5,-7,-5,1,-2,-2,-2,2021-08-07 12:15:05,236607
-2,-4,-3,-1,-4,-6,-3,-4,2021-08-07 12:15:05,236607
2,3,-2,-4,-3,-1,-1,2,2021-08-07 12:15:05,236607
1,3,6,12,8,3,1,-1,2021-08-07 12:15:05,236607
1,2,2,-4,-1,0,2,0,2021-08-07 12:15:05,236607
-1,-2,-2,-4,-5,0,-4,-1,2021-08-07 12:15:05,236607
-3,-4,-3,-2,1,-2,-2,-2,2021-08-07 12:15:05,236607
-4,-2,-4,-6,-6,-5,-4,-3,2021-08-07 12:15:05,237607
0,0,-1,-1,-7,-2,-1,2,2021-08-07 12:15:05,237607
1,1,3,7,14,8,5,2,2021-08-07 12:15:05,267608
0,1,3,3,1,-1,-1,1,2021-08-07 12:15:05,267608
0,-1,2,4,4,2,0,0,2021-08-07 12:15:05,267608
-3,-3,-4,-9,-13,-8,-4,-3,2021-08-07 12:15:05,267608
-7,-7,-8,-11,-18,-10,-5,-4,2021-08-07 12:15:05,283606
3,6,2,7,13,6,4,3,2021-08-07 12:15:05,283606
0,1,4,9,14,8,4,0,2021-08-07 12:15:05,283606
-1,-2,-1,-2,-2,-3,-1,0,2021-08-07 12:15:05,283606
-2,-2,-5,-8,-10,-5,-3,-3,2021-08-07 12:15:05,299607
-5,-6,-4,-3,-7,-5,-3,-4,2021-08-07 12:15:05,299607
3,4,3,4,4,3,0,2,2021-08-07 12:15:05,299607
-1,0,-1,-3,0,-1,0,0,2021-08-07 12:15:05,299607
-1,0,4,5,4,3,-1,0,2021-08-07 12:15:05,315606
-2,-3,-1,-3,-2,-2,-3,-2,2021-08-07 12:15:05,331607
-3,-4,-6,-7,-6,-2,-1,-4,2021-08-07 12:15:05,347608
2,0,1,3,3,3,1,0,2021-08-07 12:15:05,347608
-2,-3,-3,-3,-2,-2,-1,0,2021-08-07 12:15:05,347608
4,5,5,5,-1,1,0,2,2021-08-07 12:15:05,347608
-2,-4,-4,-1,4,0,0,0,2021-08-07 12:15:05,347608
2,5,5,8,6,4,2,0,2021-08-07 12:15:05,347608
-2,-4,-4,-2,-2,-1,-1,-4,2021-08-07 12:15:05,348610
1,2,-1,-2,-4,-1,-1,-2,2021-08-07 12:15:05,348610
-1,2,-2,-4,-6,-5,-2,-1,2021-08-07 12:15:05,348610
-2,-2,-7,-9,-5,-3,-3,-2,2021-08-07 12:15:05,348610
0,0,1,3,4,-1,0,1,2021-08-07 12:15:05,379607
-2,-4,-4,-10,-10,-3,-1,-2,2021-08-07 12:15:05,379607
0,1,4,3,4,3,-2,1,2021-08-07 12:15:05,379607
-2,-4,-6,-12,-10,-4,-4,-3,2021-08-07 12:15:05,379607
4,5,9,24,24,12,5,3,2021-08-07 12:15:05,411606
-2,-2,-3,-4,-3,-3,-2,-1,2021-08-07 12:15:05,427605
-3,-5,-3,-4,-6,-5,-2,-2,2021-08-07 12:15:05,443608
2,4,3,4,7,4,2,3,2021-08-07 12:15:05,459607
-4,-4,-8,-23,-23,-10,-7,-5,2021-08-07 12:15:05,475606
2,3,3,8,13,6,0,2,2021-08-07 12:15:05,475606
3,4,2,4,1,0,0,1,2021-08-07 12:15:05,475606
-3,-3,-3,-1,-3,-3,-1,-2,2021-08-07 12:15:05,475606
-2,-2,-1,-5,-5,-2,-2,-2,2021-08-07 12:15:05,475606
-4,-4,-5,-7,-7,-4,-3,-4,2021-08-07 12:15:05,476607
-2,-2,0,1,-3,0,0,-2,2021-08-07 12:15:05,476607
2,2,2,4,1,0,0,1,2021-08-07 12:15:05,476607
4,5,3,0,3,5,3,2,2021-08-07 12:15:05,476607
-3,-3,0,4,10,4,0,-1,2021-08-07 12:15:05,476607
-1,-2,-2,0,-1,-1,-1,-2,2021-08-07 12:15:05,476607
-2,-3,0,-1,-1,0,-2,-2,2021-08-07 12:15:05,476607
-2,-4,-6,-9,-8,-5,-4,-1,2021-08-07 12:15:05,477609
-2,-6,-4,-4,-8,-5,-2,-2,2021-08-07 12:15:05,477609
1,1,2,-1,2,1,-1,0,2021-08-07 12:15:05,477609
1,2,3,1,0,1,2,2,2021-08-07 12:15:05,477609
-2,-4,-1,4,6,2,1,-1,2021-08-07 12:15:05,506608
1,2,0,2,-1,0,-1,0,2021-08-07 12:15:05,522608
-1,-3,-3,-6,-7,-2,-3,-2,2021-08-07 12:15:05,522608
-2,-2,1,5,2,1,0,0,2021-08-07 12:15:05,522608
0,-1,-2,-5,-9,-6,-3,-1,2021-08-07 12:15:05,522608
-3,-3,-6,-7,-1,0,-1,-2,2021-08-07 12:15:05,522608
-1,0,-1,3,-3,-2,0,0,2021-08-07 12:15:05,522608
0,1,0,4,9,3,0,-1,2021-08-07 12:15:05,523608
-1,-1,1,3,6,2,-1,-1,2021-08-07 12:15:05,538606
-1,-1,-3,-8,-8,-4,-1,0,2021-08-07 12:15:05,538606
0,2,3,2,2,3,2,0,2021-08-07 12:15:05,538606
-1,-2,-3,-4,-5,-3,-3,-2,2021-08-07 12:15:05,538606
0,-1,-3,-1,-1,-3,-1,0,2021-08-07 12:15:05,569607
-2,-3,-2,-1,-3,-4,-4,0,2021-08-07 12:15:05,585606
-2,-2,-3,-5,-3,-3,-2,-1,2021-08-07 12:15:05,585606
-2,-4,-4,-5,-8,-3,-1,-1,2021-08-07 12:15:05,585606
1,3,3,11,11,5,1,0,2021-08-07 12:15:05,585606
2,4,3,6,6,3,3,1,2021-08-07 12:15:05,585606
-2,-5,-4,-2,0,-2,0,-2,2021-08-07 12:15:05,585606
1,-1,-3,-11,-6,-3,-1,-1,2021-08-07 12:15:05,586610
1,0,0,-1,-4,-2,-1,-1,2021-08-07 12:15:05,601608
1,-1,-2,-2,-2,-1,-2,-2,2021-08-07 12:15:05,617607
0,-3,0,4,6,2,0,0,2021-08-07 12:15:05,617607
-1,0,0,4,0,0,1,0,2021-08-07 12:15:05,617607
-3,-5,-4,-5,-5,-2,-1,-2,2021-08-07 12:15:05,617607
-1,0,1,-1,-3,0,0,-1,2021-08-07 12:15:05,617607
0,1,0,2,-1,0,-1,1,2021-08-07 12:15:05,617607
0,-1,0,3,5,1,-1,-2,2021-08-07 12:15:05,618609
-2,0,2,-3,-3,-2,-1,-1,2021-08-07 12:15:05,648605
-1,0,-1,0,-3,-2,-1,-1,2021-08-07 12:15:05,648605
-2,-3,-4,-3,-4,-4,-2,0,2021-08-07 12:15:05,648605
2,3,3,8,11,4,2,2,2021-08-07 12:15:05,648605
-1,-4,-4,-3,-3,-3,-1,-1,2021-08-07 12:15:05,664605
-2,-3,-2,-6,-6,-2,-2,-3,2021-08-07 12:15:05,679606
0,-1,0,4,5,3,0,-1,2021-08-07 12:15:05,695605
-2,0,0,-4,-3,-3,-3,0,2021-08-07 12:15:05,711609
3,2,1,2,4,3,0,1,2021-08-07 12:15:05,727606
-3,-3,-2,-3,-2,-2,-2,-1,2021-08-07 12:15:05,727606
1,1,2,-1,-2,1,-1,2,2021-08-07 12:15:05,727606
-1,-4,-3,0,-3,-1,-1,-1,2021-08-07 12:15:05,727606
0,0,0,-5,-5,-1,0,0,2021-08-07 12:15:05,727606
-1,0,-2,-5,-7,-6,-2,-2,2021-08-07 12:15:05,728607
-1,0,0,0,3,2,0,-2,2021-08-07 12:15:05,728607
1,-2,-1,4,11,6,1,0,2021-08-07 12:15:05,728607
