EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-4,-1,-3,3,11,0,-1,-1,2021-08-06 17:33:28,874933
-3,0,6,0,-4,0,-1,-1,2021-08-06 17:33:28,874933
1,-6,-25,-8,-15,3,-2,-1,2021-08-06 17:33:28,874933
-2,-3,-9,-2,24,0,-2,-5,2021-08-06 17:33:28,874933
-1,0,12,0,-11,-6,0,0,2021-08-06 17:33:28,874933
-2,0,-6,-1,3,0,1,1,2021-08-06 17:33:28,874933
0,0,-8,1,-4,1,0,1,2021-08-06 17:33:28,874933
-1,-1,21,-4,-6,-1,-1,-2,2021-08-06 17:33:28,875907
-3,-4,-34,-4,2,-1,-2,-2,2021-08-06 17:33:28,875907
-3,-2,-5,0,-1,-3,-1,-2,2021-08-06 17:33:28,875907
-1,1,9,1,3,0,-1,0,2021-08-06 17:33:28,890906
0,1,-9,1,0,4,1,2,2021-08-06 17:33:28,890906
-1,0,14,1,6,0,1,-3,2021-08-06 17:33:28,890906
-1,0,9,1,-6,-1,-4,0,2021-08-06 17:33:28,890906
-1,-3,-9,-7,5,-2,1,-1,2021-08-06 17:33:28,922905
-1,-2,-24,-3,-10,-2,-2,-2,2021-08-06 17:33:28,937906
-2,-1,6,-1,-3,3,0,1,2021-08-06 17:33:28,953943
0,-1,3,1,-11,-6,1,-3,2021-08-06 17:33:28,953943
5,3,25,4,23,-3,-3,-2,2021-08-06 17:33:28,969944
-1,1,-4,0,-9,-2,2,-3,2021-08-06 17:33:28,969944
-1,-2,-25,-4,-4,2,-1,-1,2021-08-06 17:33:28,969944
2,-3,-11,-4,5,3,-2,1,2021-08-06 17:33:28,969944
0,-1,0,2,0,0,0,-1,2021-08-06 17:33:28,985943
-2,-1,-8,0,-2,0,-1,-2,2021-08-06 17:33:28,985943
-1,-2,8,-5,-4,-4,-2,0,2021-08-06 17:33:28,985943
2,0,8,-1,-4,0,1,0,2021-08-06 17:33:28,985943
-3,1,-1,-1,5,-1,-2,0,2021-08-06 17:33:28,985943
0,0,-1,0,-2,1,-1,-2,2021-08-06 17:33:28,985943
-4,-3,1,3,14,5,1,0,2021-08-06 17:33:28,986944
0,-3,-7,1,1,0,-1,0,2021-08-06 17:33:28,986944
-1,1,11,0,-10,-14,-1,0,2021-08-06 17:33:29,000945
-1,-1,-2,0,-2,18,3,0,2021-08-06 17:33:29,000945
1,2,-5,-1,-4,-6,-2,16,2021-08-06 17:33:29,016943
0,1,7,-5,-2,-4,-3,-38,2021-08-06 17:33:29,031943
0,0,6,0,1,3,-1,4,2021-08-06 17:33:29,031943
-2,-2,-5,-1,-5,-9,-2,2,2021-08-06 17:33:29,031943
-1,-1,-16,0,-1,2,2,-2,2021-08-06 17:33:29,031943
0,0,-5,0,2,2,0,10,2021-08-06 17:33:29,031943
0,-5,-3,-1,-2,-2,-3,-3,2021-08-06 17:33:29,031943
-1,0,-4,-2,-5,-3,-1,-4,2021-08-06 17:33:29,031943
0,1,19,4,3,3,-2,0,2021-08-06 17:33:29,062943
1,0,-29,-2,3,-2,-2,6,2021-08-06 17:33:29,062943
-1,-2,4,-2,-6,5,0,-5,2021-08-06 17:33:29,078943
1,-1,5,-2,2,-5,-2,5,2021-08-06 17:33:29,078943
-3,-1,-4,2,-5,-1,-1,-6,2021-08-06 17:33:29,078943
-1,0,11,1,-5,-2,-2,7,2021-08-06 17:33:29,078943
-2,-3,4,1,14,3,1,0,2021-08-06 17:33:29,078943
0,0,0,3,-1,4,1,-1,2021-08-06 17:33:29,078943
4,-1,-13,-2,-4,-7,0,-5,2021-08-06 17:33:29,109943
-3,-3,12,0,-8,-1,-1,0,2021-08-06 17:33:29,124945
0,2,-9,-2,-1,-2,-1,2,2021-08-06 17:33:29,124945
-5,-1,7,0,3,-16,-4,0,2021-08-06 17:33:29,124945
2,-4,-8,-9,-5,19,1,-5,2021-08-06 17:33:29,124945
0,1,-19,1,-2,-4,-3,6,2021-08-06 17:33:29,124945
-1,-3,19,0,2,-4,0,-3,2021-08-06 17:33:29,124945
-1,-1,-4,0,-4,-4,0,4,2021-08-06 17:33:29,124945
0,-2,-5,-4,2,-1,-2,-20,2021-08-06 17:33:29,140945
0,-1,9,-1,-2,0,0,5,2021-08-06 17:33:29,140945
1,1,-4,2,1,5,0,3,2021-08-06 17:33:29,140945
2,1,6,2,-18,-2,0,-3,2021-08-06 17:33:29,140945
-1,-1,10,-1,25,-3,0,6,2021-08-06 17:33:29,170943
-2,-3,-28,-4,-6,5,-1,-1,2021-08-06 17:33:29,186944
1,0,-1,-3,-7,-4,0,-6,2021-08-06 17:33:29,186944
-1,-1,9,-2,3,0,-2,2,2021-08-06 17:33:29,186944
-1,-1,3,0,-12,-5,-2,1,2021-08-06 17:33:29,202944
-2,-2,-1,-1,5,-4,-1,-3,2021-08-06 17:33:29,202944
-2,-2,-23,-3,-7,4,1,1,2021-08-06 17:33:29,202944
-1,-3,9,-2,11,3,0,-5,2021-08-06 17:33:29,202944
1,0,7,1,-7,-1,-1,2,2021-08-06 17:33:29,202944
2,1,25,2,-1,0,-1,1,2021-08-06 17:33:29,202944
-2,-1,-38,-2,-5,-1,-2,-2,2021-08-06 17:33:29,203943
-1,-1,-1,-5,3,2,0,0,2021-08-06 17:33:29,203943
1,2,9,1,0,-1,-1,-5,2021-08-06 17:33:29,218943
-4,-2,-7,2,1,-9,-1,5,2021-08-06 17:33:29,218943
-2,0,25,1,-13,11,-3,-1,2021-08-06 17:33:29,234946
-3,-3,-33,-1,24,-3,0,-2,2021-08-06 17:33:29,234946
2,0,16,2,-10,0,2,2,2021-08-06 17:33:29,234946
1,0,-2,-5,1,-3,-1,0,2021-08-06 17:33:29,234946
2,2,10,-3,-3,-6,-3,-4,2021-08-06 17:33:29,250943
-1,1,12,1,-9,1,1,-4,2021-08-06 17:33:29,250943
-1,-3,-37,-9,0,-4,-2,1,2021-08-06 17:33:29,265943
0,-4,-18,-3,-3,3,-1,-3,2021-08-06 17:33:29,265943
-1,-1,5,-1,4,-3,-1,-1,2021-08-06 17:33:29,265943
0,0,6,0,-1,5,-2,0,2021-08-06 17:33:29,280943
-1,1,10,4,-1,-2,0,1,2021-08-06 17:33:29,280943
-3,0,10,-1,1,1,-2,-3,2021-08-06 17:33:29,280943
-1,-2,-28,-5,3,-1,-2,0,2021-08-06 17:33:29,296945
-1,0,2,0,-3,-6,-2,-4,2021-08-06 17:33:29,296945
1,-1,47,1,-8,0,-1,1,2021-08-06 17:33:29,296945
-1,-3,-36,-5,7,-1,-1,-2,2021-08-06 17:33:29,296945
-3,0,0,0,-7,-3,-1,0,2021-08-06 17:33:29,296945
0,0,-1,4,15,-1,-2,-2,2021-08-06 17:33:29,296945
-2,0,-6,1,-8,1,-1,0,2021-08-06 17:33:29,326943
4,-3,13,2,1,0,2,0,2021-08-06 17:33:29,342943
-2,-3,-5,-1,-3,-3,-2,-2,2021-08-06 17:33:29,374943
-3,1,-2,-4,-6,-8,-1,1,2021-08-06 17:33:29,374943
-1,-1,3,2,5,18,-2,-1,2021-08-06 17:33:29,374943
0,-2,7,-4,-2,-4,-1,-1,2021-08-06 17:33:29,406944
1,-1,3,2,7,-2,2,3,2021-08-06 17:33:29,406944
0,-1,5,2,-9,0,2,-3,2021-08-06 17:33:29,406944
1,0,-7,-2,10,-8,-2,4,2021-08-06 17:33:29,406944
-2,2,5,-3,-11,0,-4,0,2021-08-06 17:33:29,406944
-2,-2,-21,-4,-3,-1,-2,-2,2021-08-06 17:33:29,421943
1,-3,26,-1,-6,-1,-2,5,2021-08-06 17:33:29,421943
0,1,-25,-4,8,-2,3,0,2021-08-06 17:33:29,421943
-3,-1,21,6,8,2,0,-6,2021-08-06 17:33:29,436943
0,0,10,3,0,0,0,7,2021-08-06 17:33:29,436943
2,0,-5,2,-6,-1,-2,-3,2021-08-06 17:33:29,436943
-5,-1,-16,-16,-12,-6,-3,-3,2021-08-06 17:33:29,436943
1,2,15,0,4,1,-1,0,2021-08-06 17:33:29,436943
-1,-1,-3,-1,3,-3,0,-4,2021-08-06 17:33:29,436943
0,0,-4,2,-8,6,0,-1,2021-08-06 17:33:29,452943
-4,-1,14,5,10,-1,1,-4,2021-08-06 17:33:29,452943
2,-1,-3,-3,-2,-1,1,0,2021-08-06 17:33:29,452943
-3,-3,22,-3,-4,-3,-3,-3,2021-08-06 17:33:29,452943
2,-2,-2,-3,-1,-12,0,19,2021-08-06 17:33:29,452943
-3,-4,-53,-2,-6,9,-4,-35,2021-08-06 17:33:29,452943
0,2,9,3,4,-3,1,5,2021-08-06 17:33:29,452943
2,4,1,2,0,-3,-1,-1,2021-08-06 17:33:29,453944
-1,-1,15,-1,0,-5,-2,-1,2021-08-06 17:33:29,467943
-2,-4,-3,-6,-9,-8,-1,4,2021-08-06 17:33:29,498973
-1,-2,6,2,9,3,-1,-5,2021-08-06 17:33:29,498973
1,2,-6,-1,-3,2,-3,-2,2021-08-06 17:33:29,498973
0,-2,-11,-1,7,4,0,-3,2021-08-06 17:33:29,498973
2,1,17,3,-2,-3,2,6,2021-08-06 17:33:29,498973
1,-2,0,-2,-9,-1,-4,-4,2021-08-06 17:33:29,498973
-3,-2,-21,-1,3,-4,1,4,2021-08-06 17:33:29,499973
-3,2,-6,-3,-6,2,-1,-6,2021-08-06 17:33:29,499973
2,-3,13,4,2,0,0,6,2021-08-06 17:33:29,499973
-1,-4,-25,-8,-6,-2,0,1,2021-08-06 17:33:29,514973
2,3,7,2,3,1,1,-3,2021-08-06 17:33:29,514973
-2,-2,-6,-3,-5,1,-1,-5,2021-08-06 17:33:29,514973
0,1,17,3,-1,-5,-3,1,2021-08-06 17:33:29,514973
-3,-4,-51,-7,-2,-1,-2,3,2021-08-06 17:33:29,514973
-1,-3,6,0,-8,-4,0,-3,2021-08-06 17:33:29,545974
-1,0,-6,2,15,19,-1,-6,2021-08-06 17:33:29,545974
7,3,17,5,-4,-6,1,6,2021-08-06 17:33:29,545974
-1,-3,-16,-3,-6,-4,0,-4,2021-08-06 17:33:29,545974
3,-4,-2,-2,-1,2,-2,0,2021-08-06 17:33:29,561973
-2,0,0,0,0,-5,-2,-1,2021-08-06 17:33:29,561973
-1,1,7,0,-2,-1,-1,1,2021-08-06 17:33:29,576972
-2,1,11,-1,-3,3,1,-1,2021-08-06 17:33:29,576972
1,2,-2,3,5,-2,2,-4,2021-08-06 17:33:29,576972
1,-1,-3,-1,-6,-1,0,-2,2021-08-06 17:33:29,591973
-1,1,15,1,6,-4,-2,1,2021-08-06 17:33:29,623975
0,0,15,0,-5,-2,-3,-2,2021-08-06 17:33:29,623975
-2,-2,-20,-3,0,-1,0,-1,2021-08-06 17:33:29,623975
2,-2,18,-2,-12,-5,-5,-2,2021-08-06 17:33:29,623975
-5,-2,-9,1,10,-1,-1,-1,2021-08-06 17:33:29,623975
1,2,7,2,-1,0,-2,-2,2021-08-06 17:33:29,623975
-1,1,6,3,3,7,1,-1,2021-08-06 17:33:29,623975
5,-3,-14,-4,0,-1,0,1,2021-08-06 17:33:29,639973
-2,-1,4,-4,-12,-4,-1,-3,2021-08-06 17:33:29,643973
-2,-1,-2,2,2,-1,-1,0,2021-08-06 17:33:29,644982
0,1,6,-2,0,3,-3,1,2021-08-06 17:33:29,644982
-1,-1,-14,-2,-9,-7,0,-4,2021-08-06 17:33:29,644982
-1,-1,-2,-2,15,4,-2,3,2021-08-06 17:33:29,644982
1,2,11,3,-1,-4,0,0,2021-08-06 17:33:29,644982
-2,-4,-5,-2,-8,-3,-1,0,2021-08-06 17:33:29,645973
0,3,14,2,5,3,1,-2,2021-08-06 17:33:29,645973
0,-3,-31,-4,-4,-2,-1,0,2021-08-06 17:33:29,686974
-2,1,-22,-5,-8,1,-4,-3,2021-08-06 17:33:29,686974
-3,0,18,2,15,0,-1,3,2021-08-06 17:33:29,686974
-2,-4,-26,-6,-4,0,0,-2,2021-08-06 17:33:29,686974
-2,0,11,3,-7,-1,1,4,2021-08-06 17:33:29,687982
2,0,19,1,-2,-3,1,-3,2021-08-06 17:33:29,687982
-1,-1,-3,0,-11,-1,-3,6,2021-08-06 17:33:29,702973
-3,-1,7,3,16,3,3,3,2021-08-06 17:33:29,703205
0,1,3,-2,-2,-2,0,-3,2021-08-06 17:33:29,703205
-5,-6,-37,-5,-7,-1,-3,5,2021-08-06 17:33:29,703205
1,-3,17,2,2,-4,-1,-4,2021-08-06 17:33:29,703205
-1,-2,-9,-1,1,3,2,-4,2021-08-06 17:33:29,703205
-1,-3,16,-3,-7,-14,-4,5,2021-08-06 17:33:29,718486
1,4,11,2,4,13,0,-5,2021-08-06 17:33:29,718486
-1,-2,-3,-5,-3,-8,0,-4,2021-08-06 17:33:29,718486
-2,0,-7,0,-1,-2,-4,0,2021-08-06 17:33:29,718486
0,1,-20,0,0,0,2,-2,2021-08-06 17:33:29,748487
1,-2,34,4,4,-2,1,-2,2021-08-06 17:33:29,748487
-2,-1,-25,-6,-6,4,-2,-3,2021-08-06 17:33:29,748487
