Timestamp,Milliseconds,Angle,,
,,,,240 per second
14:53.6,596023,112.5270688,,
,,,,
14:53.6,600024,112.3124762,,
,,,,
14:53.6,604069,112.1147871,,
,,,,
14:53.6,609023,112.0691571,,
,,,,
14:53.6,613060,111.9304819,,
,,,,
14:53.6,617069,111.9727474,,
,,,,
14:53.6,621022,112.1263497,,
,,,,
14:53.6,625062,112.2915805,,
,,,,
14:53.6,629069,112.5110373,,
,,,,
14:53.6,634026,112.0597148,,
,,,,
14:53.6,638022,112.3304205,,
,,,,
14:53.6,642022,112.5220474,,
,,,,
14:53.6,646023,112.348403,,
,,,,
14:53.7,650022,112.2855026,,
,,,,
14:53.7,654062,111.9075484,,
,,,,
14:53.7,659023,112.0205605,,
,,,,
14:53.7,663023,112.0697435,,
,,,,
14:53.7,667050,111.8451826,,
,,,,
14:53.7,671050,111.619728,,
,,,,
14:53.7,675049,111.4039901,,
,,,,
14:53.7,679050,111.4026401,,
,,,,
14:53.7,684023,111.2977022,,
,,,,
14:53.7,688072,111.7394712,,
,,,,
14:53.7,692072,111.428975,,
,,,,
14:53.7,696023,111.6756104,,
,,,,
14:53.7,700022,111.7545318,,
,,,,
14:53.7,704071,112.3549321,,
,,,,
14:53.7,709023,112.1676433,,
,,,,
14:53.7,713072,112.3378077,,
,,,,
14:53.7,717072,112.3671309,,
,,,,
14:53.7,721023,112.4157505,,
,,,,
14:53.7,725049,112.3388561,,
,,,,
14:53.7,729063,112.561318,,
,,,,
14:53.7,734037,112.3323068,,
,,,,
14:53.7,738074,112.0351289,,
,,,,
14:53.7,742072,112.2374695,,
,,,,
14:53.7,746074,111.9755609,,
,,,,
14:53.8,750022,111.9216463,,
,,,,
14:53.8,754058,112.0312108,,
,,,,
14:53.8,759023,112.1410867,,
,,,,
14:53.8,763023,111.6220684,,
,,,,
14:53.8,767058,111.8029523,,
,,,,
14:53.8,771059,111.9863409,,
,,,,
14:53.8,775058,112.01323,,
,,,,
14:53.8,779061,111.93957,,
,,,,
14:53.8,784023,111.8231432,,
,,,,
14:53.8,788023,111.9950311,,
,,,,
14:53.8,792022,111.9404827,,
,,,,
14:53.8,796073,111.8810026,,
,,,,
14:53.8,800061,111.8831531,,
,,,,
14:53.8,804072,112.1163029,,
,,,,
14:53.8,809033,111.8526039,,
,,,,
14:53.8,813060,111.7558008,,
,,,,
14:53.8,817073,112.0120156,,
,,,,
14:53.8,821022,112.1166873,,
,,,,
14:53.8,825063,112.1194699,,
,,,,
14:53.8,829072,111.8326225,,
,,,,
14:53.8,834023,112.1103312,,
,,,,
14:53.8,838024,112.0006277,,
,,,,
14:53.8,842073,112.2191337,,
,,,,
14:53.8,846023,111.9105878,,
,,,,
14:53.9,850023,111.7778472,,
,,,,
14:53.9,854060,111.799392,,
,,,,
14:53.9,859023,111.8910179,,
,,,,
14:53.9,863073,111.9169345,,
,,,,
14:53.9,867074,111.9553964,,
,,,,
14:53.9,871023,112.1587051,,
,,,,
14:53.9,875074,112.1150022,,
,,,,
14:53.9,879072,112.0179203,,
,,,,
14:53.9,884023,111.9932407,,
,,,,
14:53.9,888049,111.9886074,,
,,,,
14:53.9,892061,112.0826067,,
,,,,
14:53.9,896023,112.021568,,
,,,,
14:53.9,900047,111.7745772,,
,,,,
14:53.9,904022,111.8762108,,
,,,,
14:53.9,909026,112.0582918,,
,,,,
14:53.9,913023,112.1340168,,
,,,,
14:53.9,917021,112.3519772,,
,,,,
14:53.9,921023,111.9368658,,
,,,,
14:53.9,925060,111.9355306,,
,,,,
14:53.9,929022,111.7914155,,
,,,,
14:53.9,934023,112.2538917,,
,,,,
14:53.9,938025,112.0206136,,
,,,,
14:53.9,942072,111.8014629,,
,,,,
14:53.9,946021,111.5926354,,
,,,,
14:54.0,950022,111.4738858,,
,,,,
14:54.0,954058,111.9978967,,
,,,,
14:54.0,959022,112.1989909,,
,,,,
14:54.0,963074,112.5956472,,
,,,,
14:54.0,967073,112.8253707,,
,,,,
14:54.0,971022,112.4208934,,
,,,,
14:54.0,975024,112.3275597,,
,,,,
14:54.0,979074,112.6162828,,
,,,,
14:54.0,984022,112.7217862,,
,,,,
14:54.0,988023,112.1152157,,
,,,,
14:54.0,992057,112.1947714,,
,,,,
14:54.0,996022,112.2478723,,
,,,,
14:54.0,22,112.2837513,,
,,,,
14:54.0,4057,111.8240637,,
,,,,
14:54.0,9022,111.8996325,,
,,,,
14:54.0,13022,111.5110895,,
,,,,
